query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,62.484025955200195
2.0,1.0,32.0,0.0,73.35615158081055
3.0,5.0,16.0,0.0,82.05676078796387
5.0,6.0,8.0,8.0,72.13068008422852
7.0,1.0,16.0,0.0,70.62959671020508
4,5,8,0,-1
6,6,8,32,-1
8.0,5.0,16.0,0.0,69.88239288330078
10.0,6.0,16.0,8.0,71.9153881072998
9.0,5.0,8.0,0.0,83.27221870422363
11.0,6.0,4.0,64.0,89.64705467224121
12.0,6.0,4.0,64.0,79.80871200561523
13.0,5.0,16.0,0.0,73.89044761657715
15.0,1.0,8.0,0.0,75.20699501037598
14,6,8,16,-1
16.0,6.0,4.0,32.0,70.86658477783203
17.0,6.0,32.0,8.0,78.91416549682617
18.0,5.0,4.0,0.0,21.166086196899414
19.0,6.0,8.0,32.0,24.73139762878418
20.0,5.0,32.0,0.0,39.978742599487305
21.0,5.0,16.0,0.0,49.4992733001709
22.0,1.0,8.0,0.0,66.31207466125488
23.0,1.0,16.0,0.0,83.09340476989746
24.0,5.0,8.0,0.0,79.46300506591797
26.0,6.0,32.0,32.0,69.18954849243164
27.0,6.0,8.0,64.0,59.01384353637695
30.0,5.0,16.0,0.0,45.05586624145508
25,1,4,0,-1
28.0,6.0,32.0,32.0,64.9266242980957
29.0,1.0,4.0,0.0,82.60989189147949
31.0,1.0,16.0,0.0,89.17641639709473
37.0,6.0,4.0,64.0,44.666290283203125
32,1,16,0,-1
33,1,4,0,-1
34,1,8,0,-1
35.0,1.0,4.0,0.0,88.65833282470703
36.0,1.0,8.0,0.0,90.79432487487793
42.0,6.0,32.0,8.0,39.92176055908203
43.0,5.0,4.0,0.0,47.07956314086914
44.0,6.0,32.0,16.0,57.958126068115234
47.0,5.0,32.0,0.0,62.04700469970703
38,1,4,0,-1
46.0,6.0,32.0,16.0,74.7075080871582
53.0,5.0,16.0,0.0,43.20931434631348
39,1,8,0,-1
48.0,6.0,8.0,8.0,94.5584774017334
55.0,5.0,16.0,0.0,42.3579216003418
40,1,32,0,-1
58.0,5.0,16.0,0.0,22.812843322753906
41,1,4,0,-1
49,6,8,32,-1
45,1,4,0,-1
50,6,32,16,-1
51,1,32,0,-1
52,6,16,32,-1
54.0,1.0,4.0,0.0,84.30123329162598
56.0,6.0,16.0,16.0,73.54354858398438
57.0,1.0,32.0,0.0,95.48783302307129
59.0,6.0,8.0,32.0,85.13498306274414
60.0,5.0,4.0,0.0,58.83216857910156
61.0,1.0,16.0,0.0,63.686370849609375
63.0,5.0,32.0,0.0,66.78056716918945
65.0,6.0,8.0,64.0,59.51380729675293
67.0,5.0,32.0,0.0,59.40055847167969
68.0,6.0,4.0,8.0,62.60800361633301
62,1,32,0,-1
69.0,5.0,32.0,0.0,68.6945915222168
72.0,6.0,4.0,64.0,50.650596618652344
64,1,32,0,-1
73.0,6.0,4.0,16.0,60.463905334472656
77.0,5.0,8.0,0.0,29.595375061035156
66,1,8,0,-1
75.0,6.0,4.0,16.0,58.49003791809082
70,1,32,0,-1
79.0,6.0,16.0,64.0,42.54961013793945
71,1,4,0,-1
81.0,6.0,16.0,8.0,37.91499137878418
74,1,4,0,-1
76.0,1.0,8.0,0.0,97.07903861999512
84.0,6.0,16.0,8.0,56.75148963928223
85.0,6.0,32.0,64.0,68.91727447509766
87.0,5.0,4.0,0.0,40.128469467163086
78,1,32,0,-1
86.0,6.0,8.0,16.0,62.837839126586914
89.0,5.0,4.0,0.0,50.29702186584473
80,1,8,0,-1
90.0,5.0,4.0,0.0,38.495540618896484
92.0,6.0,32.0,16.0,31.39495849609375
82,1,4,0,-1
93.0,5.0,8.0,0.0,33.22553634643555
97.0,6.0,32.0,32.0,29.08778190612793
83,1,16,0,-1
95.0,5.0,16.0,0.0,48.86484146118164
99.0,6.0,4.0,32.0,23.954391479492188
88,1,16,0,-1
91.0,1.0,8.0,0.0,92.38696098327637
96.0,5.0,4.0,0.0,78.88340950012207
98.0,5.0,4.0,0.0,52.626848220825195
102.0,6.0,4.0,16.0,32.340288162231445
94,1,4,0,-1
100.0,5.0,8.0,0.0,60.873985290527344
101.0,1.0,32.0,0.0,66.59197807312012
103.0,6.0,32.0,8.0,76.37739181518555
104.0,1.0,16.0,0.0,99.6694564819336
105.0,5.0,8.0,0.0,101.36151313781738
110.0,6.0,8.0,8.0,57.761192321777344
109.0,1.0,4.0,0.0,94.54011917114258
112.0,6.0,8.0,16.0,80.52349090576172
106,5,8,0,-1
117.0,6.0,16.0,64.0,27.39262580871582
113,1,32,0,-1
107,5,8,0,-1
119.0,6.0,8.0,8.0,21.546602249145508
115,1,32,0,-1
108,5,4,0,-1
116.0,1.0,32.0,0.0,70.7545280456543
111,5,8,0,-1
124.0,1.0,4.0,0.0,23.29707145690918
114,5,8,0,-1
118.0,5.0,8.0,0.0,79.39767837524414
125.0,1.0,4.0,0.0,32.92346000671387
128.0,6.0,16.0,64.0,24.779319763183594
120,5,16,0,-1
129.0,6.0,4.0,8.0,29.596805572509766
121,5,8,0,-1
130.0,6.0,8.0,32.0,33.62774848937988
122,5,8,0,-1
131.0,6.0,32.0,64.0,38.988590240478516
123,5,32,0,-1
126.0,5.0,32.0,0.0,94.0408706665039
133.0,1.0,4.0,0.0,40.755510330200195
134.0,6.0,16.0,32.0,45.850276947021484
135.0,1.0,16.0,0.0,62.06774711608887
127,5,8,0,-1
138.0,1.0,16.0,0.0,58.12811851501465
141.0,6.0,16.0,64.0,41.60118103027344
132,5,8,0,-1
139.0,1.0,32.0,0.0,91.29500389099121
145.0,6.0,16.0,16.0,53.7564754486084
136,5,32,0,-1
142.0,1.0,32.0,0.0,84.18393135070801
148.0,6.0,16.0,8.0,49.60179328918457
137,5,8,0,-1
149.0,6.0,16.0,16.0,53.55191230773926
144,1,8,0,-1
140,5,4,0,-1
151.0,6.0,8.0,8.0,39.1385555267334
147,1,32,0,-1
143,5,32,0,-1
154.0,1.0,4.0,0.0,36.99445724487305
146,5,32,0,-1
156.0,6.0,8.0,16.0,23.961544036865234
150,5,4,0,-1
152.0,5.0,8.0,0.0,66.3139820098877
157.0,1.0,32.0,0.0,37.18066215515137
153.0,5.0,4.0,0.0,85.31379699707031
158.0,6.0,4.0,16.0,41.85366630554199
155.0,5.0,4.0,0.0,76.85470581054688
160.0,1.0,32.0,0.0,47.6071834564209
159.0,5.0,32.0,0.0,85.78228950500488
161.0,1.0,8.0,0.0,60.71352958679199
162.0,6.0,32.0,64.0,71.18582725524902
163.0,6.0,32.0,32.0,55.02438545227051
165.0,1.0,4.0,0.0,66.21789932250977
166.0,5.0,4.0,0.0,64.94426727294922
164.0,6.0,16.0,8.0,85.24870872497559
167.0,1.0,4.0,0.0,91.95852279663086
172.0,5.0,16.0,0.0,46.39601707458496
169.0,1.0,4.0,0.0,82.2303295135498
175.0,5.0,16.0,0.0,40.38405418395996
168,6,8,8,-1
174.0,1.0,32.0,0.0,65.75250625610352
170,6,16,8,-1
176.0,1.0,4.0,0.0,78.16219329833984
181.0,5.0,4.0,0.0,42.40894317626953
171,6,8,16,-1
177.0,1.0,16.0,0.0,95.02887725830078
184.0,5.0,32.0,0.0,50.750017166137695
173,6,8,8,-1
188.0,5.0,16.0,0.0,19.99807357788086
178,1,8,0,-1
180,6,8,32,-1
185.0,6.0,32.0,32.0,74.00727272033691
189.0,5.0,16.0,0.0,46.70405387878418
179,1,16,0,-1
186.0,6.0,8.0,64.0,71.10905647277832
190.0,5.0,8.0,0.0,63.88211250305176
182,1,32,0,-1
187.0,6.0,4.0,64.0,85.04939079284668
193.0,5.0,8.0,0.0,72.8294849395752
183,1,8,0,-1
192.0,6.0,32.0,16.0,91.54534339904785
194.0,5.0,8.0,0.0,84.51104164123535
191,1,8,0,-1
197.0,1.0,32.0,0.0,83.71663093566895
198.0,6.0,8.0,32.0,81.51459693908691
195,5,4,0,-1
199.0,1.0,16.0,0.0,98.46806526184082
200.0,6.0,32.0,64.0,99.05481338500977
196,5,16,0,-1
202.0,6.0,16.0,8.0,90.13032913208008
205.0,5.0,16.0,0.0,77.73923873901367
201,1,8,0,-1
206.0,5.0,8.0,0.0,81.59995079040527
207.0,6.0,4.0,32.0,90.96455574035645
203,1,4,0,-1
204,1,32,0,-1
208,5,4,0,-1
209,6,8,8,-1
210.0,5.0,16.0,0.0,71.22039794921875
211.0,6.0,8.0,8.0,65.30451774597168
212.0,5.0,32.0,0.0,79.38337326049805
213.0,6.0,16.0,32.0,60.70303916931152
215.0,1.0,4.0,0.0,66.08390808105469
214.0,5.0,8.0,0.0,75.97804069519043
217.0,1.0,16.0,0.0,85.38675308227539
219.0,1.0,16.0,0.0,87.99171447753906
225.0,6.0,32.0,8.0,32.973527908325195
216,5,32,0,-1
222.0,1.0,8.0,0.0,100.19350051879883
218,5,32,0,-1
223.0,1.0,32.0,0.0,99.8234748840332
228.0,6.0,8.0,32.0,46.0360050201416
220,5,4,0,-1
230.0,6.0,8.0,32.0,41.05091094970703
224,1,4,0,-1
221,5,32,0,-1
229.0,1.0,32.0,0.0,67.59119033813477
233.0,6.0,8.0,16.0,58.15696716308594
226,5,4,0,-1
232.0,1.0,8.0,0.0,90.14463424682617
236.0,6.0,8.0,64.0,71.70939445495605
227,5,16,0,-1
237.0,1.0,4.0,0.0,94.71368789672852
241.0,6.0,16.0,32.0,82.86499977111816
231,5,32,0,-1
243.0,6.0,16.0,64.0,72.01194763183594
239,1,8,0,-1
234,5,32,0,-1
248.0,6.0,32.0,16.0,74.0809440612793
240,1,4,0,-1
235,5,32,0,-1
250.0,6.0,16.0,32.0,86.83443069458008
244,1,4,0,-1
238,5,4,0,-1
251.0,6.0,16.0,32.0,84.47027206420898
245,1,16,0,-1
242,5,32,0,-1
255.0,6.0,16.0,32.0,64.90707397460938
246,1,4,0,-1
249,5,4,0,-1
256.0,6.0,16.0,64.0,70.14703750610352
247,1,32,0,-1
253,5,16,0,-1
257.0,5.0,8.0,0.0,55.71937561035156
252,1,8,0,-1
254,1,16,0,-1
258.0,1.0,4.0,0.0,58.07375907897949
261.0,5.0,4.0,0.0,26.525020599365234
259.0,1.0,32.0,0.0,83.82320404052734
264.0,5.0,32.0,0.0,54.72588539123535
265.0,6.0,32.0,8.0,59.00883674621582
268.0,5.0,32.0,0.0,39.67761993408203
270.0,6.0,8.0,32.0,39.4594669342041
260,1,32,0,-1
271.0,5.0,32.0,0.0,47.327518463134766
272.0,6.0,16.0,16.0,61.037302017211914
