query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,37.10293769836426
2.0,5.0,32.0,0.0,48.653602600097656
3.0,6.0,16.0,64.0,28.156280517578125
4.0,5.0,8.0,0.0,11.219263076782227
5.0,2.0,4.0,0.0,33.99491310119629
6.0,5.0,8.0,0.0,38.20228576660156
7.0,5.0,4.0,0.0,4.956483840942383
8.0,5.0,4.0,0.0,8.764028549194336
9.0,5.0,8.0,0.0,9.497880935668945
10.0,6.0,16.0,8.0,16.27349853515625
11.0,1.0,32.0,0.0,37.40096092224121
12.0,1.0,16.0,0.0,54.77452278137207
13.0,2.0,4.0,0.0,71.74944877624512
14.0,2.0,8.0,0.0,84.76018905639648
16.0,6.0,16.0,64.0,55.06014823913574
17.0,1.0,16.0,0.0,80.22880554199219
19.0,5.0,32.0,0.0,86.77816390991211
18.0,1.0,8.0,0.0,113.9981746673584
20.0,5.0,16.0,0.0,110.20183563232422
23.0,6.0,8.0,16.0,106.12654685974121
15,2,8,0,-1
25.0,5.0,8.0,0.0,91.9497013092041
29.0,6.0,16.0,16.0,62.83283233642578
22,1,16,0,-1
21,2,8,0,-1
26.0,2.0,32.0,0.0,125.65445899963379
27.0,5.0,16.0,0.0,111.64999008178711
24,1,32,0,-1
30.0,2.0,16.0,0.0,125.90241432189941
28,1,4,0,-1
41.0,5.0,4.0,0.0,26.377439498901367
31,1,16,0,-1
32,2,4,0,-1
38.0,2.0,8.0,0.0,101.32026672363281
42.0,5.0,8.0,0.0,59.7376823425293
33,1,8,0,-1
45.0,2.0,32.0,0.0,68.29452514648438
34,1,4,0,-1
46.0,2.0,8.0,0.0,100.13484954833984
51.0,5.0,32.0,0.0,73.76623153686523
53.0,6.0,16.0,8.0,73.77386093139648
35,1,8,0,-1
52.0,5.0,4.0,0.0,79.71906661987305
57.0,6.0,4.0,8.0,51.676034927368164
36,1,16,0,-1
48,2,16,0,-1
54.0,5.0,32.0,0.0,91.17603302001953
60.0,6.0,32.0,8.0,49.76820945739746
37,1,4,0,-1
50,2,32,0,-1
56.0,2.0,32.0,0.0,130.0356388092041
61.0,6.0,32.0,8.0,89.66803550720215
39,1,4,0,-1
55,5,16,0,-1
65.0,5.0,32.0,0.0,50.62365531921387
40,1,4,0,-1
58,2,8,0,-1
43,1,4,0,-1
59,2,32,0,-1
62.0,2.0,16.0,0.0,117.37608909606934
44,1,32,0,-1
69.0,6.0,8.0,8.0,25.339365005493164
47,1,8,0,-1
63,2,32,0,-1
67.0,2.0,4.0,0.0,106.71854019165039
49,1,32,0,-1
68.0,2.0,32.0,0.0,126.14250183105469
72.0,5.0,8.0,0.0,44.01087760925293
64,1,32,0,-1
71.0,2.0,8.0,0.0,76.39288902282715
76.0,5.0,8.0,0.0,50.04739761352539
66,1,32,0,-1
77.0,5.0,4.0,0.0,54.34703826904297
70,1,4,0,-1
73.0,1.0,32.0,0.0,113.13414573669434
79.0,5.0,4.0,0.0,70.62816619873047
80.0,6.0,32.0,64.0,58.992862701416016
81.0,5.0,8.0,0.0,51.35321617126465
82.0,2.0,16.0,0.0,60.22930145263672
74,1,32,0,-1
84.0,5.0,16.0,0.0,62.25776672363281
92.0,6.0,16.0,8.0,41.42355918884277
95.0,2.0,32.0,0.0,56.80418014526367
75,1,8,0,-1
87.0,5.0,8.0,0.0,94.36726570129395
93.0,6.0,32.0,64.0,78.04298400878906
97.0,2.0,4.0,0.0,87.5251293182373
78,1,16,0,-1
98.0,6.0,32.0,32.0,86.55929565429688
101.0,2.0,16.0,0.0,84.03134346008301
83,1,16,0,-1
88,5,8,0,-1
105.0,2.0,4.0,0.0,83.44602584838867
85,1,4,0,-1
90,5,16,0,-1
99,6,8,64,-1
106.0,2.0,16.0,0.0,106.01615905761719
86,1,8,0,-1
91,5,4,0,-1
103,6,8,8,-1
112.0,5.0,8.0,0.0,69.12732124328613
89,1,4,0,-1
107,2,32,0,-1
104,6,8,8,-1
109.0,6.0,16.0,64.0,107.05709457397461
113.0,5.0,8.0,0.0,85.13307571411133
94,1,8,0,-1
108,2,32,0,-1
117.0,5.0,32.0,0.0,71.98619842529297
96,1,4,0,-1
110,6,8,16,-1
114.0,6.0,32.0,8.0,102.54168510437012
118.0,5.0,8.0,0.0,88.03915977478027
100,1,16,0,-1
119.0,6.0,32.0,8.0,79.32281494140625
102,1,4,0,-1
121.0,6.0,8.0,32.0,44.46744918823242
111,1,16,0,-1
122.0,6.0,32.0,64.0,31.634092330932617
123.0,2.0,4.0,0.0,46.938180923461914
115,1,4,0,-1
125.0,5.0,32.0,0.0,29.590129852294922
116,1,4,0,-1
126.0,5.0,16.0,0.0,33.99205207824707
120,1,4,0,-1
124.0,1.0,16.0,0.0,76.71904563903809
127.0,6.0,32.0,8.0,41.184186935424805
128.0,2.0,8.0,0.0,68.1154727935791
129.0,2.0,16.0,0.0,82.89003372192383
130.0,1.0,32.0,0.0,98.49929809570312
131.0,6.0,4.0,16.0,85.6161117553711
132.0,5.0,32.0,0.0,99.06435012817383
133.0,6.0,4.0,64.0,104.8893928527832
134.0,2.0,8.0,0.0,125.1530647277832
135.0,5.0,16.0,0.0,133.13698768615723
137.0,1.0,32.0,0.0,146.2569236755371
142.0,6.0,8.0,64.0,70.46890258789062
144.0,1.0,4.0,0.0,76.59482955932617
136,2,32,0,-1
138,5,16,0,-1
145.0,6.0,4.0,16.0,68.84169578552246
139,2,32,0,-1
140,5,4,0,-1
148.0,6.0,32.0,8.0,51.43570899963379
149.0,1.0,4.0,0.0,53.447723388671875
141,2,32,0,-1
143,5,4,0,-1
150.0,6.0,4.0,64.0,66.11824035644531
154.0,1.0,8.0,0.0,49.82471466064453
146,2,32,0,-1
147,5,8,0,-1
151.0,6.0,4.0,64.0,91.6295051574707
152.0,5.0,4.0,0.0,83.49919319152832
155.0,1.0,8.0,0.0,90.35897254943848
157.0,2.0,4.0,0.0,106.77123069763184
160.0,6.0,16.0,32.0,101.63640975952148
158,1,4,0,-1
159,2,8,0,-1
153,5,16,0,-1
165.0,1.0,16.0,0.0,81.50362968444824
172.0,6.0,32.0,16.0,34.67154502868652
161,2,8,0,-1
156,5,8,0,-1
171.0,1.0,8.0,0.0,69.41962242126465
173.0,6.0,16.0,8.0,66.77889823913574
164,2,4,0,-1
162,5,16,0,-1
175.0,1.0,4.0,0.0,81.35390281677246
176.0,6.0,16.0,64.0,88.00768852233887
166,2,8,0,-1
163,5,16,0,-1
178.0,1.0,4.0,0.0,73.88114929199219
180.0,6.0,8.0,64.0,62.8504753112793
167,2,16,0,-1
169,5,4,0,-1
179.0,5.0,8.0,0.0,69.72527503967285
181.0,6.0,32.0,32.0,54.48102951049805
168,2,8,0,-1
183.0,6.0,16.0,8.0,63.16232681274414
185.0,5.0,16.0,0.0,47.32942581176758
187.0,1.0,8.0,0.0,59.45777893066406
170,2,32,0,-1
184.0,6.0,4.0,16.0,89.30444717407227
189.0,5.0,4.0,0.0,60.5311393737793
190.0,1.0,32.0,0.0,57.700157165527344
174,2,16,0,-1
188.0,6.0,4.0,8.0,100.71158409118652
192.0,5.0,8.0,0.0,76.46560668945312
193.0,1.0,16.0,0.0,74.46479797363281
177,2,32,0,-1
191.0,6.0,16.0,32.0,114.46475982666016
194.0,5.0,4.0,0.0,97.97191619873047
196.0,1.0,16.0,0.0,86.40527725219727
182,2,4,0,-1
197.0,5.0,8.0,0.0,87.5251293182373
198.0,1.0,32.0,0.0,101.25398635864258
201.0,6.0,32.0,16.0,107.39922523498535
186,2,32,0,-1
203.0,6.0,32.0,32.0,118.30925941467285
206.0,1.0,8.0,0.0,122.4050521850586
195,2,8,0,-1
199,5,16,0,-1
207,1,32,0,-1
200,2,4,0,-1
202,5,32,0,-1
204,6,4,64,-1
208.0,1.0,4.0,0.0,115.74387550354004
205,5,32,0,-1
209.0,1.0,32.0,0.0,116.26505851745605
212.0,2.0,16.0,0.0,56.56862258911133
214.0,5.0,16.0,0.0,62.25109100341797
215.0,6.0,32.0,16.0,74.5382308959961
210,1,4,0,-1
213.0,2.0,32.0,0.0,115.53382873535156
216.0,6.0,8.0,32.0,111.32597923278809
211,1,16,0,-1
217.0,2.0,8.0,0.0,116.82295799255371
218.0,6.0,32.0,64.0,126.49989128112793
221.0,1.0,4.0,0.0,109.54713821411133
224.0,5.0,16.0,0.0,100.9988784790039
227.0,5.0,4.0,0.0,81.37059211730957
228.0,1.0,4.0,0.0,101.77135467529297
222,2,8,0,-1
219,6,8,16,-1
230.0,1.0,8.0,0.0,109.63106155395508
223,2,4,0,-1
229,5,8,0,-1
220,6,4,64,-1
232.0,2.0,4.0,0.0,118.6366081237793
233.0,1.0,16.0,0.0,134.09948348999023
238.0,5.0,32.0,0.0,69.88859176635742
225,6,32,64,-1
239.0,5.0,8.0,0.0,71.37203216552734
235,1,4,0,-1
236,2,16,0,-1
226,6,32,16,-1
237.0,2.0,16.0,0.0,128.85093688964844
240.0,1.0,4.0,0.0,121.88982963562012
231,6,8,64,-1
249.0,5.0,4.0,0.0,10.81991195678711
241,1,32,0,-1
234,6,16,8,-1
243.0,6.0,4.0,8.0,111.42539978027344
242,1,32,0,-1
244,1,8,0,-1
245,6,8,64,-1
