query_id,model_id,bs,seq_len,latency
2.0,5.0,32.0,0.0,46.46730422973633
1.0,6.0,32.0,8.0,73.83966445922852
3.0,6.0,16.0,64.0,44.043779373168945
5.0,2.0,4.0,0.0,49.578189849853516
4.0,5.0,8.0,0.0,66.47753715515137
6.0,5.0,8.0,0.0,63.140869140625
7.0,5.0,4.0,0.0,26.54552459716797
10.0,6.0,16.0,8.0,24.876832962036133
13.0,2.0,4.0,0.0,46.112775802612305
11.0,1.0,32.0,0.0,81.48932456970215
8.0,5.0,4.0,0.0,104.93206977844238
14.0,2.0,8.0,0.0,97.05972671508789
12.0,1.0,16.0,0.0,140.350341796875
16.0,6.0,16.0,64.0,93.04666519165039
9,5,8,0,-1
17.0,1.0,16.0,0.0,120.15461921691895
23.0,6.0,8.0,16.0,92.55003929138184
19.0,5.0,32.0,0.0,142.91119575500488
15,2,8,0,-1
29.0,6.0,16.0,16.0,67.89350509643555
18,1,8,0,-1
21,2,8,0,-1
20,5,16,0,-1
22,1,16,0,-1
26,2,32,0,-1
25,5,8,0,-1
30.0,2.0,16.0,0.0,90.05379676818848
27.0,5.0,16.0,0.0,119.20571327209473
24,1,32,0,-1
32.0,2.0,4.0,0.0,117.56014823913574
28,1,4,0,-1
38.0,2.0,8.0,0.0,104.45332527160645
41.0,5.0,4.0,0.0,60.9440803527832
31,1,16,0,-1
45.0,2.0,32.0,0.0,72.64947891235352
42.0,5.0,8.0,0.0,102.39601135253906
33,1,8,0,-1
46.0,2.0,8.0,0.0,107.22827911376953
51.0,5.0,32.0,0.0,82.48543739318848
53.0,6.0,16.0,8.0,81.2678337097168
34,1,4,0,-1
52.0,5.0,4.0,0.0,88.89412879943848
57.0,6.0,4.0,8.0,60.82320213317871
35,1,8,0,-1
48,2,16,0,-1
54.0,5.0,32.0,0.0,102.84209251403809
60.0,6.0,32.0,8.0,56.96558952331543
36,1,16,0,-1
50,2,32,0,-1
61.0,6.0,32.0,8.0,57.17325210571289
37,1,4,0,-1
56,2,32,0,-1
55,5,16,0,-1
58.0,2.0,8.0,0.0,115.98086357116699
65.0,5.0,32.0,0.0,49.92079734802246
39,1,4,0,-1
40,1,4,0,-1
59,2,32,0,-1
62.0,2.0,16.0,0.0,122.37024307250977
43,1,4,0,-1
69.0,6.0,8.0,8.0,32.45234489440918
44,1,32,0,-1
63,2,32,0,-1
67.0,2.0,4.0,0.0,117.18511581420898
47,1,8,0,-1
72.0,5.0,8.0,0.0,28.156518936157227
49,1,32,0,-1
68,2,32,0,-1
71.0,2.0,8.0,0.0,60.32228469848633
64,1,32,0,-1
76.0,5.0,8.0,0.0,35.80737113952637
66,1,32,0,-1
77.0,5.0,4.0,0.0,41.17417335510254
70,1,4,0,-1
73.0,1.0,32.0,0.0,90.89136123657227
79.0,5.0,4.0,0.0,44.04282569885254
74.0,1.0,32.0,0.0,109.04550552368164
81.0,5.0,8.0,0.0,29.130220413208008
80.0,6.0,32.0,64.0,54.094552993774414
82.0,2.0,16.0,0.0,54.41713333129883
84.0,5.0,16.0,0.0,56.981801986694336
75,1,8,0,-1
95.0,2.0,32.0,0.0,47.860145568847656
87.0,5.0,8.0,0.0,85.07776260375977
92.0,6.0,16.0,8.0,81.97832107543945
78,1,16,0,-1
97.0,2.0,4.0,0.0,96.07863426208496
93.0,6.0,32.0,64.0,128.7086009979248
83,1,16,0,-1
88,5,8,0,-1
101.0,2.0,16.0,0.0,103.69658470153809
85,1,4,0,-1
90,5,16,0,-1
98,6,32,32,-1
105.0,2.0,4.0,0.0,111.06228828430176
86,1,8,0,-1
91,5,4,0,-1
99,6,8,64,-1
112.0,5.0,8.0,0.0,67.55375862121582
89,1,4,0,-1
106,2,16,0,-1
103,6,8,8,-1
113.0,5.0,8.0,0.0,73.04906845092773
94,1,8,0,-1
107,2,32,0,-1
104,6,8,8,-1
117.0,5.0,32.0,0.0,60.484886169433594
96,1,4,0,-1
108,2,32,0,-1
109,6,16,64,-1
118.0,5.0,8.0,0.0,68.00603866577148
100,1,16,0,-1
110,6,8,16,-1
114.0,6.0,32.0,8.0,106.74548149108887
102,1,4,0,-1
119.0,6.0,32.0,8.0,79.88119125366211
111,1,16,0,-1
121.0,6.0,8.0,32.0,46.176910400390625
115,1,4,0,-1
123.0,2.0,4.0,0.0,37.20426559448242
122.0,6.0,32.0,64.0,66.0243034362793
116,1,4,0,-1
125.0,5.0,32.0,0.0,31.81624412536621
120,1,4,0,-1
124.0,1.0,16.0,0.0,64.7115707397461
126.0,5.0,16.0,0.0,55.16767501831055
128.0,2.0,8.0,0.0,52.75154113769531
130.0,1.0,32.0,0.0,60.91713905334473
127.0,6.0,32.0,8.0,97.49388694763184
129.0,2.0,16.0,0.0,116.92619323730469
