query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,140.12956619262695
2.0,2.0,32.0,0.0,220.78275680541992
3,2,16,0,-1
4.0,2.0,8.0,0.0,147.8877067565918
5,2,4,0,-1
6.0,2.0,8.0,0.0,156.0993194580078
7.0,2.0,4.0,0.0,25.017738342285156
8.0,2.0,4.0,0.0,45.23301124572754
9.0,2.0,8.0,0.0,58.60114097595215
10.0,2.0,16.0,0.0,108.25300216674805
11.0,2.0,4.0,0.0,109.32564735412598
12.0,2.0,32.0,0.0,181.29754066467285
13,2,16,0,-1
14.0,2.0,4.0,0.0,117.43569374084473
15.0,2.0,8.0,0.0,104.07233238220215
16.0,2.0,8.0,0.0,43.488502502441406
17.0,2.0,16.0,0.0,72.93534278869629
18.0,2.0,16.0,0.0,141.754150390625
19,2,8,0,-1
20.0,2.0,32.0,0.0,242.80166625976562
21,2,16,0,-1
22,2,8,0,-1
23,2,16,0,-1
24,2,8,0,-1
25,2,4,0,-1
26.0,2.0,16.0,0.0,104.91609573364258
27.0,2.0,32.0,0.0,169.75927352905273
28.0,2.0,16.0,0.0,166.6581630706787
29,2,4,0,-1
30.0,2.0,16.0,0.0,199.70393180847168
31,2,16,0,-1
32,2,16,0,-1
33.0,2.0,4.0,0.0,129.67300415039062
34.0,2.0,8.0,0.0,152.67324447631836
35.0,2.0,4.0,0.0,116.3015365600586
36.0,2.0,8.0,0.0,87.33344078063965
37.0,2.0,16.0,0.0,154.6647548675537
38,2,4,0,-1
39,2,8,0,-1
40.0,2.0,4.0,0.0,28.105974197387695
41.0,2.0,4.0,0.0,27.122974395751953
42.0,2.0,4.0,0.0,28.168201446533203
43.0,2.0,8.0,0.0,64.32414054870605
44.0,2.0,4.0,0.0,71.8231201171875
45.0,2.0,32.0,0.0,181.14447593688965
46,2,32,0,-1
47.0,2.0,8.0,0.0,160.07614135742188
48.0,2.0,8.0,0.0,151.34906768798828
49.0,2.0,16.0,0.0,161.85569763183594
50,2,32,0,-1
51.0,2.0,32.0,0.0,246.21129035949707
52,2,32,0,-1
53,2,4,0,-1
54,2,16,0,-1
55,2,8,0,-1
56.0,2.0,32.0,0.0,249.01747703552246
57,2,16,0,-1
58,2,32,0,-1
59.0,2.0,4.0,0.0,129.57429885864258
60.0,2.0,16.0,0.0,131.67834281921387
61.0,2.0,32.0,0.0,232.9692840576172
62,2,32,0,-1
63,2,32,0,-1
64,2,4,0,-1
65,2,32,0,-1
66.0,2.0,4.0,0.0,125.23436546325684
67.0,2.0,16.0,0.0,102.49495506286621
68.0,2.0,32.0,0.0,212.55040168762207
69,2,4,0,-1
70,2,32,0,-1
71.0,2.0,8.0,0.0,44.59881782531738
72.0,2.0,4.0,0.0,54.15201187133789
73.0,2.0,8.0,0.0,42.78755187988281
74.0,2.0,8.0,0.0,73.37188720703125
75.0,2.0,32.0,0.0,197.53742218017578
76,2,32,0,-1
77,2,8,0,-1
78.0,2.0,8.0,0.0,130.8753490447998
79.0,2.0,4.0,0.0,151.1390209197998
80.0,2.0,16.0,0.0,147.78399467468262
81,2,4,0,-1
82.0,2.0,32.0,0.0,158.62464904785156
83.0,2.0,8.0,0.0,147.782564163208
84.0,2.0,16.0,0.0,201.78484916687012
85,2,16,0,-1
86,2,16,0,-1
87,2,4,0,-1
88,2,8,0,-1
89,2,8,0,-1
90.0,2.0,8.0,0.0,152.23336219787598
91,2,4,0,-1
92,2,16,0,-1
93.0,2.0,4.0,0.0,136.92808151245117
94.0,2.0,16.0,0.0,188.3871555328369
95,2,32,0,-1
96,2,16,0,-1
97,2,32,0,-1
98.0,2.0,4.0,0.0,58.91776084899902
99.0,2.0,4.0,0.0,80.7037353515625
100.0,2.0,32.0,0.0,162.57524490356445
101,2,32,0,-1
102,2,16,0,-1
103.0,2.0,16.0,0.0,189.2101764678955
104.0,2.0,16.0,0.0,83.37640762329102
105.0,2.0,4.0,0.0,85.47544479370117
106.0,2.0,8.0,0.0,121.87457084655762
107.0,2.0,16.0,0.0,138.83614540100098
108.0,2.0,8.0,0.0,150.56562423706055
109.0,2.0,32.0,0.0,246.97256088256836
110,2,8,0,-1
111,2,32,0,-1
112.0,2.0,32.0,0.0,182.40857124328613
113,2,16,0,-1
114.0,2.0,8.0,0.0,142.7159309387207
115.0,2.0,16.0,0.0,72.94178009033203
116.0,2.0,8.0,0.0,111.50479316711426
