query_id,model_id,bs,seq_len,latency
1.0,1.0,32.0,0.0,104.43997383117676
2.0,1.0,32.0,0.0,145.60890197753906
3,1,16,0,-1
4.0,1.0,8.0,0.0,61.34772300720215
5.0,1.0,4.0,0.0,60.382843017578125
6.0,1.0,8.0,0.0,74.97382164001465
7.0,1.0,4.0,0.0,23.865938186645508
8.0,1.0,4.0,0.0,36.2851619720459
9.0,1.0,8.0,0.0,38.52128982543945
10.0,1.0,16.0,0.0,67.90542602539062
11.0,1.0,4.0,0.0,67.71087646484375
12.0,1.0,32.0,0.0,101.13334655761719
13.0,1.0,16.0,0.0,102.9200553894043
14.0,1.0,4.0,0.0,90.55852890014648
15.0,1.0,8.0,0.0,66.17236137390137
16.0,1.0,8.0,0.0,28.098344802856445
17.0,1.0,16.0,0.0,52.47235298156738
18.0,1.0,16.0,0.0,100.93021392822266
19.0,1.0,8.0,0.0,124.81284141540527
20.0,1.0,32.0,0.0,191.72406196594238
21,1,16,0,-1
22,1,8,0,-1
23.0,1.0,16.0,0.0,177.8395175933838
24,1,8,0,-1
25,1,4,0,-1
26.0,1.0,16.0,0.0,86.81058883666992
27.0,1.0,32.0,0.0,112.6565933227539
28.0,1.0,16.0,0.0,89.60223197937012
29.0,1.0,4.0,0.0,96.39859199523926
30.0,1.0,16.0,0.0,133.59498977661133
31.0,1.0,16.0,0.0,150.8927345275879
32,1,16,0,-1
33.0,1.0,4.0,0.0,117.1877384185791
34.0,1.0,8.0,0.0,129.13060188293457
35.0,1.0,4.0,0.0,90.04807472229004
36.0,1.0,8.0,0.0,50.46701431274414
37.0,1.0,16.0,0.0,97.79572486877441
38.0,1.0,4.0,0.0,98.80352020263672
39.0,1.0,8.0,0.0,126.19996070861816
40.0,1.0,4.0,0.0,21.558523178100586
41.0,1.0,4.0,0.0,19.68693733215332
42.0,1.0,4.0,0.0,20.289182662963867
43.0,1.0,8.0,0.0,45.70269584655762
44.0,1.0,4.0,0.0,45.83573341369629
45.0,1.0,32.0,0.0,116.84894561767578
46.0,1.0,32.0,0.0,168.09749603271484
47,1,8,0,-1
48.0,1.0,8.0,0.0,136.39092445373535
49.0,1.0,16.0,0.0,126.68323516845703
50.0,1.0,32.0,0.0,208.83941650390625
51,1,32,0,-1
52,1,32,0,-1
53.0,1.0,4.0,0.0,148.8204002380371
54,1,16,0,-1
55.0,1.0,8.0,0.0,116.53256416320801
56.0,1.0,32.0,0.0,184.0038299560547
57.0,1.0,16.0,0.0,179.11815643310547
