query_id,model_id,bs,seq_len,search_times,latency
1,5,32,0,0,123.0626106262207
2,2,32,0,0,-1
5,2,4,0,0,71.87414169311523
3,5,16,0,0,131.2391757965088
4,5,8,0,0,96.28653526306152
6,5,8,0,0,95.79777717590332
7,5,4,0,0,18.31841468811035
8,5,4,0,0,24.993181228637695
9,5,8,0,0,27.38475799560547
10,5,16,0,0,43.57099533081055
11,2,4,0,0,57.636260986328125
12,2,32,0,0,95.05605697631836
13,2,16,0,0,105.25965690612793
14,2,4,0,0,112.04671859741211
15,2,8,0,0,109.95602607727051
16,2,8,0,1,106.39548301696777
17,5,16,0,1,73.69589805603027
19,2,8,0,1,115.64779281616211
18,5,16,0,1,118.11661720275879
20,5,32,0,0,-1
21,5,16,0,0,-1
22,2,8,0,1,110.82720756530762
23,2,16,0,0,-1
24,5,8,0,1,103.1045913696289
25,2,4,0,2,131.84118270874023
26,5,16,0,2,137.5119686126709
27,2,32,0,1,145.07460594177246
28,5,16,0,1,107.05161094665527
29,2,4,0,1,134.04059410095215
30,5,16,0,1,126.04379653930664
31,2,16,0,0,-1
32,2,16,0,0,-1
33,2,4,0,0,109.89761352539062
34,2,8,0,0,127.42137908935547
35,2,4,0,0,121.33002281188965
36,2,8,0,0,111.50813102722168
37,2,16,0,0,-1
38,2,4,0,0,125.55789947509766
42,5,4,0,0,30.609130859375
39,2,8,0,2,151.47900581359863
40,2,4,0,1,111.83714866638184
43,5,8,0,1,81.19845390319824
41,2,4,0,0,123.88038635253906
44,2,4,0,0,122.63202667236328
45,2,32,0,0,-1
46,2,32,0,0,-1
47,2,8,0,0,108.60419273376465
48,2,8,0,0,109.38596725463867
49,2,16,0,2,159.41977500915527
50,2,32,0,0,-1
51,2,32,0,0,-1
52,5,32,0,0,-1
53,5,4,0,0,-1
54,5,16,0,0,-1
55,2,8,0,0,-1
56,2,32,0,0,-1
57,5,16,0,1,120.31769752502441
58,2,32,0,0,118.74628067016602
59,5,4,0,2,119.51375007629395
60,2,16,0,2,147.8126049041748
61,2,32,0,0,-1
62,5,32,0,0,-1
63,2,32,0,0,-1
64,2,4,0,0,-1
65,5,32,0,0,-1
66,5,4,0,1,91.18962287902832
67,2,16,0,1,113.49916458129883
68,5,32,0,1,99.73764419555664
69,2,4,0,0,124.88698959350586
70,2,32,0,0,-1
72,2,4,0,0,47.07217216491699
71,5,8,0,0,54.88276481628418
73,2,8,0,0,56.69760704040527
74,5,8,0,0,52.318572998046875
75,2,32,0,0,115.39483070373535
76,2,32,0,0,-1
77,2,8,0,0,131.15429878234863
78,5,8,0,2,116.69039726257324
79,5,4,0,0,-1
80,2,16,0,1,103.17468643188477
81,5,4,0,0,101.1202335357666
84,2,16,0,1,95.78132629394531
82,5,32,0,1,130.3551197052002
83,5,8,0,0,120.97573280334473
85,2,16,0,0,-1
86,5,16,0,0,-1
87,2,4,0,0,-1
88,2,8,0,1,112.89024353027344
89,5,8,0,2,124.74989891052246
90,5,8,0,0,-1
91,2,4,0,0,-1
92,5,16,0,0,-1
93,5,4,0,0,-1
94,5,16,0,0,-1
95,2,32,0,0,-1
96,5,16,0,1,142.7311897277832
97,2,32,0,0,160.77542304992676
98,2,4,0,0,-1
99,2,4,0,0,-1
100,5,32,0,0,-1
101,5,32,0,0,-1
102,2,16,0,1,107.95712471008301
103,2,16,0,0,132.5087547302246
104,2,16,0,0,79.16975021362305
105,2,4,0,1,103.41262817382812
106,5,8,0,1,102.00166702270508
107,2,16,0,1,123.81148338317871
110,5,8,0,1,86.86280250549316
108,2,8,0,0,141.6933536529541
109,2,32,0,0,-1
111,2,32,0,0,-1
112,2,32,0,0,117.65789985656738
113,5,16,0,0,100.88825225830078
114,5,8,0,0,95.16525268554688
115,2,16,0,0,36.57174110412598
