query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,101.40061378479004
2.0,1.0,32.0,0.0,123.10361862182617
3.0,5.0,16.0,0.0,145.51234245300293
5.0,1.0,4.0,0.0,110.28385162353516
4.0,5.0,8.0,0.0,135.06150245666504
6.0,5.0,8.0,0.0,134.53340530395508
7.0,5.0,4.0,0.0,56.14638328552246
11.0,1.0,4.0,0.0,36.15403175354004
8.0,5.0,4.0,0.0,81.59017562866211
12.0,1.0,32.0,0.0,61.817169189453125
9.0,5.0,8.0,0.0,133.4383487701416
13.0,1.0,16.0,0.0,77.83055305480957
14.0,1.0,4.0,0.0,77.0106315612793
10,5,16,0,-1
15.0,1.0,8.0,0.0,72.34764099121094
16.0,1.0,8.0,0.0,40.05146026611328
17.0,5.0,16.0,0.0,35.24971008300781
19.0,1.0,8.0,0.0,46.9362735748291
18.0,5.0,16.0,0.0,77.44646072387695
22.0,1.0,8.0,0.0,45.842647552490234
20.0,5.0,32.0,0.0,128.26061248779297
23.0,1.0,16.0,0.0,124.03011322021484
25.0,1.0,4.0,0.0,130.72562217712402
21,5,16,0,-1
27.0,1.0,32.0,0.0,93.28508377075195
24,5,8,0,-1
29.0,1.0,4.0,0.0,70.3125
26,5,16,0,-1
28.0,5.0,16.0,0.0,110.70656776428223
31.0,1.0,16.0,0.0,98.81091117858887
30.0,5.0,16.0,0.0,144.79851722717285
32.0,1.0,16.0,0.0,146.89135551452637
33.0,1.0,4.0,0.0,140.13290405273438
34,1,8,0,-1
35.0,1.0,4.0,0.0,118.8204288482666
36.0,1.0,8.0,0.0,112.17260360717773
37.0,1.0,16.0,0.0,135.40983200073242
42.0,5.0,4.0,0.0,39.03055191040039
43.0,5.0,8.0,0.0,52.76679992675781
38,1,4,0,-1
39,1,8,0,-1
40.0,1.0,4.0,0.0,101.84907913208008
41.0,1.0,4.0,0.0,106.34875297546387
44.0,1.0,4.0,0.0,97.4419116973877
45.0,1.0,32.0,0.0,133.15606117248535
46.0,1.0,32.0,0.0,159.2843532562256
52.0,5.0,32.0,0.0,123.76117706298828
53.0,5.0,4.0,0.0,111.8476390838623
47,1,8,0,-1
54.0,5.0,16.0,0.0,136.48509979248047
48,1,8,0,-1
57.0,5.0,16.0,0.0,92.56768226623535
49,1,16,0,-1
59.0,5.0,4.0,0.0,57.5261116027832
50,1,32,0,-1
51,1,32,0,-1
55,1,8,0,-1
56,1,32,0,-1
58.0,1.0,32.0,0.0,133.76355171203613
60.0,1.0,16.0,0.0,99.31039810180664
62.0,5.0,32.0,0.0,128.8766860961914
65.0,5.0,32.0,0.0,143.0678367614746
61,1,32,0,-1
66.0,5.0,4.0,0.0,128.2973289489746
63,1,32,0,-1
68.0,5.0,32.0,0.0,120.13792991638184
64,1,4,0,-1
71.0,5.0,8.0,0.0,31.584978103637695
67,1,16,0,-1
69,1,4,0,-1
70.0,1.0,32.0,0.0,168.8387393951416
72.0,1.0,4.0,0.0,94.3610668182373
74.0,5.0,8.0,0.0,80.17945289611816
73.0,1.0,8.0,0.0,107.04827308654785
78.0,5.0,8.0,0.0,57.884931564331055
75.0,1.0,32.0,0.0,161.14306449890137
79.0,5.0,4.0,0.0,114.17722702026367
81.0,5.0,4.0,0.0,80.3530216217041
76,1,32,0,-1
82.0,5.0,32.0,0.0,75.10542869567871
77,1,8,0,-1
83.0,5.0,8.0,0.0,65.4306411743164
80,1,16,0,-1
84.0,1.0,16.0,0.0,82.79848098754883
86.0,5.0,16.0,0.0,97.9926586151123
85.0,1.0,16.0,0.0,127.67267227172852
89.0,5.0,8.0,0.0,116.72830581665039
90.0,5.0,8.0,0.0,123.42548370361328
87,1,4,0,-1
92.0,5.0,16.0,0.0,141.37506484985352
88,1,8,0,-1
91,1,4,0,-1
93,5,4,0,-1
94.0,5.0,16.0,0.0,148.37360382080078
