query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,53.85422706604004
2.0,6.0,32.0,64.0,43.881893157958984
3.0,6.0,16.0,16.0,16.073942184448242
4.0,2.0,4.0,0.0,35.051822662353516
5.0,6.0,8.0,32.0,44.97480392456055
6.0,2.0,16.0,0.0,37.05096244812012
7.0,6.0,16.0,64.0,26.2448787689209
8.0,6.0,8.0,64.0,21.73447608947754
9.0,6.0,16.0,8.0,20.477294921875
10.0,2.0,32.0,0.0,70.41239738464355
11.0,2.0,16.0,0.0,104.43830490112305
12.0,2.0,4.0,0.0,111.70792579650879
13.0,2.0,8.0,0.0,109.4367504119873
15.0,6.0,16.0,64.0,37.73641586303711
14.0,2.0,8.0,0.0,102.06890106201172
18.0,6.0,32.0,32.0,57.13176727294922
16.0,2.0,16.0,0.0,116.46652221679688
21.0,6.0,8.0,16.0,83.87351036071777
17.0,2.0,8.0,0.0,147.4466323852539
23.0,6.0,8.0,16.0,85.23392677307129
24.0,6.0,32.0,64.0,87.48126029968262
19,2,8,0,-1
25.0,6.0,4.0,64.0,81.53629302978516
20,2,16,0,-1
26.0,6.0,8.0,8.0,91.11237525939941
22,2,32,0,-1
27.0,6.0,8.0,32.0,69.01264190673828
28.0,2.0,4.0,0.0,101.89270973205566
29.0,2.0,8.0,0.0,130.71084022521973
30.0,2.0,4.0,0.0,128.12304496765137
31.0,2.0,8.0,0.0,128.326416015625
32.0,2.0,16.0,0.0,161.34071350097656
37.0,6.0,4.0,32.0,67.25001335144043
38.0,6.0,4.0,64.0,76.65109634399414
33,2,4,0,-1
34,2,8,0,-1
35.0,2.0,4.0,0.0,132.75718688964844
36.0,2.0,4.0,0.0,153.83505821228027
39.0,2.0,32.0,0.0,194.01192665100098
46.0,6.0,32.0,32.0,98.88339042663574
48.0,6.0,16.0,8.0,72.80516624450684
40,2,32,0,-1
49.0,6.0,32.0,32.0,57.166099548339844
41,2,8,0,-1
50.0,6.0,8.0,32.0,65.24348258972168
42,2,8,0,-1
51.0,6.0,4.0,8.0,53.792715072631836
43,2,16,0,-1
44,2,32,0,-1
45,2,32,0,-1
47.0,2.0,4.0,0.0,155.89022636413574
52.0,2.0,8.0,0.0,86.63582801818848
54.0,6.0,32.0,8.0,71.3038444519043
53.0,2.0,32.0,0.0,145.90692520141602
55.0,6.0,32.0,8.0,127.34127044677734
56.0,2.0,16.0,0.0,122.1923828125
59.0,6.0,32.0,8.0,65.91081619262695
57.0,2.0,32.0,0.0,190.63878059387207
60.0,6.0,4.0,16.0,138.641357421875
62.0,6.0,4.0,8.0,134.94634628295898
58,2,32,0,-1
61,2,32,0,-1
64,6,8,8,-1
65.0,6.0,32.0,8.0,135.1311206817627
63,2,8,0,-1
66.0,2.0,32.0,0.0,166.0456657409668
68.0,6.0,8.0,32.0,133.2263946533203
70.0,6.0,16.0,8.0,141.05725288391113
67,2,8,0,-1
71.0,6.0,32.0,64.0,141.7214870452881
69,2,8,0,-1
72.0,6.0,8.0,16.0,127.8839111328125
74.0,2.0,16.0,0.0,105.23819923400879
73.0,6.0,4.0,16.0,137.41469383239746
76.0,2.0,8.0,0.0,112.5946044921875
78.0,2.0,8.0,0.0,121.69551849365234
75,6,16,8,-1
