query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,55.09376525878906
2.0,6.0,32.0,64.0,49.14379119873047
3.0,6.0,16.0,16.0,11.420488357543945
4.0,5.0,4.0,0.0,9.77635383605957
5.0,6.0,8.0,32.0,13.774394989013672
6.0,5.0,16.0,0.0,28.520584106445312
7.0,6.0,16.0,64.0,13.542413711547852
8.0,6.0,8.0,64.0,11.846303939819336
9.0,6.0,16.0,8.0,12.756824493408203
10.0,5.0,32.0,0.0,53.52210998535156
11.0,5.0,16.0,0.0,79.20479774475098
12.0,5.0,4.0,0.0,69.01144981384277
13.0,5.0,8.0,0.0,57.86848068237305
14.0,5.0,8.0,0.0,23.340940475463867
15.0,6.0,16.0,64.0,17.786502838134766
16.0,5.0,16.0,0.0,44.12412643432617
17.0,5.0,8.0,0.0,52.16169357299805
18.0,6.0,32.0,32.0,47.3332405090332
19.0,5.0,8.0,0.0,50.79078674316406
21.0,6.0,8.0,16.0,53.7261962890625
20.0,5.0,16.0,0.0,82.60726928710938
23.0,6.0,8.0,16.0,53.66778373718262
22.0,5.0,32.0,0.0,144.47927474975586
24.0,6.0,32.0,64.0,109.36212539672852
25.0,6.0,4.0,64.0,102.88572311401367
28.0,5.0,4.0,0.0,69.86522674560547
26.0,6.0,8.0,8.0,121.28210067749023
29.0,5.0,8.0,0.0,88.14811706542969
27.0,6.0,8.0,32.0,110.2750301361084
30.0,5.0,4.0,0.0,77.48579978942871
31.0,5.0,8.0,0.0,61.99812889099121
32.0,5.0,16.0,0.0,87.6009464263916
33.0,5.0,4.0,0.0,86.52019500732422
34.0,5.0,8.0,0.0,100.94952583312988
35.0,5.0,4.0,0.0,45.015573501586914
37.0,6.0,4.0,32.0,26.594161987304688
36.0,5.0,4.0,0.0,51.53393745422363
38.0,6.0,4.0,64.0,53.902626037597656
39.0,5.0,32.0,0.0,96.00090980529785
40.0,5.0,32.0,0.0,131.6831111907959
41.0,5.0,8.0,0.0,141.48712158203125
46.0,6.0,32.0,32.0,70.08838653564453
42.0,5.0,8.0,0.0,144.49405670166016
48.0,6.0,16.0,8.0,59.903621673583984
43.0,5.0,16.0,0.0,153.27930450439453
49.0,6.0,32.0,32.0,71.89416885375977
50.0,6.0,8.0,32.0,79.92744445800781
44,5,32,0,-1
51.0,6.0,4.0,8.0,68.37940216064453
45,5,32,0,-1
54.0,6.0,32.0,8.0,22.05181121826172
47,5,4,0,-1
52.0,5.0,8.0,0.0,66.8647289276123
53.0,5.0,32.0,0.0,96.05789184570312
55.0,6.0,32.0,8.0,76.17926597595215
56.0,5.0,16.0,0.0,63.07029724121094
57.0,5.0,32.0,0.0,105.32784461975098
58.0,5.0,32.0,0.0,147.10736274719238
59.0,6.0,32.0,8.0,119.45772171020508
60.0,6.0,4.0,16.0,127.25663185119629
61.0,5.0,32.0,0.0,176.314115524292
63,5,8,0,-1
62,6,4,8,-1
66.0,5.0,32.0,0.0,170.04108428955078
64,6,8,8,-1
67,5,8,0,-1
65,6,32,8,-1
68.0,6.0,8.0,32.0,136.16013526916504
69.0,5.0,8.0,0.0,149.3990421295166
74.0,5.0,16.0,0.0,76.10774040222168
70,6,16,8,-1
76.0,5.0,8.0,0.0,60.01138687133789
71,6,32,64,-1
78.0,5.0,8.0,0.0,60.407161712646484
72,6,8,16,-1
73.0,6.0,4.0,16.0,142.23837852478027
79.0,5.0,4.0,0.0,72.75867462158203
75.0,6.0,16.0,8.0,139.58215713500977
84.0,5.0,8.0,0.0,40.57049751281738
77.0,6.0,8.0,32.0,135.4520320892334
85.0,5.0,32.0,0.0,98.8912582397461
86.0,5.0,4.0,0.0,88.17410469055176
80,6,16,32,-1
87.0,5.0,4.0,0.0,95.81828117370605
81,6,32,64,-1
90.0,5.0,16.0,0.0,45.14789581298828
82,6,16,8,-1
91.0,5.0,16.0,0.0,63.94386291503906
83,6,32,64,-1
88.0,6.0,32.0,32.0,141.65568351745605
92.0,5.0,4.0,0.0,79.32090759277344
95.0,5.0,4.0,0.0,48.92086982727051
89,6,8,64,-1
93.0,6.0,8.0,8.0,99.45130348205566
96.0,5.0,16.0,0.0,69.37694549560547
94.0,6.0,8.0,8.0,110.95309257507324
97.0,5.0,32.0,0.0,121.9325065612793
98.0,5.0,32.0,0.0,173.08521270751953
99.0,6.0,16.0,64.0,175.0473976135254
101,5,16,0,-1
100,6,8,16,-1
102.0,6.0,8.0,32.0,135.9548568725586
103.0,5.0,16.0,0.0,163.05112838745117
104.0,6.0,4.0,8.0,142.17448234558105
105.0,5.0,4.0,0.0,149.7323513031006
107,5,32,0,-1
106,6,32,32,-1
108.0,6.0,4.0,8.0,123.9767074584961
109.0,5.0,8.0,0.0,125.02694129943848
110.0,6.0,32.0,64.0,114.84169960021973
112.0,5.0,16.0,0.0,108.56223106384277
111.0,6.0,8.0,8.0,139.39976692199707
115.0,5.0,8.0,0.0,70.91045379638672
113.0,6.0,32.0,32.0,121.0787296295166
116.0,5.0,16.0,0.0,107.44428634643555
117.0,5.0,32.0,0.0,153.78284454345703
114,6,32,64,-1
118.0,6.0,4.0,16.0,108.34646224975586
121.0,5.0,8.0,0.0,108.60919952392578
119.0,6.0,32.0,64.0,137.7699375152588
124.0,5.0,32.0,0.0,145.37811279296875
127.0,5.0,32.0,0.0,126.66034698486328
120,6,32,16,-1
129.0,5.0,4.0,0.0,76.9510269165039
122,6,16,16,-1
131.0,5.0,32.0,0.0,61.68627738952637
123,6,32,8,-1
125,6,16,16,-1
126,6,4,16,-1
128,6,32,32,-1
130.0,6.0,4.0,16.0,82.99040794372559
132.0,6.0,8.0,64.0,87.53800392150879
133.0,6.0,4.0,64.0,45.83430290222168
134.0,5.0,8.0,0.0,15.663623809814453
135.0,5.0,32.0,0.0,66.68615341186523
136.0,6.0,16.0,32.0,46.67162895202637
137.0,5.0,4.0,0.0,54.85987663269043
138.0,6.0,16.0,32.0,57.40690231323242
139.0,5.0,8.0,0.0,48.94304275512695
140.0,6.0,8.0,16.0,67.50321388244629
141.0,5.0,4.0,0.0,74.85628128051758
142.0,5.0,4.0,0.0,79.44536209106445
144.0,6.0,16.0,32.0,44.997453689575195
143.0,5.0,8.0,0.0,99.93839263916016
146.0,6.0,16.0,32.0,68.18938255310059
145.0,5.0,8.0,0.0,84.26499366760254
147.0,6.0,4.0,8.0,89.32137489318848
148.0,6.0,8.0,16.0,99.00140762329102
