query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,56.84518814086914
2.0,6.0,32.0,64.0,50.51827430725098
3.0,6.0,16.0,16.0,17.037630081176758
4.0,2.0,4.0,0.0,40.7867431640625
5.0,6.0,8.0,32.0,45.77994346618652
6.0,2.0,16.0,0.0,36.27300262451172
7.0,6.0,16.0,64.0,25.986194610595703
8.0,6.0,8.0,64.0,21.26336097717285
9.0,6.0,16.0,8.0,13.259410858154297
10.0,2.0,32.0,0.0,69.86713409423828
11.0,2.0,16.0,0.0,103.7132740020752
12.0,2.0,4.0,0.0,117.89250373840332
13.0,2.0,8.0,0.0,126.54471397399902
15.0,6.0,16.0,64.0,60.0740909576416
14.0,2.0,8.0,0.0,117.57683753967285
18.0,6.0,32.0,32.0,70.46961784362793
16.0,2.0,16.0,0.0,129.70566749572754
21.0,6.0,8.0,16.0,97.36442565917969
23.0,6.0,8.0,16.0,77.04734802246094
17,2,8,0,-1
19.0,2.0,8.0,0.0,160.22944450378418
24.0,6.0,32.0,64.0,116.08505249023438
25.0,6.0,4.0,64.0,109.91454124450684
20,2,16,0,-1
26.0,6.0,8.0,8.0,119.53997611999512
22,2,32,0,-1
27.0,6.0,8.0,32.0,97.70059585571289
28.0,2.0,4.0,0.0,127.66575813293457
29.0,2.0,8.0,0.0,151.56936645507812
30.0,2.0,4.0,0.0,153.8257598876953
31.0,2.0,8.0,0.0,157.8052043914795
37.0,6.0,4.0,32.0,61.74945831298828
38.0,6.0,4.0,64.0,71.99358940124512
32,2,16,0,-1
33,2,4,0,-1
34,2,8,0,-1
35.0,2.0,4.0,0.0,138.07916641235352
36.0,2.0,4.0,0.0,159.7609519958496
46.0,6.0,32.0,32.0,36.08512878417969
39,2,32,0,-1
40.0,2.0,32.0,0.0,194.6566104888916
48.0,6.0,16.0,8.0,81.3298225402832
41,2,8,0,-1
49.0,6.0,32.0,32.0,66.34879112243652
42,2,8,0,-1
50.0,6.0,8.0,32.0,74.71323013305664
43,2,16,0,-1
51.0,6.0,4.0,8.0,68.53342056274414
44,2,32,0,-1
54.0,6.0,32.0,8.0,25.70319175720215
45,2,32,0,-1
55.0,6.0,32.0,8.0,14.335870742797852
47,2,4,0,-1
52.0,2.0,8.0,0.0,99.79653358459473
53.0,2.0,32.0,0.0,145.5078125
56.0,2.0,16.0,0.0,112.01786994934082
59.0,6.0,32.0,8.0,62.11233139038086
57.0,2.0,32.0,0.0,187.16692924499512
60.0,6.0,4.0,16.0,135.44917106628418
