query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,55.40156364440918
2.0,6.0,32.0,64.0,49.300193786621094
3.0,6.0,16.0,16.0,16.841888427734375
4.0,2.0,4.0,0.0,35.54868698120117
5.0,6.0,8.0,32.0,48.33865165710449
6.0,2.0,16.0,0.0,37.26649284362793
7.0,6.0,16.0,64.0,23.341894149780273
8.0,6.0,8.0,64.0,19.617319107055664
9.0,6.0,16.0,8.0,12.82358169555664
10.0,2.0,32.0,0.0,70.88470458984375
11.0,2.0,16.0,0.0,105.39913177490234
12.0,2.0,4.0,0.0,124.72939491271973
15.0,6.0,16.0,64.0,33.99229049682617
13.0,2.0,8.0,0.0,150.09164810180664
14.0,2.0,8.0,0.0,135.89143753051758
18.0,6.0,32.0,32.0,93.37592124938965
21.0,6.0,8.0,16.0,86.95721626281738
16.0,2.0,16.0,0.0,165.5557155609131
23.0,6.0,8.0,16.0,96.21691703796387
17,2,8,0,-1
24.0,6.0,32.0,64.0,99.99203681945801
19,2,8,0,-1
25.0,6.0,4.0,64.0,94.50316429138184
20,2,16,0,-1
26.0,6.0,8.0,8.0,104.70724105834961
22,2,32,0,-1
27.0,6.0,8.0,32.0,80.84321022033691
28.0,2.0,4.0,0.0,111.67073249816895
29.0,2.0,8.0,0.0,140.2430534362793
30.0,2.0,4.0,0.0,143.09382438659668
37.0,6.0,4.0,32.0,18.341541290283203
31.0,2.0,8.0,0.0,159.75546836853027
38.0,6.0,4.0,64.0,62.98208236694336
32,2,16,0,-1
33,2,4,0,-1
34,2,8,0,-1
35.0,2.0,4.0,0.0,126.89805030822754
36.0,2.0,4.0,0.0,150.79784393310547
46.0,6.0,32.0,32.0,32.89914131164551
39.0,2.0,32.0,0.0,209.34176445007324
48.0,6.0,16.0,8.0,77.3627758026123
40,2,32,0,-1
49.0,6.0,32.0,32.0,63.202619552612305
41,2,8,0,-1
50.0,6.0,8.0,32.0,72.62420654296875
42,2,8,0,-1
51.0,6.0,4.0,8.0,64.59426879882812
43,2,16,0,-1
54.0,6.0,32.0,8.0,29.676437377929688
44,2,32,0,-1
55.0,6.0,32.0,8.0,20.684003829956055
45,2,32,0,-1
47,2,4,0,-1
52.0,2.0,8.0,0.0,104.26521301269531
53.0,2.0,32.0,0.0,150.70748329162598
56.0,2.0,16.0,0.0,118.20745468139648
59.0,6.0,32.0,8.0,64.29290771484375
60.0,6.0,4.0,16.0,71.47598266601562
57.0,2.0,32.0,0.0,204.00214195251465
62.0,6.0,4.0,8.0,138.9904022216797
58,2,32,0,-1
61,2,32,0,-1
64,6,8,8,-1
65.0,6.0,32.0,8.0,144.96588706970215
63,2,8,0,-1
68.0,6.0,8.0,32.0,77.38876342773438
66.0,2.0,32.0,0.0,193.07780265808105
67,2,8,0,-1
70,6,16,8,-1
71.0,6.0,32.0,64.0,146.81100845336914
69,2,8,0,-1
72.0,6.0,8.0,16.0,141.06369018554688
74.0,2.0,16.0,0.0,117.69652366638184
76.0,2.0,8.0,0.0,117.92469024658203
73,6,4,16,-1
78.0,2.0,8.0,0.0,140.7027244567871
75,6,16,8,-1
79.0,2.0,4.0,0.0,162.7211570739746
77,6,8,32,-1
84.0,2.0,8.0,0.0,134.20391082763672
80,6,16,32,-1
