query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,95.36457061767578
2.0,2.0,32.0,0.0,136.82174682617188
5.0,2.0,4.0,0.0,106.89735412597656
3,5,16,0,-1
4.0,5.0,8.0,0.0,131.94799423217773
6.0,5.0,8.0,0.0,132.9481601715088
7.0,5.0,4.0,0.0,57.45434761047363
11.0,2.0,4.0,0.0,44.52681541442871
8.0,5.0,4.0,0.0,91.98665618896484
12.0,2.0,32.0,0.0,91.77637100219727
13.0,2.0,16.0,0.0,103.43456268310547
9,5,8,0,-1
14.0,2.0,4.0,0.0,117.0504093170166
10,5,16,0,-1
15.0,2.0,8.0,0.0,119.0347671508789
17.0,5.0,16.0,0.0,64.4838809967041
16.0,2.0,8.0,0.0,130.54490089416504
18.0,5.0,16.0,0.0,123.70634078979492
19.0,2.0,8.0,0.0,149.9929428100586
20.0,5.0,32.0,0.0,187.07823753356934
22,2,8,0,-1
21,5,16,0,-1
23,2,16,0,-1
24,5,8,0,-1
26.0,5.0,16.0,0.0,111.33575439453125
25,2,4,0,-1
28.0,5.0,16.0,0.0,66.76149368286133
27.0,2.0,32.0,0.0,174.71694946289062
29.0,2.0,4.0,0.0,155.40122985839844
30.0,5.0,16.0,0.0,175.54855346679688
31,2,16,0,-1
32,2,16,0,-1
33.0,2.0,4.0,0.0,163.69986534118652
34,2,8,0,-1
35.0,2.0,4.0,0.0,151.95679664611816
42.0,5.0,4.0,0.0,21.320581436157227
36.0,2.0,8.0,0.0,156.6612720489502
43.0,5.0,8.0,0.0,63.88282775878906
37,2,16,0,-1
38,2,4,0,-1
39,2,8,0,-1
40.0,2.0,4.0,0.0,123.51346015930176
41.0,2.0,4.0,0.0,145.3714370727539
44.0,2.0,4.0,0.0,146.06976509094238
52.0,5.0,32.0,0.0,74.0516185760498
45,2,32,0,-1
53.0,5.0,4.0,0.0,63.71307373046875
46,2,32,0,-1
54.0,5.0,16.0,0.0,89.31088447570801
47,2,8,0,-1
57.0,5.0,16.0,0.0,46.370744705200195
48,2,8,0,-1
59.0,5.0,4.0,0.0,12.471199035644531
49,2,16,0,-1
50,2,32,0,-1
51,2,32,0,-1
55.0,2.0,8.0,0.0,133.41188430786133
56.0,2.0,32.0,0.0,188.40765953063965
62.0,5.0,32.0,0.0,110.70847511291504
58,2,32,0,-1
65.0,5.0,32.0,0.0,126.80172920227051
60,2,16,0,-1
66.0,5.0,4.0,0.0,113.27004432678223
61,2,32,0,-1
68.0,5.0,32.0,0.0,106.27889633178711
63,2,32,0,-1
71.0,5.0,8.0,0.0,19.59705352783203
64,2,4,0,-1
67,2,16,0,-1
69.0,2.0,4.0,0.0,157.61923789978027
74.0,5.0,8.0,0.0,34.169912338256836
70,2,32,0,-1
72.0,2.0,4.0,0.0,91.80283546447754
78.0,5.0,8.0,0.0,19.612550735473633
73.0,2.0,8.0,0.0,109.35592651367188
79.0,5.0,4.0,0.0,54.4736385345459
75.0,2.0,32.0,0.0,180.03439903259277
81.0,5.0,4.0,0.0,91.45760536193848
76,2,32,0,-1
82.0,5.0,32.0,0.0,87.53061294555664
77,2,8,0,-1
83.0,5.0,8.0,0.0,79.38504219055176
80,2,16,0,-1
86.0,5.0,16.0,0.0,87.40901947021484
84.0,2.0,16.0,0.0,136.0328197479248
89.0,5.0,8.0,0.0,117.4156665802002
85.0,2.0,16.0,0.0,179.49867248535156
87,2,4,0,-1
90,5,8,0,-1
88,2,8,0,-1
92,5,16,0,-1
93.0,5.0,4.0,0.0,134.43708419799805
91,2,4,0,-1
94.0,5.0,16.0,0.0,153.75375747680664
95.0,2.0,32.0,0.0,210.0241184234619
97,2,32,0,-1
96,5,16,0,-1
100.0,5.0,32.0,0.0,170.69077491760254
98,2,4,0,-1
99,2,4,0,-1
101,5,32,0,-1
106.0,5.0,8.0,0.0,62.088966369628906
102,2,16,0,-1
103,2,16,0,-1
104.0,2.0,16.0,0.0,112.49041557312012
110.0,5.0,8.0,0.0,52.09755897521973
105.0,2.0,4.0,0.0,147.3531723022461
107.0,2.0,16.0,0.0,155.23672103881836
113.0,5.0,16.0,0.0,31.94403648376465
108,2,8,0,-1
114.0,5.0,8.0,0.0,25.9096622467041
109,2,32,0,-1
111,2,32,0,-1
112.0,2.0,32.0,0.0,137.04991340637207
115.0,2.0,16.0,0.0,37.17851638793945
116.0,5.0,8.0,0.0,53.21764945983887
117.0,5.0,8.0,0.0,69.49925422668457
119.0,2.0,4.0,0.0,58.91537666320801
120.0,2.0,4.0,0.0,68.10235977172852
118.0,5.0,32.0,0.0,171.43917083740234
124.0,2.0,4.0,0.0,46.83947563171387
121.0,5.0,32.0,0.0,209.60378646850586
122,5,8,0,-1
123,5,32,0,-1
125.0,5.0,8.0,0.0,100.03995895385742
126.0,5.0,32.0,0.0,107.51938819885254
128.0,2.0,4.0,0.0,93.5978889465332
127.0,5.0,32.0,0.0,184.47494506835938
129.0,2.0,16.0,0.0,147.22037315368652
130.0,5.0,32.0,0.0,173.71249198913574
133.0,2.0,8.0,0.0,124.70030784606934
131,5,16,0,-1
134.0,2.0,16.0,0.0,158.52904319763184
132,5,32,0,-1
136.0,5.0,4.0,0.0,98.44541549682617
135,2,32,0,-1
137.0,2.0,16.0,0.0,133.27693939208984
138.0,5.0,32.0,0.0,153.212308883667
141.0,2.0,8.0,0.0,137.3271942138672
139,5,4,0,-1
143.0,2.0,32.0,0.0,188.0195140838623
140,5,4,0,-1
144,2,32,0,-1
142,5,16,0,-1
146.0,2.0,32.0,0.0,185.58287620544434
145,5,16,0,-1
147.0,5.0,4.0,0.0,133.58497619628906
148.0,2.0,32.0,0.0,153.5651683807373
151,2,4,0,-1
149,5,8,0,-1
153.0,2.0,32.0,0.0,153.1071662902832
150,5,4,0,-1
156.0,2.0,32.0,0.0,115.92721939086914
152,5,4,0,-1
157.0,2.0,8.0,0.0,91.19987487792969
154,5,8,0,-1
158.0,2.0,32.0,0.0,160.3851318359375
155,5,32,0,-1
161.0,2.0,4.0,0.0,154.68573570251465
159,5,16,0,-1
163,2,4,0,-1
160,5,4,0,-1
164.0,2.0,8.0,0.0,134.52982902526855
162,5,4,0,-1
166.0,5.0,8.0,0.0,119.31133270263672
165,2,16,0,-1
167.0,2.0,4.0,0.0,126.19757652282715
168.0,5.0,16.0,0.0,150.11215209960938
169,2,8,0,-1
170,5,16,0,-1
172.0,2.0,4.0,0.0,105.53836822509766
171,5,16,0,-1
177.0,5.0,4.0,0.0,35.72440147399902
173.0,2.0,16.0,0.0,135.26558876037598
174.0,2.0,8.0,0.0,149.84893798828125
180.0,5.0,32.0,0.0,102.6453971862793
182.0,5.0,32.0,0.0,132.06744194030762
175,2,16,0,-1
176,2,8,0,-1
183,5,4,0,-1
184.0,5.0,32.0,0.0,165.07959365844727
178,2,32,0,-1
179,2,8,0,-1
185,5,16,0,-1
181,2,16,0,-1
186,5,4,0,-1
189.0,5.0,8.0,0.0,52.262067794799805
187.0,2.0,16.0,0.0,136.77692413330078
190.0,5.0,8.0,0.0,53.717613220214844
188.0,2.0,8.0,0.0,159.08312797546387
191.0,5.0,8.0,0.0,96.53115272521973
194.0,2.0,32.0,0.0,116.6074275970459
196.0,2.0,16.0,0.0,118.18289756774902
192,5,4,0,-1
197.0,2.0,32.0,0.0,160.31670570373535
193,5,16,0,-1
198,2,8,0,-1
195,5,16,0,-1
199.0,5.0,4.0,0.0,138.20481300354004
200.0,2.0,4.0,0.0,160.13050079345703
201,2,32,0,-1
202,5,16,0,-1
204,2,16,0,-1
203,5,8,0,-1
206.0,2.0,8.0,0.0,151.14688873291016
205,5,4,0,-1
208.0,5.0,8.0,0.0,114.0592098236084
207.0,2.0,16.0,0.0,161.0720157623291
210.0,5.0,16.0,0.0,153.80239486694336
209,2,32,0,-1
211,2,4,0,-1
212,5,32,0,-1
214.0,5.0,32.0,0.0,171.5373992919922
213,2,16,0,-1
215,2,16,0,-1
216,5,4,0,-1
218.0,2.0,8.0,0.0,138.08417320251465
217.0,5.0,32.0,0.0,199.07784461975098
219,2,32,0,-1
220,2,4,0,-1
221.0,2.0,32.0,0.0,172.82629013061523
222,2,4,0,-1
223,2,16,0,-1
224.0,2.0,16.0,0.0,37.10794448852539
226.0,5.0,16.0,0.0,62.44325637817383
225.0,2.0,32.0,0.0,134.3066692352295
228.0,2.0,8.0,0.0,130.41090965270996
227.0,5.0,32.0,0.0,205.17301559448242
232.0,2.0,32.0,0.0,198.62008094787598
229,5,8,0,-1
233,2,4,0,-1
230,5,32,0,-1
235,2,8,0,-1
231,5,32,0,-1
236,2,4,0,-1
234,5,4,0,-1
240.0,2.0,4.0,0.0,96.30417823791504
237.0,5.0,16.0,0.0,180.47022819519043
241.0,2.0,16.0,0.0,153.96928787231445
238,5,32,0,-1
242,2,4,0,-1
239,5,32,0,-1
247.0,5.0,32.0,0.0,98.04606437683105
243,2,32,0,-1
248.0,5.0,4.0,0.0,100.97217559814453
244,2,32,0,-1
250.0,5.0,8.0,0.0,102.28180885314941
245,2,16,0,-1
251.0,5.0,16.0,0.0,127.47740745544434
246,2,4,0,-1
252.0,5.0,32.0,0.0,159.8644256591797
249,2,8,0,-1
254,2,4,0,-1
253,5,8,0,-1
257.0,5.0,4.0,0.0,73.72355461120605
255.0,2.0,32.0,0.0,206.18748664855957
260.0,5.0,32.0,0.0,173.32792282104492
256,2,32,0,-1
258,2,4,0,-1
261,5,8,0,-1
259,2,8,0,-1
263,5,16,0,-1
264.0,5.0,16.0,0.0,115.11754989624023
262,2,8,0,-1
266.0,5.0,16.0,0.0,118.34597587585449
265.0,2.0,32.0,0.0,212.71586418151855
268,2,32,0,-1
267,5,4,0,-1
269,2,4,0,-1
270,5,4,0,-1
271.0,5.0,4.0,0.0,131.08444213867188
273.0,2.0,8.0,0.0,139.57500457763672
274.0,2.0,16.0,0.0,150.01296997070312
272,5,16,0,-1
276.0,5.0,8.0,0.0,142.6866054534912
275,2,32,0,-1
278.0,5.0,4.0,0.0,120.73612213134766
277.0,2.0,16.0,0.0,172.6517677307129
279,2,8,0,-1
280.0,2.0,4.0,0.0,125.22673606872559
286.0,5.0,4.0,0.0,23.455381393432617
281.0,2.0,32.0,0.0,191.59889221191406
288.0,5.0,32.0,0.0,118.85333061218262
282,2,8,0,-1
289.0,5.0,4.0,0.0,96.15206718444824
283,2,16,0,-1
290.0,5.0,32.0,0.0,126.2199878692627
284,2,4,0,-1
292.0,5.0,8.0,0.0,105.51643371582031
285,2,16,0,-1
294.0,5.0,8.0,0.0,56.7624568939209
287,2,8,0,-1
295.0,5.0,8.0,0.0,33.49471092224121
291,2,16,0,-1
296.0,5.0,4.0,0.0,36.05031967163086
293.0,2.0,8.0,0.0,120.31054496765137
301.0,5.0,8.0,0.0,31.877994537353516
297.0,2.0,32.0,0.0,150.58565139770508
302.0,5.0,16.0,0.0,127.5339126586914
298,2,4,0,-1
303.0,5.0,16.0,0.0,145.41387557983398
299,2,16,0,-1
