query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,56.56862258911133
2.0,6.0,32.0,64.0,50.20761489868164
3.0,6.0,16.0,16.0,12.678861618041992
4.0,5.0,4.0,0.0,11.543750762939453
5.0,6.0,8.0,32.0,19.192218780517578
6.0,5.0,16.0,0.0,29.04200553894043
7.0,6.0,16.0,64.0,16.512632369995117
8.0,6.0,8.0,64.0,13.901710510253906
9.0,6.0,16.0,8.0,18.369436264038086
10.0,5.0,32.0,0.0,53.865671157836914
11.0,5.0,16.0,0.0,80.52563667297363
12.0,5.0,4.0,0.0,74.16296005249023
13.0,5.0,8.0,0.0,65.19484519958496
14.0,5.0,8.0,0.0,32.24778175354004
15.0,6.0,16.0,64.0,13.363361358642578
16.0,5.0,16.0,0.0,40.60554504394531
17.0,5.0,8.0,0.0,51.198720932006836
18.0,6.0,32.0,32.0,46.3564395904541
21.0,6.0,8.0,16.0,40.361881256103516
19.0,5.0,8.0,0.0,63.31181526184082
23.0,6.0,8.0,16.0,30.376911163330078
20.0,5.0,16.0,0.0,98.0386734008789
24.0,6.0,32.0,64.0,63.466548919677734
22.0,5.0,32.0,0.0,169.3737506866455
25.0,6.0,4.0,64.0,114.4723892211914
28.0,5.0,4.0,0.0,81.53486251831055
26.0,6.0,8.0,8.0,137.2239589691162
29.0,5.0,8.0,0.0,104.37536239624023
30.0,5.0,4.0,0.0,85.2818489074707
27.0,6.0,8.0,32.0,138.2157802581787
31.0,5.0,8.0,0.0,79.3924331665039
32.0,5.0,16.0,0.0,106.37521743774414
37.0,6.0,4.0,32.0,15.87533950805664
33.0,5.0,4.0,0.0,120.00131607055664
38.0,6.0,4.0,64.0,37.857770919799805
34.0,5.0,8.0,0.0,149.13415908813477
35.0,5.0,4.0,0.0,94.22039985656738
36.0,5.0,4.0,0.0,91.29452705383301
39.0,5.0,32.0,0.0,116.66250228881836
46.0,6.0,32.0,32.0,24.116992950439453
40.0,5.0,32.0,0.0,166.2147045135498
48.0,6.0,16.0,8.0,52.83498764038086
41,5,8,0,-1
49.0,6.0,32.0,32.0,39.5205020904541
42,5,8,0,-1
50.0,6.0,8.0,32.0,50.170183181762695
43,5,16,0,-1
51.0,6.0,4.0,8.0,44.634342193603516
44,5,32,0,-1
45,5,32,0,-1
47.0,5.0,4.0,0.0,124.81927871704102
52.0,5.0,8.0,0.0,43.97845268249512
54.0,6.0,32.0,8.0,29.01911735534668
53.0,5.0,32.0,0.0,87.3563289642334
56.0,5.0,16.0,0.0,46.36216163635254
55.0,6.0,32.0,8.0,103.10506820678711
57.0,5.0,32.0,0.0,104.36868667602539
59.0,6.0,32.0,8.0,66.23125076293945
58.0,5.0,32.0,0.0,162.68205642700195
60.0,6.0,4.0,16.0,125.86426734924316
61.0,5.0,32.0,0.0,174.73220825195312
63,5,8,0,-1
62,6,4,8,-1
66.0,5.0,32.0,0.0,169.2981719970703
64,6,8,8,-1
67,5,8,0,-1
65,6,32,8,-1
68.0,6.0,8.0,32.0,140.67983627319336
69.0,5.0,8.0,0.0,153.66196632385254
74.0,5.0,16.0,0.0,81.61592483520508
70,6,16,8,-1
76.0,5.0,8.0,0.0,66.6954517364502
71,6,32,64,-1
78.0,5.0,8.0,0.0,67.96860694885254
72,6,8,16,-1
79.0,5.0,4.0,0.0,65.44375419616699
73,6,4,16,-1
84.0,5.0,8.0,0.0,23.53072166442871
75.0,6.0,16.0,8.0,149.9941349029541
77.0,6.0,8.0,32.0,132.3256492614746
85.0,5.0,32.0,0.0,95.65377235412598
86.0,5.0,4.0,0.0,85.97922325134277
80,6,16,32,-1
87.0,5.0,4.0,0.0,94.89560127258301
81,6,32,64,-1
90.0,5.0,16.0,0.0,45.13883590698242
82,6,16,8,-1
91.0,5.0,16.0,0.0,65.27447700500488
83,6,32,64,-1
92.0,5.0,4.0,0.0,65.07396697998047
88.0,6.0,32.0,32.0,152.235746383667
95.0,5.0,4.0,0.0,51.17940902709961
89,6,8,64,-1
93.0,6.0,8.0,8.0,104.25662994384766
96.0,5.0,16.0,0.0,73.88186454772949
94.0,6.0,8.0,8.0,120.50080299377441
97.0,5.0,32.0,0.0,131.5007209777832
99.0,6.0,16.0,64.0,131.61492347717285
98.0,5.0,32.0,0.0,201.82538032531738
101,5,16,0,-1
100,6,8,16,-1
103,5,16,0,-1
102,6,8,32,-1
104.0,6.0,4.0,8.0,110.78214645385742
105.0,5.0,4.0,0.0,118.5142993927002
106.0,6.0,32.0,32.0,130.80477714538574
107.0,5.0,32.0,0.0,183.74252319335938
109,5,8,0,-1
108,6,4,8,-1
112.0,5.0,16.0,0.0,106.06193542480469
110.0,6.0,32.0,64.0,158.6012840270996
115.0,5.0,8.0,0.0,76.33233070373535
111,6,8,8,-1
116.0,5.0,16.0,0.0,103.8515567779541
113.0,6.0,32.0,32.0,163.42902183532715
117.0,5.0,32.0,0.0,169.82722282409668
114,6,32,64,-1
118.0,6.0,4.0,16.0,133.32438468933105
121.0,5.0,8.0,0.0,133.50772857666016
124.0,5.0,32.0,0.0,154.58345413208008
119,6,32,64,-1
127.0,5.0,32.0,0.0,136.763334274292
120,6,32,16,-1
129.0,5.0,4.0,0.0,88.17696571350098
122,6,16,16,-1
131.0,5.0,32.0,0.0,74.6145248413086
123,6,32,8,-1
125,6,16,16,-1
126,6,4,16,-1
128,6,32,32,-1
130.0,6.0,4.0,16.0,98.24323654174805
132.0,6.0,8.0,64.0,103.51443290710449
133.0,6.0,4.0,64.0,58.538198471069336
134.0,5.0,8.0,0.0,23.911237716674805
135.0,5.0,32.0,0.0,76.41935348510742
137.0,5.0,4.0,0.0,55.83906173706055
136.0,6.0,16.0,32.0,68.27664375305176
139.0,5.0,8.0,0.0,52.70862579345703
138.0,6.0,16.0,32.0,88.27781677246094
140.0,6.0,8.0,16.0,78.13620567321777
141.0,5.0,4.0,0.0,85.42466163635254
142.0,5.0,4.0,0.0,91.54438972473145
144.0,6.0,16.0,32.0,56.51664733886719
143.0,5.0,8.0,0.0,113.62314224243164
146.0,6.0,16.0,32.0,84.69200134277344
147.0,6.0,4.0,8.0,89.93792533874512
145.0,5.0,8.0,0.0,114.14575576782227
148.0,6.0,8.0,16.0,114.60375785827637
149.0,5.0,8.0,0.0,127.35939025878906
151.0,6.0,4.0,16.0,104.75826263427734
150.0,5.0,16.0,0.0,161.5278720855713
152.0,5.0,4.0,0.0,133.98218154907227
155.0,6.0,32.0,32.0,111.71460151672363
157.0,6.0,16.0,64.0,112.69426345825195
153,5,32,0,-1
154,5,16,0,-1
156.0,5.0,4.0,0.0,132.58647918701172
158.0,5.0,32.0,0.0,111.94086074829102
159.0,5.0,4.0,0.0,114.59517478942871
160.0,6.0,8.0,64.0,66.19763374328613
161.0,6.0,32.0,64.0,83.7714672088623
162.0,5.0,32.0,0.0,132.65228271484375
163.0,6.0,8.0,32.0,144.4871425628662
165.0,5.0,32.0,0.0,122.02668190002441
172.0,5.0,16.0,0.0,66.04170799255371
164,6,4,64,-1
166,6,16,8,-1
167,6,8,64,-1
168.0,6.0,32.0,16.0,143.20111274719238
174.0,5.0,16.0,0.0,40.985107421875
169,6,4,8,-1
176.0,5.0,16.0,0.0,52.811384201049805
170,6,4,8,-1
171,6,32,64,-1
173.0,6.0,8.0,8.0,123.60954284667969
175.0,6.0,4.0,16.0,93.34993362426758
177.0,6.0,8.0,8.0,88.70053291320801
178.0,6.0,32.0,32.0,86.78388595581055
179.0,6.0,8.0,16.0,37.806034088134766
180.0,5.0,32.0,0.0,79.02264595031738
181.0,6.0,8.0,32.0,68.35079193115234
184.0,5.0,8.0,0.0,31.866788864135742
182.0,6.0,32.0,16.0,80.07597923278809
187.0,5.0,32.0,0.0,73.38070869445801
188.0,5.0,4.0,0.0,60.92047691345215
183.0,6.0,16.0,64.0,136.08980178833008
185.0,6.0,8.0,8.0,129.472017288208
189.0,5.0,16.0,0.0,110.64553260803223
186,6,4,8,-1
190.0,5.0,16.0,0.0,28.6867618560791
192.0,6.0,16.0,64.0,38.82265090942383
191.0,5.0,32.0,0.0,94.48099136352539
193.0,6.0,8.0,32.0,96.25577926635742
194.0,5.0,8.0,0.0,108.1247329711914
198.0,5.0,4.0,0.0,40.12036323547363
195.0,6.0,32.0,64.0,132.20977783203125
196.0,6.0,8.0,16.0,136.45029067993164
199.0,5.0,8.0,0.0,79.7567367553711
200.0,5.0,4.0,0.0,81.02011680603027
197,6,4,64,-1
201.0,6.0,16.0,64.0,75.9572982788086
205.0,5.0,16.0,0.0,60.54568290710449
202.0,6.0,32.0,64.0,94.10905838012695
206.0,5.0,32.0,0.0,124.99094009399414
207.0,5.0,32.0,0.0,176.58424377441406
203,6,32,16,-1
208.0,5.0,16.0,0.0,135.35547256469727
204,6,4,8,-1
209.0,5.0,4.0,0.0,135.0538730621338
210.0,6.0,32.0,32.0,128.45778465270996
211.0,6.0,4.0,16.0,140.1212215423584
213.0,5.0,16.0,0.0,165.7850742340088
212,6,16,16,-1
214,6,32,32,-1
215,6,8,8,-1
216,6,4,8,-1
217.0,6.0,32.0,8.0,95.25465965270996
219.0,5.0,8.0,0.0,22.0339298248291
218.0,6.0,32.0,64.0,117.81883239746094
221.0,6.0,8.0,64.0,19.896268844604492
220.0,5.0,8.0,0.0,70.73640823364258
222.0,5.0,32.0,0.0,55.25922775268555
223.0,5.0,8.0,0.0,37.283897399902344
224.0,6.0,16.0,32.0,16.78299903869629
225.0,6.0,4.0,32.0,26.02696418762207
226.0,5.0,32.0,0.0,54.047346115112305
228.0,5.0,4.0,0.0,23.878812789916992
227.0,6.0,16.0,32.0,53.69091033935547
231.0,6.0,4.0,64.0,23.983478546142578
229.0,5.0,8.0,0.0,72.69167900085449
230.0,5.0,4.0,0.0,56.41961097717285
232.0,6.0,16.0,16.0,24.733304977416992
233.0,6.0,8.0,8.0,38.98763656616211
234.0,6.0,8.0,32.0,48.172712326049805
236.0,5.0,16.0,0.0,46.66423797607422
235.0,6.0,8.0,16.0,70.08576393127441
239.0,5.0,32.0,0.0,79.15163040161133
237.0,6.0,4.0,16.0,115.10205268859863
240.0,5.0,8.0,0.0,80.00540733337402
238.0,6.0,8.0,8.0,134.99140739440918
241.0,5.0,16.0,0.0,124.66645240783691
244.0,6.0,4.0,16.0,76.71952247619629
242.0,5.0,4.0,0.0,121.41132354736328
246.0,6.0,4.0,32.0,66.72787666320801
243.0,5.0,16.0,0.0,144.26660537719727
248.0,6.0,32.0,8.0,75.0424861907959
245.0,5.0,32.0,0.0,184.83901023864746
250.0,6.0,8.0,32.0,115.75794219970703
247,5,8,0,-1
249.0,5.0,8.0,0.0,134.62138175964355
251.0,6.0,16.0,8.0,106.07314109802246
252.0,6.0,4.0,16.0,98.56629371643066
254.0,5.0,8.0,0.0,96.1310863494873
253.0,6.0,4.0,8.0,116.8205738067627
259.0,5.0,16.0,0.0,109.1146469116211
262.0,5.0,8.0,0.0,82.90219306945801
255,6,4,32,-1
263.0,5.0,8.0,0.0,91.42065048217773
256,6,8,64,-1
264.0,5.0,32.0,0.0,87.35322952270508
257,6,16,16,-1
265.0,5.0,32.0,0.0,116.95027351379395
258,6,32,64,-1
266.0,5.0,4.0,0.0,108.29567909240723
260,6,4,64,-1
268.0,5.0,16.0,0.0,110.00323295593262
261,6,8,16,-1
273.0,5.0,16.0,0.0,52.56986618041992
267.0,6.0,32.0,8.0,163.60020637512207
274.0,5.0,4.0,0.0,48.00605773925781
269,6,32,16,-1
270.0,6.0,32.0,32.0,148.84281158447266
271,6,32,8,-1
272.0,6.0,16.0,64.0,129.55021858215332
275.0,6.0,4.0,8.0,88.06324005126953
276.0,6.0,4.0,32.0,96.27914428710938
277.0,6.0,8.0,32.0,83.41240882873535
278.0,6.0,16.0,16.0,16.665220260620117
279.0,5.0,16.0,0.0,28.902769088745117
280.0,5.0,16.0,0.0,40.906429290771484
281.0,5.0,8.0,0.0,39.37101364135742
282.0,6.0,4.0,8.0,16.205787658691406
283.0,5.0,16.0,0.0,28.69272232055664
284.0,6.0,16.0,64.0,13.361930847167969
285.0,6.0,8.0,8.0,13.93437385559082
286.0,5.0,32.0,0.0,54.42380905151367
287.0,5.0,4.0,0.0,48.0654239654541
288.0,6.0,16.0,16.0,53.3597469329834
289.0,5.0,32.0,0.0,59.919118881225586
290.0,6.0,8.0,16.0,57.68728256225586
291.0,5.0,8.0,0.0,16.64566993713379
292.0,5.0,32.0,0.0,54.27193641662598
293.0,6.0,16.0,8.0,17.139434814453125
294.0,6.0,16.0,32.0,30.12990951538086
295.0,6.0,8.0,64.0,14.417409896850586
296.0,5.0,8.0,0.0,16.388416290283203
297.0,6.0,4.0,64.0,21.520376205444336
298.0,5.0,16.0,0.0,41.29457473754883
299.0,5.0,16.0,0.0,29.33025360107422
300.0,6.0,8.0,16.0,20.4622745513916
303.0,5.0,4.0,0.0,22.072315216064453
301.0,6.0,32.0,8.0,45.49050331115723
302.0,6.0,32.0,8.0,57.181596755981445
304.0,6.0,16.0,32.0,63.372135162353516
305.0,6.0,16.0,32.0,57.759761810302734
306.0,5.0,32.0,0.0,68.26925277709961
307.0,5.0,8.0,0.0,78.60279083251953
308.0,6.0,32.0,8.0,61.88535690307617
309.0,6.0,8.0,32.0,67.10410118103027
311.0,5.0,16.0,0.0,51.44810676574707
310.0,6.0,32.0,64.0,105.87072372436523
315.0,5.0,32.0,0.0,74.94831085205078
312.0,6.0,8.0,8.0,140.02346992492676
317.0,5.0,4.0,0.0,67.87562370300293
318.0,5.0,32.0,0.0,74.07832145690918
313,6,4,32,-1
319.0,5.0,4.0,0.0,49.527883529663086
314,6,16,64,-1
320.0,5.0,16.0,0.0,70.30534744262695
316,6,8,16,-1
321.0,5.0,16.0,0.0,84.11455154418945
322.0,6.0,32.0,16.0,64.02254104614258
323.0,6.0,4.0,16.0,53.8022518157959
324.0,5.0,16.0,0.0,65.75989723205566
325.0,5.0,32.0,0.0,74.84698295593262
327.0,6.0,8.0,64.0,57.44624137878418
326.0,5.0,8.0,0.0,106.57715797424316
328.0,5.0,16.0,0.0,53.64394187927246
329.0,5.0,4.0,0.0,47.99675941467285
330.0,5.0,16.0,0.0,44.988393783569336
331.0,6.0,32.0,32.0,45.93658447265625
334.0,6.0,8.0,8.0,23.137331008911133
332.0,5.0,4.0,0.0,61.80882453918457
333.0,5.0,4.0,0.0,69.35930252075195
335.0,6.0,16.0,64.0,17.124414443969727
336.0,5.0,8.0,0.0,16.53122901916504
337.0,6.0,4.0,64.0,12.182950973510742
338.0,5.0,16.0,0.0,28.618335723876953
340.0,5.0,16.0,0.0,30.422449111938477
339.0,6.0,32.0,64.0,64.2542839050293
341.0,5.0,4.0,0.0,57.04021453857422
342.0,6.0,4.0,32.0,12.890815734863281
343.0,5.0,4.0,0.0,21.25096321105957
344.0,6.0,32.0,64.0,34.15632247924805
345.0,5.0,32.0,0.0,76.05409622192383
346.0,6.0,4.0,8.0,49.61442947387695
348.0,5.0,16.0,0.0,67.72708892822266
347.0,6.0,4.0,64.0,90.7595157623291
349.0,5.0,16.0,0.0,106.0330867767334
350.0,5.0,8.0,0.0,122.43151664733887
351.0,5.0,8.0,0.0,80.78360557556152
355.0,6.0,8.0,32.0,14.258384704589844
352.0,5.0,16.0,0.0,118.25871467590332
357.0,6.0,8.0,64.0,46.708106994628906
353.0,5.0,32.0,0.0,126.12557411193848
359.0,6.0,8.0,16.0,99.10750389099121
354.0,5.0,16.0,0.0,152.76455879211426
356,5,32,0,-1
358,5,4,0,-1
360.0,5.0,16.0,0.0,130.11860847473145
361.0,5.0,4.0,0.0,139.37044143676758
362,5,32,0,-1
363.0,5.0,16.0,0.0,137.19964027404785
364.0,5.0,16.0,0.0,156.17132186889648
369.0,6.0,32.0,64.0,71.1662769317627
365.0,5.0,4.0,0.0,132.83419609069824
371.0,6.0,32.0,16.0,54.42023277282715
372.0,6.0,16.0,64.0,50.881147384643555
366,5,16,0,-1
375.0,6.0,32.0,64.0,27.205944061279297
367,5,32,0,-1
368,5,8,0,-1
370.0,5.0,16.0,0.0,149.91331100463867
373.0,5.0,4.0,0.0,107.42044448852539
378.0,6.0,16.0,8.0,21.827220916748047
374.0,5.0,4.0,0.0,113.64579200744629
379.0,6.0,16.0,64.0,40.016889572143555
382.0,6.0,4.0,32.0,12.639999389648438
376.0,5.0,32.0,0.0,137.47334480285645
383.0,6.0,32.0,32.0,68.69697570800781
377.0,5.0,32.0,0.0,178.12728881835938
384.0,6.0,16.0,16.0,132.6448917388916
380,5,16,0,-1
387.0,6.0,4.0,64.0,114.62855339050293
381,5,16,0,-1
390.0,6.0,16.0,32.0,116.66202545166016
385.0,5.0,16.0,0.0,158.6775779724121
392.0,6.0,16.0,32.0,114.89057540893555
386,5,32,0,-1
388,5,8,0,-1
389,5,8,0,-1
391,5,32,0,-1
393.0,5.0,16.0,0.0,98.06561470031738
395.0,6.0,32.0,32.0,19.79351043701172
394.0,5.0,32.0,0.0,115.50426483154297
396.0,6.0,4.0,16.0,74.3567943572998
397.0,5.0,4.0,0.0,9.541511535644531
398.0,5.0,4.0,0.0,19.68836784362793
399.0,6.0,8.0,64.0,13.39864730834961
400.0,5.0,4.0,0.0,9.569883346557617
401.0,5.0,32.0,0.0,53.98702621459961
402.0,6.0,32.0,32.0,22.87912368774414
403.0,6.0,8.0,16.0,32.7606201171875
404.0,5.0,8.0,0.0,26.780128479003906
405.0,5.0,8.0,0.0,16.451120376586914
406.0,6.0,8.0,64.0,15.643835067749023
407.0,6.0,8.0,64.0,12.496709823608398
408.0,5.0,4.0,0.0,15.794515609741211
409.0,6.0,4.0,64.0,21.756410598754883
