query_id,model_id,bs,seq_len,search_times,latency
2,5,32,0,0,58.87269973754883
1,6,32,8,0,73.8375186920166
3,6,16,64,0,43.79868507385254
4,5,8,0,0,29.046058654785156
5,2,4,0,1,50.82392692565918
6,5,8,0,1,46.9207763671875
7,5,4,0,0,10.683298110961914
8,5,4,0,0,15.720129013061523
9,5,8,0,0,17.09890365600586
10,6,16,8,0,28.49411964416504
11,1,32,0,0,49.12877082824707
12,1,16,0,1,83.81414413452148
13,2,4,0,1,74.19967651367188
14,2,8,0,0,91.88389778137207
17,1,16,0,1,101.72176361083984
15,2,8,0,1,119.27986145019531
19,5,32,0,1,89.94817733764648
16,6,16,64,1,102.84686088562012
18,1,8,0,1,132.1554183959961
21,2,8,0,1,109.28130149841309
20,5,16,0,1,118.0582046508789
23,6,8,16,1,97.34940528869629
22,1,16,0,2,144.3347930908203
25,5,8,0,2,115.2031421661377
24,1,32,0,2,168.13111305236816
26,2,32,0,2,163.46406936645508
27,5,16,0,2,140.75779914855957
28,1,4,0,2,147.45354652404785
29,6,16,16,2,143.36657524108887
30,2,16,0,0,-1
31,1,16,0,0,-1
32,2,4,0,0,-1
33,1,8,0,0,-1
34,1,4,0,1,130.57589530944824
35,1,8,0,1,134.40942764282227
38,2,8,0,1,127.36153602600098
41,5,4,0,1,80.05070686340332
36,1,16,0,0,-1
37,1,4,0,0,-1
39,1,4,0,1,126.34563446044922
42,5,8,0,1,110.77046394348145
40,1,4,0,2,153.7468433380127
45,2,32,0,2,121.0181713104248
43,1,4,0,2,167.2506332397461
44,1,32,0,0,-1
46,2,8,0,0,-1
47,1,8,0,0,-1
48,2,16,0,0,-1
49,1,32,0,0,-1
50,2,32,0,0,-1
51,5,32,0,0,-1
52,5,4,0,1,121.54865264892578
53,6,16,8,1,119.73786354064941
54,5,32,0,2,143.1598663330078
55,5,16,0,0,-1
56,2,32,0,0,-1
57,6,4,8,0,-1
58,2,8,0,1,146.94499969482422
59,2,32,0,0,-1
60,6,32,8,0,-1
62,2,16,0,1,137.2702121734619
61,6,32,8,0,-1
63,2,32,0,0,-1
64,1,32,0,0,-1
65,5,32,0,0,-1
66,1,32,0,0,-1
70,1,4,0,1,66.00522994995117
67,2,4,0,1,121.51312828063965
69,6,8,8,1,69.94009017944336
68,2,32,0,0,149.66773986816406
73,1,32,0,1,99.34210777282715
71,2,8,0,1,104.15053367614746
72,5,8,0,1,102.783203125
74,1,32,0,1,124.2671012878418
76,5,8,0,1,104.03895378112793
75,1,8,0,2,140.41376113891602
77,5,4,0,2,131.03461265563965
78,1,16,0,1,144.8843479156494
82,2,16,0,1,79.61058616638184
79,5,4,0,1,142.45271682739258
80,6,32,64,1,112.99371719360352
83,1,16,0,1,95.78132629394531
81,5,8,0,1,121.39892578125
92,6,16,8,1,61.679840087890625
85,1,4,0,1,148.3900547027588
95,2,32,0,1,108.59060287475586
84,5,16,0,1,152.77361869812012
93,6,32,64,1,113.71874809265137
86,1,8,0,1,175.82345008850098
97,2,4,0,1,129.4400691986084
87,5,8,0,1,172.55735397338867
98,6,32,32,1,115.4327392578125
89,1,4,0,0,-1
88,5,8,0,0,-1
101,2,16,0,1,115.19193649291992
99,6,8,64,1,145.4489231109619
94,1,8,0,0,-1
90,5,16,0,0,-1
105,2,4,0,1,120.5291748046875
103,6,8,8,1,139.97411727905273
96,1,4,0,0,-1
91,5,4,0,0,-1
104,6,8,8,2,147.1407413482666
100,1,16,0,0,-1
106,2,16,0,0,-1
102,1,4,0,0,-1
107,2,32,0,0,-1
108,2,32,0,0,-1
109,6,16,64,0,-1
110,6,8,16,1,127.65073776245117
111,1,16,0,2,128.59010696411133
112,5,8,0,2,124.27163124084473
113,5,8,0,0,-1
114,6,32,8,0,-1
115,1,4,0,1,135.6797218322754
116,1,4,0,2,150.18367767333984
117,5,32,0,2,147.47905731201172
118,5,8,0,0,-1
119,6,32,8,0,-1
120,1,4,0,1,126.79219245910645
123,2,4,0,1,73.83370399475098
121,6,8,32,1,115.29159545898438
124,1,16,0,1,87.22567558288574
125,5,32,0,1,73.6231803894043
122,6,32,64,1,124.17912483215332
128,2,8,0,1,68.57585906982422
126,5,16,0,1,102.42199897766113
127,6,32,8,1,73.60959053039551
130,1,32,0,1,94.94972229003906
129,2,16,0,1,98.5558032989502
137,1,32,0,1,107.4073314666748
134,2,8,0,1,113.96908760070801
132,5,32,0,1,125.77939033508301
131,6,4,16,1,127.47931480407715
136,2,32,0,1,161.47112846374512
135,5,16,0,1,162.69779205322266
133,6,4,64,1,169.3553924560547
138,5,16,0,2,174.30543899536133
139,2,32,0,0,-1
140,5,4,0,0,-1
141,2,32,0,0,-1
142,6,8,64,0,-1
143,5,4,0,1,119.74906921386719
144,1,4,0,2,124.81546401977539
145,6,4,16,2,101.43804550170898
149,1,4,0,1,74.01275634765625
146,2,32,0,1,126.8303394317627
147,5,8,0,1,125.74458122253418
148,6,32,8,1,96.49348258972168
152,5,4,0,1,56.12015724182129
150,6,4,64,1,82.97038078308105
154,1,8,0,1,79.25677299499512
157,2,4,0,1,56.151628494262695
153,5,16,0,1,80.14631271362305
151,6,4,64,1,104.9349308013916
155,1,8,0,1,105.50832748413086
159,2,8,0,1,82.91316032409668
156,5,8,0,1,87.61763572692871
158,1,4,0,1,118.65401268005371
161,2,8,0,1,93.95885467529297
162,5,16,0,1,93.59288215637207
160,6,16,32,1,95.2906608581543
165,1,16,0,1,83.99653434753418
164,2,4,0,1,93.2011604309082
163,5,16,0,1,121.08349800109863
171,1,8,0,1,67.80648231506348
166,2,8,0,1,106.32681846618652
169,5,4,0,1,82.05723762512207
175,1,4,0,1,69.8537826538086
167,2,16,0,1,129.31060791015625
172,6,32,16,1,83.42361450195312
168,2,8,0,1,137.2067928314209
173,6,16,8,1,104.15101051330566
170,2,32,0,0,-1
174,2,16,0,1,128.72552871704102
176,6,16,64,1,117.78450012207031
178,1,4,0,1,124.89056587219238
177,2,32,0,1,129.68015670776367
179,5,8,0,1,94.7103500366211
180,6,8,64,1,93.40739250183105
182,2,4,0,1,89.99061584472656
181,6,32,32,1,92.05913543701172
187,1,8,0,1,108.56008529663086
186,2,32,0,1,114.27497863769531
185,5,16,0,1,115.62681198120117
183,6,16,8,1,139.72926139831543
190,1,32,0,1,101.57132148742676
189,5,4,0,1,123.29506874084473
184,6,4,16,1,155.18498420715332
193,1,16,0,2,101.62901878356934
192,5,8,0,2,122.33757972717285
188,6,4,8,2,151.85308456420898
196,1,16,0,1,103.99198532104492
195,2,8,0,1,126.33323669433594
194,5,4,0,1,134.14549827575684
191,6,16,32,1,156.49986267089844
198,1,32,0,1,129.7903060913086
200,2,4,0,1,120.70035934448242
197,5,8,0,1,137.3443603515625
201,6,32,16,1,118.88337135314941
206,1,8,0,1,119.12941932678223
199,5,16,0,1,149.49822425842285
203,6,32,32,1,134.1719627380371
202,5,32,0,0,-1
204,6,4,64,0,-1
205,5,32,0,0,-1
207,1,32,0,1,124.20034408569336
208,1,4,0,0,149.37496185302734
209,1,32,0,2,167.2220230102539
210,1,4,0,2,176.73754692077637
211,1,16,0,0,-1
212,2,16,0,1,109.62510108947754
214,5,16,0,1,106.70900344848633
215,6,32,16,1,101.70555114746094
213,2,32,0,2,144.55413818359375
216,6,8,32,2,127.69651412963867
221,1,4,0,1,94.38681602478027
217,2,8,0,1,134.76204872131348
224,5,16,0,1,77.24905014038086
218,6,32,64,1,132.29942321777344
228,1,4,0,1,77.25906372070312
222,2,8,0,1,119.27652359008789
227,5,4,0,1,80.5661678314209
219,6,8,16,1,155.5931568145752
220,6,4,64,0,-1
223,2,4,0,1,146.94738388061523
225,6,32,64,1,122.39217758178711
230,1,8,0,1,126.06024742126465
232,2,4,0,1,102.09107398986816
229,5,8,0,1,136.918306350708
226,6,32,16,1,145.21455764770508
233,1,16,0,1,131.4535140991211
236,2,16,0,1,90.63005447387695
231,6,8,64,1,144.179105758667
235,1,4,0,1,141.13521575927734
237,2,16,0,1,118.35408210754395
238,5,32,0,1,100.02851486206055
234,6,16,8,1,163.771390914917
240,1,4,0,1,112.2891902923584
239,5,8,0,1,119.08578872680664
243,6,4,8,1,77.08859443664551
241,1,32,0,1,135.40983200073242
245,6,8,64,1,94.76947784423828
242,1,32,0,0,-1
244,1,8,0,0,124.15122985839844
249,5,4,0,0,47.544002532958984
248,6,16,32,0,50.171613693237305
246,1,32,0,0,124.90582466125488
247,1,8,0,0,131.80208206176758
250,5,8,0,0,53.03168296813965
253,1,4,0,1,65.53411483764648
254,2,8,0,1,55.81855773925781
251,5,32,0,1,84.13529396057129
255,2,4,0,1,67.67988204956055
252,5,4,0,1,94.19488906860352
258,2,16,0,1,75.6540298461914
257,5,16,0,1,77.05569267272949
