query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,57.92093276977539
2.0,5.0,32.0,0.0,75.81806182861328
5.0,2.0,4.0,0.0,47.75071144104004
4.0,5.0,8.0,0.0,66.82300567626953
3.0,6.0,16.0,64.0,111.65690422058105
6.0,5.0,8.0,0.0,87.62884140014648
10.0,6.0,16.0,8.0,42.56558418273926
11.0,1.0,32.0,0.0,65.31548500061035
7.0,5.0,4.0,0.0,92.20504760742188
13.0,2.0,4.0,0.0,87.20898628234863
12.0,1.0,16.0,0.0,118.66378784179688
14.0,2.0,8.0,0.0,123.51369857788086
16.0,6.0,16.0,64.0,93.10674667358398
17.0,1.0,16.0,0.0,116.76454544067383
8,5,4,0,-1
23.0,6.0,8.0,16.0,92.30279922485352
18.0,1.0,8.0,0.0,150.63047409057617
15,2,8,0,-1
9,5,8,0,-1
21.0,2.0,8.0,0.0,156.7542552947998
29.0,6.0,16.0,16.0,95.51787376403809
22.0,1.0,16.0,0.0,182.37709999084473
19,5,32,0,-1
24,1,32,0,-1
26,2,32,0,-1
20,5,16,0,-1
28.0,1.0,4.0,0.0,138.43178749084473
30.0,2.0,16.0,0.0,161.73958778381348
25,5,8,0,-1
31,1,16,0,-1
32,2,4,0,-1
27,5,16,0,-1
41.0,5.0,4.0,0.0,66.62726402282715
38.0,2.0,8.0,0.0,140.9149169921875
33,1,8,0,-1
42.0,5.0,8.0,0.0,104.86912727355957
53.0,6.0,16.0,8.0,40.28725624084473
45.0,2.0,32.0,0.0,132.1091651916504
34,1,4,0,-1
57.0,6.0,4.0,8.0,52.29616165161133
46.0,2.0,8.0,0.0,171.50211334228516
51.0,5.0,32.0,0.0,157.11164474487305
35,1,8,0,-1
60.0,6.0,32.0,8.0,89.47110176086426
36,1,16,0,-1
48,2,16,0,-1
52,5,4,0,-1
61.0,6.0,32.0,8.0,89.2496109008789
37,1,4,0,-1
50,2,32,0,-1
54,5,32,0,-1
39,1,4,0,-1
56,2,32,0,-1
55,5,16,0,-1
58.0,2.0,8.0,0.0,143.5103416442871
65.0,5.0,32.0,0.0,88.52148056030273
40,1,4,0,-1
69.0,6.0,8.0,8.0,28.501033782958984
43,1,4,0,-1
59,2,32,0,-1
44,1,32,0,-1
62,2,16,0,-1
63.0,2.0,32.0,0.0,164.36171531677246
47,1,8,0,-1
67.0,2.0,4.0,0.0,144.60420608520508
72.0,5.0,8.0,0.0,56.47158622741699
49,1,32,0,-1
76.0,5.0,8.0,0.0,36.26298904418945
64,1,32,0,-1
68,2,32,0,-1
77.0,5.0,4.0,0.0,43.322086334228516
71.0,2.0,8.0,0.0,101.34768486022949
66,1,32,0,-1
79.0,5.0,4.0,0.0,53.897857666015625
80.0,6.0,32.0,64.0,39.78300094604492
70,1,4,0,-1
81.0,5.0,8.0,0.0,39.12806510925293
82.0,2.0,16.0,0.0,43.34306716918945
73.0,1.0,32.0,0.0,181.1392307281494
92.0,6.0,16.0,8.0,42.54007339477539
84.0,5.0,16.0,0.0,89.89620208740234
95.0,2.0,32.0,0.0,79.87689971923828
74,1,32,0,-1
97.0,2.0,4.0,0.0,101.11379623413086
87.0,5.0,8.0,0.0,152.63128280639648
