model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
vgg19,11,16,1,0,vgg19,13,21,1,0,1915.0,2016.92,495.9498902106946
vgg19,14,18,1,0,vgg19,10,20,1,0,2401.0,2549.25,665.6087946384122
vgg19,1,19,1,0,vgg19,16,20,1,0,3642.0,3771.06,780.4630909914961
vgg19,2,19,1,0,vgg19,7,14,1,0,3487.0,3703.82,1159.0163620933056
vgg19,13,19,1,0,vgg19,4,17,1,0,2760.5,2952.99,657.1596684976947
vgg19,17,21,1,0,vgg19,5,11,1,0,1317.5,1457.7,597.8385149854432
vgg19,15,20,1,0,vgg19,3,19,1,0,3462.5,3593.7,524.5549828187699
vgg19,11,21,1,0,vgg19,10,15,1,0,2345.5,2445.09,464.14196308888086
vgg19,17,21,1,0,vgg19,10,14,1,0,1078.5,1152.45,296.18043064996715
vgg19,15,19,1,0,vgg19,2,16,1,0,2692.5,2756.59,407.560083791335
vgg19,4,10,1,0,vgg19,9,14,1,0,1442.5,1552.59,516.9765777092807
vgg19,13,19,1,0,vgg19,10,17,1,0,1618.0,1766.81,690.8740651522533
vgg19,2,13,1,0,vgg19,5,21,1,0,3276.5,3476.26,891.2141226439356
vgg19,0,11,1,0,vgg19,15,20,1,0,2190.5,2351.94,895.3600484721215
vgg19,2,21,1,0,vgg19,7,11,1,0,3743.5,3856.96,811.0496152517428
vgg19,13,21,1,0,vgg19,14,21,1,0,1868.5,2015.18,648.7860568785368
vgg19,13,18,1,0,vgg19,14,18,1,0,1318.5,1417.94,516.1039976593864
vgg19,9,16,1,0,vgg19,15,20,1,0,1530.0,1646.13,367.2840223859459
vgg19,7,17,1,0,vgg19,9,15,1,0,2272.5,2588.62,859.279823805959
vgg19,5,18,1,0,vgg19,1,20,1,0,3904.5,4076.91,800.9938089024159
vgg19,5,13,1,0,vgg19,3,15,1,0,2654.0,2702.63,310.63649672889375
vgg19,1,19,1,0,vgg19,17,21,1,0,3663.5,3952.94,1266.7117495310447
vgg19,4,18,1,0,vgg19,8,18,1,0,2917.0,3142.96,911.5790467096092
vgg19,14,21,1,0,vgg19,16,21,1,0,1678.5,1863.9,565.4941113751761
vgg19,16,21,1,0,vgg19,9,17,1,0,1841.5,1927.7,408.53417237729326
vgg19,7,21,1,0,vgg19,16,20,1,0,3010.0,3221.37,1039.3782435186915
vgg19,1,10,1,0,vgg19,4,16,1,0,2497.0,2823.87,687.246500973268
vgg19,0,21,1,0,vgg19,5,14,1,0,4136.5,4571.47,1404.210272395128
vgg19,13,18,1,0,vgg19,9,21,1,0,2640.0,2744.95,490.81761123659777
vgg19,12,18,1,0,vgg19,2,12,1,0,2079.5,2096.78,159.00531940787388
vgg19,10,15,1,0,vgg19,13,17,1,0,1297.0,1325.37,88.28608667281611
vgg19,12,21,1,0,vgg19,1,15,1,0,2864.5,2883.17,142.79559201880147
vgg19,8,12,1,0,vgg19,5,12,1,0,1560.5,1574.29,102.0141455877566
vgg19,13,17,1,0,vgg19,1,16,1,0,2925.0,2933.75,90.6083191544794
vgg19,9,16,1,0,vgg19,13,19,1,0,1639.5,1749.81,452.5127776096494
vgg19,5,21,1,0,vgg19,8,17,1,0,3231.5,3234.63,78.17028271664367
vgg19,17,21,1,0,vgg19,15,21,1,0,1442.0,1459.79,109.53860461042947
vgg19,4,18,1,0,vgg19,10,15,1,0,2937.5,2948.07,78.96116197219997
vgg19,13,19,1,0,vgg19,4,18,1,0,2962.5,3026.34,275.4625281231551
vgg19,0,10,1,0,vgg19,13,19,1,0,2075.5,2107.07,163.95067886410231
vgg19,5,18,1,0,vgg19,12,17,1,0,2733.0,2762.26,203.08173822379993
vgg19,13,19,1,0,vgg19,14,19,1,0,1552.0,1566.99,69.98478334609602
vgg19,14,19,1,0,vgg19,17,21,1,0,1271.0,1297.59,73.34004295062827
vgg19,1,6,1,0,vgg19,11,15,1,0,1242.5,1258.26,79.28816052854297
vgg19,2,20,1,0,vgg19,16,20,1,0,3690.5,3952.12,1321.8409229555575
vgg19,8,12,1,0,vgg19,15,21,1,0,1488.0,1507.92,127.07853319896324
vgg19,6,21,1,0,vgg19,14,20,1,0,3148.5,3350.8,1028.6961358924218
vgg19,16,20,1,0,vgg19,13,21,1,0,1901.5,2032.87,530.7689451164226
vgg19,11,20,1,0,vgg19,14,19,1,0,2283.5,2406.91,463.38092526559615
vgg19,15,20,1,0,vgg19,4,18,1,0,2989.0,3063.04,323.5655086686466
vgg19,4,16,1,0,vgg19,3,21,1,0,3708.5,3737.92,161.76752949835142
vgg19,11,15,1,0,vgg19,0,13,1,0,2672.5,2709.02,241.02157496788539
vgg19,9,15,1,0,vgg19,9,15,1,0,1572.5,1605.49,188.3562313808598
vgg19,5,20,1,0,vgg19,15,19,1,0,3186.0,3188.45,76.50887203455558
vgg19,12,18,1,0,vgg19,4,10,1,0,1599.5,1618.3,183.3783247824017
vgg19,16,21,1,0,vgg19,16,21,1,0,1433.5,1499.85,257.3496599958896
vgg19,0,5,1,0,vgg19,11,19,1,0,2064.0,2097.32,233.02544410428663
vgg19,15,19,1,0,vgg19,3,13,1,0,2204.5,2204.31,78.0081655982244
vgg19,10,14,1,0,vgg19,0,18,1,0,3591.5,3598.47,92.24363988915441
vgg19,0,20,1,0,vgg19,0,14,1,0,4077.0,4147.05,412.64704954718866
vgg19,12,18,1,0,vgg19,5,21,1,0,3294.5,3314.13,152.5448560260227
vgg19,8,20,1,0,vgg19,15,20,1,0,2780.5,3191.91,1230.779201116106
vgg19,4,19,1,0,vgg19,3,9,1,0,3186.5,3289.61,777.3940300130944
vgg19,8,18,1,0,vgg19,2,11,1,0,2277.5,2458.26,646.2332337476927
vgg19,8,14,1,0,vgg19,13,19,1,0,1705.5,1796.25,525.584177368383
vgg19,15,20,1,0,vgg19,12,17,1,0,1442.5,1523.39,451.5014705402408
vgg19,0,4,1,0,vgg19,13,20,1,0,1930.5,1940.73,162.45890895854248
vgg19,5,10,1,0,vgg19,1,10,1,0,1972.5,1987.06,189.3815629885866
vgg19,15,20,1,0,vgg19,15,20,1,0,1369.5,1406.0,140.52615414932552
vgg19,11,19,1,0,vgg19,1,14,1,0,2669.0,2680.35,59.16187539285752
vgg19,9,20,1,0,vgg19,15,19,1,0,2516.5,2523.69,68.79428682674165
vgg19,6,15,1,0,vgg19,14,19,1,0,2143.5,2166.75,113.63796680687314
vgg19,9,16,1,0,vgg19,0,21,1,0,4187.0,4239.04,368.2127624078231
vgg19,4,21,1,0,vgg19,7,15,1,0,3508.0,3542.41,243.21825979971155
vgg19,10,17,1,0,vgg19,2,18,1,0,3280.0,3292.59,191.54347261131088
vgg19,4,16,1,0,vgg19,15,21,1,0,2430.0,2465.23,201.03988932547688
vgg19,0,20,1,0,vgg19,1,6,1,0,4007.5,4007.52,79.54375902608575
vgg19,10,14,1,0,vgg19,17,21,1,0,1211.0,1217.31,119.61109438509456
vgg19,6,12,1,0,vgg19,1,13,1,0,2513.5,2592.52,409.74861756935803
vgg19,3,14,1,0,vgg19,10,15,1,0,2448.5,2596.21,551.0986353639428
vgg19,15,21,1,0,vgg19,3,15,1,0,2591.0,2734.96,622.0891723860816
vgg19,11,21,1,0,vgg19,2,14,1,0,2474.0,2641.56,894.0671375237993
vgg19,14,21,1,0,vgg19,17,21,1,0,1703.0,1863.71,722.7003984363092
vgg19,7,13,1,0,vgg19,14,21,1,0,1680.0,1762.38,451.2288949081164
vgg19,13,17,1,0,vgg19,11,21,1,0,2392.5,2441.53,289.197629831228
vgg19,10,19,1,0,vgg19,0,5,1,0,2135.5,2229.25,465.89426643821236
vgg19,5,21,1,0,vgg19,17,21,1,0,3299.5,3340.69,246.2236257957388
vgg19,8,15,1,0,vgg19,3,11,1,0,1750.5,1831.37,274.44517321315743
vgg19,8,20,1,0,vgg19,17,21,1,0,2749.5,2757.67,64.40513255944747
vgg19,14,21,1,0,vgg19,15,21,1,0,1673.0,1696.04,133.03232088481357
vgg19,13,17,1,0,vgg19,3,13,1,0,2208.0,2231.17,155.49604850284783
vgg19,5,19,1,0,vgg19,1,9,1,0,2976.0,2997.04,141.0649439088252
vgg19,17,21,1,0,vgg19,9,19,1,0,2348.5,2409.94,299.86983242733834
vgg19,13,20,1,0,vgg19,8,19,1,0,2590.5,2613.61,192.04623896343298
vgg19,6,21,1,0,vgg19,0,17,1,0,3364.0,3399.36,246.99730848735985
vgg19,1,19,1,0,vgg19,6,11,1,0,3673.0,3681.93,68.98061394333918
vgg19,6,19,1,0,vgg19,5,12,1,0,2944.5,2953.31,74.69708093359472
vgg19,2,13,1,0,vgg19,13,19,1,0,2268.5,2279.86,120.5002921158285
vgg19,7,18,1,0,vgg19,9,20,1,0,2570.5,2576.43,75.21359651020553
vgg19,0,8,1,0,vgg19,7,20,1,0,3104.5,3186.03,470.7189916500077
vgg19,9,15,1,0,vgg19,2,9,1,0,1543.5,1666.05,529.0531235140758
vgg19,4,9,1,0,vgg19,0,13,1,0,2721.0,2800.17,536.2247486828634
vgg19,16,21,1,0,vgg19,5,16,1,0,2302.0,2319.66,121.81545222179328
vgg19,0,21,1,0,vgg19,1,20,1,0,4001.5,4275.47,988.1757177243327
vgg19,15,20,1,0,vgg19,10,21,1,0,2395.5,2455.59,397.74715825509054
vgg19,12,19,1,0,vgg19,5,16,1,0,2280.5,2328.78,255.1693390672163
vgg19,9,14,1,0,vgg19,14,20,1,0,1644.5,1679.35,230.30446695624465
vgg19,17,21,1,0,vgg19,5,9,1,0,1170.5,1171.64,106.52891813963005
vgg19,16,20,1,0,vgg19,10,15,1,0,1362.5,1390.33,102.5165406166244
vgg19,9,19,1,0,vgg19,16,21,1,0,2336.5,2332.62,67.55572218546702
vgg19,11,19,1,0,vgg19,11,17,1,0,2027.0,2031.37,61.41997313578051
vgg19,6,15,1,0,vgg19,15,21,1,0,2150.5,2144.46,62.421217546600296
vgg19,11,20,1,0,vgg19,13,21,1,0,2264.5,2273.24,57.21505396309611
vgg19,10,20,1,0,vgg19,12,20,1,0,2321.0,2336.06,73.13040680865929
