model,start,end,bs,model,start,end,bs,median,mean,var
resnet101,17,31,1,inception_v3,7,12,1,14202.5,15256.48,2514.192997683352
resnet101,13,26,1,inception_v3,3,7,1,11897.5,12801.9,1707.0773005344545
resnet101,8,28,1,inception_v3,1,10,1,24607.0,25077.77,4145.290884497733
resnet101,22,26,1,inception_v3,5,13,1,22710.5,23541.26,4182.529838793742
resnet101,8,12,1,inception_v3,2,9,1,20128.0,20778.51,4300.283505758661
resnet101,25,34,1,inception_v3,7,12,1,14953.0,16282.8,3472.6345387903984
resnet101,7,23,1,inception_v3,7,12,1,17432.0,17872.96,3254.9324629552607
resnet101,9,18,1,inception_v3,3,11,1,25249.0,24718.26,4093.8892892211925
resnet101,8,33,1,inception_v3,0,5,1,22662.0,22821.75,602.6720065674197
resnet101,15,23,1,inception_v3,2,13,1,25815.0,26610.21,1903.9583361775542
resnet101,21,34,1,inception_v3,4,12,1,19181.5,19414.08,783.699287737331
resnet101,13,18,1,inception_v3,8,12,1,10595.5,11179.05,1618.0043719038586
resnet101,14,22,1,inception_v3,3,10,1,16635.0,16811.63,660.3691642558729
resnet101,16,29,1,inception_v3,6,11,1,13238.5,14328.51,2101.7329682669015
resnet101,25,30,1,inception_v3,9,13,1,10317.0,10568.32,895.1532704514908
resnet101,26,33,1,inception_v3,9,13,1,10345.0,10672.16,1008.0766609737575
resnet101,2,10,1,inception_v3,2,8,1,13008.0,13212.72,557.0849859761076
resnet101,19,24,1,inception_v3,7,11,1,10583.5,10635.96,306.5628131394935
resnet101,17,23,1,inception_v3,5,10,1,12581.0,12751.05,583.1299233447037
resnet101,4,13,1,inception_v3,2,12,1,22983.5,23337.63,1490.776426262503
resnet101,14,21,1,inception_v3,5,9,1,9767.0,9951.22,729.8946989806133
