model,start,end,bs,model,start,end,bs,median,mean,var
resnet50,8,17,1,resnet50,2,7,1,9789.5,10143.06,1389.8673808676856
resnet50,5,9,1,resnet50,0,6,1,5008.5,5102.18,666.8686884237405
resnet50,13,17,1,resnet50,4,10,1,6060.5,6456.65,1197.1155364040683
resnet50,0,11,1,resnet50,11,17,1,9596.5,10766.83,2406.3593374847405
resnet50,13,17,1,resnet50,13,17,1,4165.5,4622.56,1503.6839715844549
resnet50,3,15,1,resnet50,13,17,1,11307.0,12637.03,2665.44445245066
resnet50,0,13,1,resnet50,2,17,1,13821.0,14471.55,1429.3557456070898
resnet50,4,13,1,resnet50,10,14,1,8583.0,8608.43,220.69491407823605
resnet50,6,12,1,resnet50,3,12,1,8515.0,8770.76,860.0877992391243
resnet50,0,4,1,resnet50,7,16,1,8649.5,8723.51,432.45891122741364
resnet50,4,13,1,resnet50,11,15,1,8610.0,9390.06,1985.7628197748088
resnet50,12,16,1,resnet50,0,14,1,12154.0,12484.8,1268.02448714526
resnet50,11,15,1,resnet50,10,15,1,4988.5,5078.62,402.7882019126181
resnet50,13,17,1,resnet50,7,12,1,4965.5,5045.9,420.62269315860743
resnet50,2,8,1,resnet50,7,17,1,9547.5,9715.56,697.6668018474148
resnet50,2,17,1,resnet50,11,16,1,13888.0,15578.75,3176.391324679628
resnet50,9,15,1,resnet50,3,16,1,13630.5,13712.82,1181.6345829400898
resnet50,2,11,1,resnet50,0,15,1,14872.5,14976.95,434.4953710915687
resnet50,11,17,1,resnet50,5,12,1,7519.0,7645.25,623.9483852851934
resnet50,6,14,1,resnet50,2,12,1,10440.5,11235.66,1777.4449033373724
resnet50,0,6,1,resnet50,1,6,1,5402.0,6220.76,1926.2737973611122
resnet50,9,16,1,resnet50,13,17,1,6783.0,7058.65,1071.3400428902114
resnet50,3,10,1,resnet50,12,16,1,6752.5,6893.1,800.0025187460349
resnet50,10,14,1,resnet50,13,17,1,4356.0,4563.34,638.872212887679
resnet50,1,17,1,resnet50,9,13,1,16437.0,16515.83,574.4670757319343
resnet50,12,16,1,resnet50,12,17,1,5553.5,5960.5,1289.820991455791
resnet50,3,9,1,resnet50,7,11,1,5850.5,6485.41,1505.2147427858922
resnet50,1,11,1,resnet50,5,10,1,9155.5,9618.44,1495.2590633064226
resnet50,4,11,1,resnet50,8,14,1,6709.5,6742.52,232.23907853761392
resnet50,7,13,1,resnet50,2,12,1,9182.0,9286.73,665.9082047099284
resnet50,7,16,1,resnet50,3,8,1,9740.5,9820.07,518.6092412404546
resnet50,11,16,1,resnet50,0,4,1,5681.0,6219.37,1245.1311549792656
resnet50,12,17,1,resnet50,4,12,1,7734.5,8205.26,1204.0804094411635
resnet50,11,15,1,resnet50,1,6,1,4704.0,5116.47,1372.8634415337892
resnet50,11,15,1,resnet50,5,17,1,11177.0,11438.79,1203.6425241324769
resnet50,12,17,1,resnet50,9,14,1,5545.5,5671.25,515.5809805452486
resnet50,11,15,1,resnet50,9,14,1,5443.0,5511.69,337.994517559087
resnet50,1,6,1,resnet50,10,14,1,4689.5,4800.69,464.8033712227139
resnet50,8,17,1,resnet50,13,17,1,8811.5,9416.42,1728.2178981829807
resnet50,2,10,1,resnet50,6,15,1,8676.5,9320.93,1694.276490157377
resnet50,9,15,1,resnet50,9,15,1,6587.0,7269.52,1355.2022541303568
resnet50,0,7,1,resnet50,11,17,1,6467.0,6518.31,315.79796373631035
resnet50,2,16,1,resnet50,0,14,1,14493.0,14598.74,668.8704302030402
resnet50,9,14,1,resnet50,6,13,1,6625.0,7000.29,1160.1433902324316
resnet50,3,12,1,resnet50,10,17,1,8415.5,8612.13,1112.4544184369981
resnet50,11,15,1,resnet50,6,10,1,4090.5,4431.26,855.5326015997285
resnet50,2,9,1,resnet50,2,17,1,13738.0,13896.38,495.5098138281421
resnet50,10,14,1,resnet50,1,16,1,13749.0,13847.6,521.1195064474175
resnet50,9,14,1,resnet50,5,12,1,6873.5,7608.86,2023.4574471433789
resnet50,1,15,1,resnet50,7,17,1,12967.5,13139.46,926.47240023651
resnet50,6,14,1,resnet50,5,15,1,10706.0,11162.2,1667.9592800785038
resnet50,1,14,1,resnet50,2,14,1,12471.0,13786.48,2452.966866796207
resnet50,4,13,1,resnet50,1,16,1,15591.5,16034.77,1173.0822379952735
resnet50,2,11,1,resnet50,4,10,1,8419.5,8499.42,409.247753323094
resnet50,9,13,1,resnet50,3,9,1,6595.0,6598.39,550.0737931405204
resnet50,13,17,1,resnet50,13,17,1,4234.0,4477.35,847.1653601865459
resnet50,0,8,1,resnet50,4,8,1,6697.5,7512.24,2121.558324062763
resnet50,7,11,1,resnet50,13,17,1,4289.5,4974.5,1340.5298094410284
resnet50,11,15,1,resnet50,2,9,1,7388.5,7652.23,951.2640732730317
resnet50,7,17,1,resnet50,4,12,1,9680.5,10836.2,2097.843731072455
resnet50,13,17,1,resnet50,11,16,1,5050.5,5415.56,1112.0293190379468
resnet50,4,12,1,resnet50,1,13,1,11034.0,11330.78,901.7870988210021
resnet50,7,16,1,resnet50,12,16,1,8673.0,9371.13,2082.854669222027
resnet50,9,15,1,resnet50,12,17,1,5960.5,7042.73,1962.9467229397746
resnet50,7,11,1,resnet50,10,14,1,4101.0,4385.3,778.9204773274355
resnet50,5,11,1,resnet50,13,17,1,5714.5,5872.34,886.061761052806
resnet50,7,17,1,resnet50,3,7,1,9399.0,9542.02,795.5839236686472
resnet50,8,17,1,resnet50,1,7,1,8595.0,8654.9,364.3764399628495
resnet50,3,11,1,resnet50,3,17,1,12860.0,13126.52,764.8617061926947
resnet50,4,16,1,resnet50,1,10,1,12801.0,13652.47,2797.7459157507496
resnet50,0,14,1,resnet50,8,15,1,12044.0,12238.03,1050.4358186486215
resnet50,0,14,1,resnet50,3,15,1,12072.5,12171.53,455.7418009136314
resnet50,9,13,1,resnet50,11,17,1,5848.5,5916.3,351.24909964297416
resnet50,8,14,1,resnet50,11,17,1,5784.0,5865.09,431.4323143901022
resnet50,6,13,1,resnet50,11,15,1,6783.0,8081.94,2282.3369594343426
resnet50,12,17,1,resnet50,1,13,1,10852.0,11027.58,704.6836904597693
resnet50,11,15,1,resnet50,8,15,1,6909.0,7022.28,510.81435140371696
resnet50,1,10,1,resnet50,9,15,1,9257.0,9317.5,268.1804429856883
resnet50,10,16,1,resnet50,5,17,1,11186.0,11229.06,308.20635360096
resnet50,1,14,1,resnet50,13,17,1,11835.0,13167.27,2593.33213782963
resnet50,6,16,1,resnet50,9,15,1,9533.0,10399.17,2246.7101951742684
resnet50,11,15,1,resnet50,0,10,1,8609.5,8714.81,565.7341017651314
resnet50,7,16,1,resnet50,8,13,1,8642.5,8660.92,174.489465584602
resnet50,4,13,1,resnet50,12,16,1,8538.5,8778.94,899.411116453427
resnet50,1,10,1,resnet50,0,14,1,12235.5,12930.81,1683.5478769253937
