predictor,combinations,mae,mape
mlp,all,0.61757916,0.071183585
mlp,all,0.66808385,0.07579365
mlp,all,0.6149815,0.0694594
mlp,all,0.60286486,0.069289915
mlp,resnet101_inception_v3,0.3836787,0.03248404
mlp,resnet50_resnet152,0.8149277,0.07057368
mlp,resnet152_vgg19,0.651197,0.05938762
mlp,resnet50_inception_v3,0.3583783,0.033377144
mlp,resnet101_resnet152,0.43606955,0.04357675
mlp,inception_v3_inception_v3,0.40304992,0.032346748
mlp,vgg19_vgg19,0.52587163,0.09491877
mlp,resnet101_vgg19,0.24720517,0.03406925
mlp,resnet50_vgg16,0.25829068,0.045557175
mlp,resnet101_resnet101,0.48225117,0.04683947
mlp,resnet50_resnet50,0.29270282,0.040913664
mlp,resnet101_vgg16,0.20727108,0.027919792
mlp,resnet50_vgg19,0.20814447,0.03581926
mlp,resnet152_inception_v3,0.4479475,0.03400796
mlp,inception_v3_vgg19,0.5778436,0.04993909
mlp,resnet50_resnet101,0.21372549,0.027316641
mlp,inception_v3_vgg16,0.51599103,0.044322193
mlp,resnet152_vgg16,0.69213504,0.07541118
mlp,resnet152_resnet152,0.39087763,0.033787694
mlp,vgg16_vgg16,0.45023933,0.10384058
mlp,vgg16_vgg19,0.50182396,0.09665157
mlp,all,0.61400086,0.070069626
