query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,55.557966232299805
2,6,32,64,0,45.94826698303223
3,6,16,16,0,12.069940567016602
4,1,4,0,0,20.204782485961914
5,6,8,32,0,27.26912498474121
6,1,16,0,0,23.76699447631836
7,6,16,64,0,14.891386032104492
8,6,8,64,0,19.15597915649414
9,6,16,8,0,17.119407653808594
10,1,32,0,0,27.618408203125
11,1,16,0,0,51.16987228393555
12,1,4,0,0,50.450801849365234
13,1,8,0,0,45.757293701171875
14,1,8,0,0,25.054931640625
15,6,16,64,0,19.723176956176758
16,1,16,0,0,40.39883613586426
17,1,8,0,0,56.461334228515625
19,1,8,0,1,57.119131088256836
18,6,32,32,1,69.12803649902344
20,1,16,0,1,71.72417640686035
21,6,8,16,1,70.9683895111084
22,1,32,0,1,97.29814529418945
23,6,8,16,1,60.19878387451172
24,6,32,64,0,59.5855712890625
25,6,4,64,0,53.65443229675293
28,1,4,0,1,31.218290328979492
26,6,8,8,1,71.3651180267334
29,1,8,0,1,47.88804054260254
27,6,8,32,1,58.82596969604492
30,1,4,0,0,40.49515724182129
31,1,8,0,0,28.983592987060547
32,1,16,0,0,52.92534828186035
33,1,4,0,0,69.27061080932617
34,1,8,0,0,89.84136581420898
35,1,4,0,0,46.26750946044922
36,1,4,0,0,60.40453910827637
39,1,32,0,1,56.61821365356445
37,6,4,32,1,69.92959976196289
40,1,32,0,1,63.16494941711426
38,6,4,64,1,93.19257736206055
41,1,8,0,0,79.22720909118652
42,1,8,0,0,86.61723136901855
43,1,16,0,0,75.77919960021973
44,1,32,0,1,92.27442741394043
46,6,32,32,1,73.55880737304688
45,1,32,0,1,95.69954872131348
48,6,16,8,1,57.60622024536133
47,1,4,0,1,96.89927101135254
49,6,32,32,1,53.03001403808594
50,6,8,32,0,65.64855575561523
51,6,4,8,0,56.30373954772949
52,1,8,0,0,53.28369140625
53,1,32,0,0,51.14150047302246
54,6,32,8,0,57.346343994140625
55,6,32,8,0,43.761253356933594
56,1,16,0,0,25.647401809692383
57,1,32,0,0,36.505699157714844
58,1,32,0,0,45.932769775390625
59,6,32,8,0,15.530586242675781
61,1,32,0,0,39.069414138793945
60,6,4,16,0,43.454647064208984
63,1,8,0,0,48.72727394104004
62,6,4,8,0,48.963308334350586
64,6,8,8,0,61.595916748046875
65,6,32,8,0,66.4052963256836
66,1,32,0,0,53.379058837890625
67,1,8,0,0,69.08822059631348
69,1,8,0,1,55.38821220397949
68,6,8,32,1,58.045387268066406
70,6,16,8,0,69.15521621704102
71,6,32,64,0,65.19198417663574
72,6,8,16,0,52.657365798950195
73,6,4,16,0,29.146194458007812
74,1,16,0,0,37.274837493896484
75,6,16,8,0,30.791521072387695
76,1,8,0,0,28.094053268432617
77,6,8,32,0,33.347368240356445
78,1,8,0,0,48.47288131713867
79,1,4,0,1,57.10601806640625
80,6,16,32,1,49.58963394165039
81,6,32,64,0,59.28325653076172
82,6,16,8,0,71.40517234802246
84,1,8,0,1,61.35678291320801
83,6,32,64,1,63.99345397949219
85,1,32,0,0,77.95858383178711
86,1,4,0,1,86.46368980407715
88,6,32,32,1,57.02948570251465
87,1,4,0,1,107.9709529876709
89,6,8,64,1,79.80751991271973
90,1,16,0,0,57.979583740234375
91,1,16,0,1,75.45161247253418
93,6,8,8,1,62.503814697265625
92,1,4,0,1,86.1663818359375
94,6,8,8,1,56.56027793884277
95,1,4,0,0,73.7297534942627
96,1,16,0,0,81.41469955444336
97,1,32,0,1,92.60225296020508
99,6,16,64,1,73.44293594360352
98,1,32,0,1,111.82808876037598
100,6,8,16,1,72.10898399353027
101,1,16,0,1,79.12611961364746
102,6,8,32,1,70.63579559326172
103,1,16,0,1,94.2223072052002
104,6,4,8,1,57.11627006530762
105,1,4,0,1,77.80957221984863
106,6,32,32,1,72.55816459655762
107,1,32,0,1,95.66974639892578
108,6,4,8,1,63.271522521972656
109,1,8,0,0,70.78766822814941
110,6,32,64,0,56.42986297607422
112,1,16,0,1,46.57268524169922
111,6,8,8,1,65.49644470214844
113,6,32,32,0,35.53628921508789
114,6,32,64,0,40.77601432800293
115,1,8,0,0,40.7414436340332
116,1,16,0,0,62.574148178100586
117,1,32,0,0,79.24652099609375
121,1,8,0,0,32.76467323303223
118,6,4,16,0,47.956228256225586
119,6,32,64,0,56.78415298461914
120,6,32,16,0,57.733774185180664
124,1,32,0,1,52.80947685241699
122,6,16,16,1,86.0140323638916
123,6,32,8,0,97.70822525024414
125,6,16,16,0,59.30805206298828
126,6,4,16,0,49.53503608703613
127,1,32,0,0,39.2765998840332
128,6,32,32,0,36.51165962219238
129,1,4,0,0,37.192583084106445
