query_id,model_id,bs,seq_len,search_times,latency
2,1,32,0,0,50.56047439575195
1,3,32,0,0,79.74958419799805
3,3,16,0,0,69.34380531311035
5,1,4,0,0,34.84320640563965
4,3,8,0,0,43.89214515686035
6,3,8,0,0,46.27585411071777
7,3,4,0,0,15.874862670898438
8,3,4,0,0,30.642986297607422
9,3,8,0,0,32.768964767456055
10,3,16,0,0,36.12947463989258
11,1,4,0,0,42.13261604309082
12,1,32,0,0,30.482769012451172
13,1,16,0,0,31.716346740722656
14,1,4,0,0,39.6275520324707
15,1,8,0,0,34.03067588806152
16,1,8,0,0,23.725271224975586
17,3,16,0,0,19.61231231689453
19,1,8,0,0,40.25101661682129
18,3,16,0,0,42.66929626464844
20,3,32,0,0,43.28489303588867
21,3,16,0,0,46.36502265930176
22,1,8,0,0,53.77030372619629
23,1,16,0,1,75.02985000610352
24,3,8,0,1,55.94968795776367
25,1,4,0,0,71.86222076416016
26,3,16,0,0,43.62821578979492
27,1,32,0,0,27.67014503479004
28,3,16,0,0,19.716978073120117
29,1,4,0,0,25.302410125732422
30,3,16,0,0,32.68265724182129
31,1,16,0,0,42.11568832397461
32,1,16,0,0,60.51301956176758
33,1,4,0,0,61.60235404968262
34,1,8,0,0,71.96545600891113
35,1,4,0,0,57.6779842376709
36,1,8,0,0,40.85206985473633
37,1,16,0,0,56.432247161865234
38,1,4,0,0,72.15189933776855
39,1,8,0,0,94.52676773071289
40,1,4,0,0,46.4019775390625
41,1,4,0,1,55.70411682128906
42,3,4,0,1,39.82186317443848
44,1,4,0,1,57.73138999938965
43,3,8,0,1,66.54977798461914
45,1,32,0,0,66.21932983398438
46,1,32,0,0,66.77007675170898
47,1,8,0,0,85.72101593017578
48,1,8,0,0,89.56527709960938
49,1,16,0,1,85.49857139587402
52,3,32,0,1,58.206796646118164
50,1,32,0,1,103.94811630249023
53,3,4,0,1,64.12482261657715
51,1,32,0,1,106.97746276855469
54,3,16,0,1,82.00430870056152
55,1,8,0,0,79.62632179260254
56,1,32,0,1,88.2415771484375
57,3,16,0,1,59.35811996459961
58,1,32,0,0,65.2923583984375
59,3,4,0,0,65.11926651000977
60,1,16,0,0,52.05988883972168
61,1,32,0,1,59.020280838012695
62,3,32,0,1,53.38788032531738
63,1,32,0,0,52.86836624145508
64,1,4,0,1,72.32069969177246
65,3,32,0,1,68.58634948730469
66,3,4,0,0,64.78261947631836
67,1,16,0,0,44.38638687133789
68,3,32,0,0,30.569076538085938
69,1,4,0,0,51.96356773376465
70,1,32,0,0,61.797142028808594
71,3,8,0,0,29.41584587097168
72,1,4,0,0,46.292781829833984
73,1,8,0,0,46.9515323638916
74,3,8,0,0,42.574405670166016
75,1,32,0,0,64.06140327453613
76,1,32,0,0,77.92377471923828
77,1,8,0,1,104.78377342224121
78,3,8,0,1,65.17744064331055
79,3,4,0,0,87.17131614685059
80,1,16,0,1,72.7088451385498
81,3,4,0,1,67.94357299804688
82,3,32,0,0,31.696796417236328
83,3,8,0,0,31.027555465698242
84,1,16,0,0,48.302650451660156
86,3,16,0,0,35.56942939758301
85,1,16,0,0,60.487985610961914
87,1,4,0,1,71.1817741394043
89,3,8,0,1,56.28538131713867
88,1,8,0,1,84.48600769042969
90,3,8,0,1,68.89224052429199
91,1,4,0,1,91.89176559448242
92,3,16,0,1,84.36441421508789
95,1,32,0,1,75.92558860778809
93,3,4,0,1,99.87688064575195
97,1,32,0,1,87.16034889221191
94,3,16,0,1,114.4254207611084
98,1,4,0,1,57.23428726196289
96,3,16,0,1,108.8402271270752
99,1,4,0,1,81.36820793151855
100,3,32,0,1,53.48968505859375
102,1,16,0,1,65.58537483215332
101,3,32,0,1,77.68464088439941
103,1,16,0,0,75.58870315551758
104,1,16,0,0,28.800487518310547
105,1,4,0,0,46.507835388183594
106,3,8,0,0,45.018672943115234
107,1,16,0,0,39.76178169250488
108,1,8,0,0,47.60241508483887
109,1,32,0,1,51.56707763671875
110,3,8,0,1,49.199819564819336
111,1,32,0,0,62.299251556396484
112,1,32,0,0,32.93633460998535
113,3,16,0,0,40.30728340148926
114,3,8,0,0,41.20755195617676
115,1,16,0,0,26.0927677154541
116,3,8,0,0,51.39565467834473
117,3,8,0,0,70.9836483001709
119,1,4,0,1,60.938358306884766
118,3,32,0,1,78.65715026855469
120,1,4,0,0,46.459197998046875
121,3,32,0,0,64.30339813232422
122,3,8,0,0,90.31343460083008
123,3,32,0,0,71.47383689880371
124,1,4,0,0,21.829605102539062
125,3,8,0,0,35.67814826965332
126,3,32,0,0,27.049541473388672
127,3,32,0,0,38.971900939941406
128,1,4,0,0,31.157970428466797
129,1,16,0,0,22.942066192626953
130,3,32,0,0,29.657363891601562
131,3,16,0,0,49.18503761291504
132,3,32,0,0,30.126333236694336
133,1,8,0,0,44.10743713378906
134,1,16,0,0,57.898521423339844
135,1,32,0,0,68.6638355255127
137,1,16,0,0,34.624338150024414
136,3,4,0,0,37.86730766296387
138,3,32,0,0,28.906583786010742
139,3,4,0,0,48.17533493041992
140,3,4,0,0,63.15279006958008
141,1,8,0,0,62.792301177978516
143,1,32,0,1,66.97487831115723
142,3,16,0,1,69.35954093933105
144,1,32,0,0,79.44321632385254
145,3,16,0,0,58.06612968444824
146,1,32,0,0,59.777021408081055
147,3,4,0,0,22.091150283813477
148,1,32,0,0,26.057004928588867
151,1,4,0,0,30.684709548950195
149,3,8,0,0,49.202680587768555
150,3,4,0,0,66.2376880645752
153,1,32,0,0,28.77974510192871
152,3,4,0,0,34.90281105041504
154,3,8,0,0,49.837589263916016
155,3,32,0,0,22.05061912536621
156,1,32,0,0,23.009300231933594
157,1,8,0,0,25.192975997924805
158,1,32,0,0,45.23420333862305
161,1,4,0,0,39.183855056762695
159,3,16,0,0,41.75209999084473
160,3,4,0,0,65.24300575256348
163,1,4,0,1,73.1656551361084
162,3,4,0,1,81.9096565246582
164,1,8,0,0,64.10574913024902
165,1,16,0,1,88.01865577697754
166,3,8,0,1,60.30082702636719
167,1,4,0,1,64.89777565002441
168,3,16,0,1,60.65034866333008
169,1,8,0,1,80.23452758789062
170,3,16,0,1,79.58722114562988
171,3,16,0,0,92.1475887298584
172,1,4,0,0,65.20533561706543
173,1,16,0,0,70.9068775177002
174,1,8,0,0,77.5141716003418
175,1,16,0,1,94.37441825866699
177,3,4,0,1,55.98759651184082
176,1,8,0,0,85.62803268432617
178,1,32,0,1,95.57247161865234
180,3,32,0,1,52.619218826293945
179,1,8,0,1,99.7014045715332
182,3,32,0,1,49.93462562561035
181,1,16,0,1,89.69902992248535
183,3,4,0,1,69.68140602111816
184,3,32,0,0,77.18753814697266
185,3,16,0,0,90.39855003356934
186,3,4,0,0,99.78175163269043
187,1,16,0,0,60.79983711242676
188,1,8,0,0,50.56309700012207
189,3,8,0,0,62.39891052246094
190,3,8,0,0,32.473087310791016
191,3,8,0,0,47.39975929260254
192,3,4,0,0,60.637712478637695
193,3,16,0,0,69.85664367675781
194,1,32,0,0,71.31004333496094
196,1,16,0,1,61.408281326293945
195,3,16,0,1,61.69724464416504
197,1,32,0,0,55.01413345336914
198,1,8,0,0,65.66715240478516
200,1,4,0,1,60.42647361755371
199,3,4,0,1,67.19017028808594
201,1,32,0,1,82.48448371887207
202,3,16,0,1,76.39622688293457
204,1,16,0,1,92.47589111328125
203,3,8,0,1,99.34878349304199
206,1,8,0,1,103.30438613891602
205,3,4,0,1,118.71623992919922
207,1,16,0,1,82.24821090698242
208,3,8,0,1,71.42233848571777
209,1,32,0,1,87.27240562438965
210,3,16,0,1,76.58839225769043
211,1,4,0,1,94.74682807922363
212,3,32,0,1,91.22610092163086
213,1,16,0,1,112.53070831298828
214,3,32,0,1,96.03452682495117
215,1,16,0,1,100.6479263305664
216,3,4,0,1,87.53633499145508
218,1,8,0,1,84.55395698547363
217,3,32,0,1,91.82572364807129
219,1,32,0,0,62.474727630615234
220,1,4,0,0,75.50239562988281
221,1,32,0,0,59.45134162902832
222,1,4,0,0,57.88159370422363
223,1,16,0,0,72.48258590698242
224,1,16,0,0,30.27033805847168
225,1,32,0,0,56.67614936828613
