query_id,model_id,bs,seq_len,search_times,latency
1,5,32,0,0,-1
2,0,32,0,0,37.98985481262207
3,5,16,0,0,31.589508056640625
4,5,8,0,0,10.19430160522461
5,0,4,0,0,12.974023818969727
6,5,8,0,0,15.775680541992188
7,5,4,0,0,6.056785583496094
8,5,4,0,0,9.556770324707031
9,5,8,0,0,7.787942886352539
10,5,16,0,0,13.183832168579102
11,0,4,0,0,13.6260986328125
12,0,32,0,0,14.324426651000977
13,0,16,0,0,15.10477066040039
14,0,4,0,0,22.383451461791992
15,0,8,0,0,15.762805938720703
16,0,8,0,0,18.490314483642578
17,5,16,0,0,12.923955917358398
19,0,8,0,0,27.29511260986328
18,5,16,0,0,29.773712158203125
20,5,32,0,0,34.537553787231445
21,5,16,0,0,34.58237648010254
22,0,8,0,0,30.69925308227539
23,0,16,0,0,37.81533241271973
25,0,4,0,1,33.93888473510742
24,5,8,0,1,35.470008850097656
26,5,16,0,0,12.231111526489258
27,0,32,0,0,23.674726486206055
28,5,16,0,0,11.509180068969727
29,0,4,0,0,14.468193054199219
30,5,16,0,0,18.42188835144043
31,0,16,0,0,20.520925521850586
32,0,16,0,0,27.330398559570312
33,0,4,0,0,15.249013900756836
34,0,8,0,0,19.473552703857422
35,0,4,0,0,14.087200164794922
36,0,8,0,0,12.078285217285156
37,0,16,0,0,31.278371810913086
38,0,4,0,0,33.907175064086914
39,0,8,0,0,44.31724548339844
40,0,4,0,0,12.168407440185547
41,0,4,0,0,12.187004089355469
42,5,4,0,0,8.803606033325195
43,5,8,0,0,14.45770263671875
44,0,4,0,0,19.45638656616211
45,0,32,0,0,18.6309814453125
46,0,32,0,0,14.061450958251953
47,0,8,0,0,26.142597198486328
48,0,8,0,0,14.715909957885742
49,0,16,0,0,11.736392974853516
50,0,32,0,0,21.029233932495117
51,0,32,0,0,33.52689743041992
52,5,32,0,0,36.39030456542969
53,5,4,0,0,23.178815841674805
54,5,16,0,0,30.942678451538086
55,0,8,0,0,22.644519805908203
56,0,32,0,0,24.30272102355957
57,5,16,0,0,12.303829193115234
58,0,32,0,0,19.057750701904297
59,5,4,0,0,7.911443710327148
60,0,16,0,0,17.596960067749023
61,0,32,0,0,17.0438289642334
62,5,32,0,0,28.27739715576172
63,0,32,0,0,15.989303588867188
64,0,4,0,0,23.541688919067383
65,5,32,0,0,19.756078720092773
66,5,4,0,0,5.676507949829102
67,0,16,0,0,13.161659240722656
68,5,32,0,0,16.38174057006836
69,0,4,0,0,32.454490661621094
70,0,32,0,0,31.092166900634766
71,5,8,0,0,6.06846809387207
72,0,4,0,0,15.894651412963867
73,0,8,0,0,15.649557113647461
75,0,32,0,0,22.67909049987793
74,5,8,0,0,29.47688102722168
76,0,32,0,0,22.716283798217773
77,0,8,0,0,33.47206115722656
78,5,8,0,0,6.026506423950195
79,5,4,0,0,8.975982666015625
80,0,16,0,0,22.488117218017578
81,5,4,0,0,23.302793502807617
82,5,32,0,0,16.339778900146484
83,5,8,0,0,6.098270416259766
84,0,16,0,0,15.643835067749023
85,0,16,0,0,21.46625518798828
86,5,16,0,0,18.319368362426758
87,0,4,0,0,22.898197174072266
88,0,8,0,0,26.082992553710938
89,5,8,0,0,24.918794631958008
91,0,4,0,1,25.374412536621094
90,5,8,0,1,28.03492546081543
92,5,16,0,0,26.355504989624023
93,5,4,0,0,20.12014389038086
94,5,16,0,0,17.686128616333008
95,0,32,0,0,23.378849029541016
96,5,16,0,0,27.830123901367188
97,0,32,0,0,30.971288681030273
98,0,4,0,0,20.700693130493164
99,0,4,0,0,32.45139122009277
100,5,32,0,0,21.47078514099121
101,5,32,0,0,36.714792251586914
102,0,16,0,0,42.88434982299805
103,0,16,0,0,48.06995391845703
104,0,16,0,0,12.378215789794922
105,0,4,0,0,13.248205184936523
106,5,8,0,0,18.785715103149414
107,0,16,0,0,12.75777816772461
108,0,8,0,0,20.809173583984375
109,0,32,0,0,13.553619384765625
110,5,8,0,0,27.49466896057129
111,0,32,0,0,25.496721267700195
112,0,32,0,0,12.86458969116211
113,5,16,0,0,9.253740310668945
114,5,8,0,0,5.744695663452148
115,0,16,0,0,16.768932342529297
116,5,8,0,0,23.2393741607666
117,5,8,0,0,28.28526496887207
118,5,32,0,0,25.211572647094727
119,0,4,0,0,20.592927932739258
120,0,4,0,0,15.801191329956055
121,5,32,0,0,26.975154876708984
