query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,56.12015724182129
2,6,32,64,0,43.773651123046875
3,6,16,16,0,15.491008758544922
4,4,4,0,0,5.941629409790039
5,6,8,32,0,19.319772720336914
6,4,16,0,0,12.981414794921875
7,6,16,64,0,16.161441802978516
8,6,8,64,0,11.740922927856445
9,6,16,8,0,19.049882888793945
10,4,32,0,0,22.800922393798828
11,4,16,0,0,33.020734786987305
12,4,4,0,0,18.0208683013916
13,4,8,0,0,7.535219192504883
14,4,8,0,0,7.523775100708008
15,6,16,64,0,12.409448623657227
16,4,16,0,0,22.99332618713379
17,4,8,0,0,22.370576858520508
18,6,32,32,0,19.205570220947266
19,4,8,0,0,15.347719192504883
20,4,16,0,1,28.25927734375
21,6,8,16,1,27.50229835510254
22,4,32,0,0,47.77216911315918
23,6,8,16,0,24.79386329650879
24,6,32,64,0,28.63168716430664
25,6,4,64,0,24.80936050415039
26,6,8,8,0,38.469552993774414
27,6,8,32,0,13.919830322265625
28,4,4,0,0,16.391277313232422
29,4,8,0,0,13.932228088378906
30,4,4,0,0,4.636049270629883
31,4,8,0,0,6.64210319519043
32,4,16,0,0,14.649152755737305
33,4,4,0,0,8.711576461791992
34,4,8,0,0,13.73744010925293
35,4,4,0,0,4.769325256347656
36,4,4,0,0,6.209135055541992
37,6,4,32,0,12.588739395141602
38,6,4,64,0,26.02839469909668
39,4,32,0,0,34.93523597717285
40,4,32,0,0,36.81445121765137
41,4,8,0,0,36.43536567687988
42,4,8,0,0,18.143892288208008
43,4,16,0,0,11.61813735961914
44,4,32,0,0,22.353649139404297
45,4,32,0,0,27.563810348510742
46,6,32,32,0,27.224302291870117
47,4,4,0,0,10.549306869506836
48,6,16,8,0,15.809059143066406
49,6,32,32,0,13.138771057128906
50,6,8,32,0,26.990652084350586
51,6,4,8,0,17.407655715942383
52,4,8,0,0,5.602121353149414
53,4,32,0,0,14.892101287841797
54,6,32,8,0,21.32558822631836
55,6,32,8,0,11.745452880859375
56,4,16,0,0,8.535146713256836
57,4,32,0,0,14.856815338134766
58,4,32,0,0,17.551183700561523
59,6,32,8,0,17.395496368408203
61,4,32,0,0,21.320104598999023
60,6,4,16,0,25.676488876342773
63,4,8,0,0,26.076793670654297
62,6,4,8,0,26.32904052734375
64,6,8,8,0,41.32580757141113
65,6,32,8,0,49.11637306213379
66,4,32,0,0,26.277780532836914
67,4,8,0,0,24.12128448486328
68,6,8,32,0,17.62080192565918
69,4,8,0,0,30.277252197265625
70,6,16,8,0,29.342174530029297
71,6,32,64,0,30.333280563354492
72,6,8,16,0,19.685745239257812
73,6,4,16,0,15.359640121459961
74,4,16,0,0,9.169340133666992
75,6,16,8,0,21.256446838378906
76,4,8,0,0,5.828142166137695
77,6,8,32,0,19.304513931274414
78,4,8,0,0,15.841245651245117
79,4,4,0,0,7.93004035949707
80,6,16,32,0,15.91944694519043
81,6,32,64,0,21.420955657958984
82,6,16,8,0,36.25845909118652
83,6,32,64,0,14.783143997192383
84,4,8,0,0,18.235206604003906
85,4,32,0,0,25.067806243896484
86,4,4,0,0,9.653091430664062
87,4,4,0,0,11.056184768676758
88,6,32,32,0,18.337488174438477
89,6,8,64,0,30.445098876953125
90,4,16,0,0,8.5906982421875
91,4,16,0,0,8.534908294677734
92,4,4,0,0,4.020929336547852
93,6,8,8,0,25.346755981445312
94,6,8,8,0,14.72783088684082
95,4,4,0,0,8.806943893432617
96,4,16,0,0,8.589744567871094
97,4,32,0,0,15.230894088745117
98,4,32,0,0,28.099775314331055
99,6,16,64,0,29.24513816833496
100,6,8,16,0,22.799968719482422
101,4,16,0,0,11.880159378051758
103,4,16,0,0,16.46900177001953
