query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,65.33002853393555
2.0,1.0,32.0,0.0,61.08593940734863
3.0,2.0,16.0,0.0,91.04561805725098
4.0,2.0,8.0,0.0,74.07951354980469
5.0,1.0,4.0,0.0,83.17136764526367
6.0,2.0,8.0,0.0,101.51195526123047
7.0,2.0,4.0,0.0,44.8145866394043
8.0,2.0,4.0,0.0,67.9941177368164
11.0,1.0,4.0,0.0,48.506736755371094
9.0,2.0,8.0,0.0,96.66609764099121
12.0,1.0,32.0,0.0,59.145450592041016
10.0,2.0,16.0,0.0,129.1651725769043
13.0,1.0,16.0,0.0,81.24637603759766
14.0,1.0,4.0,0.0,85.14595031738281
15.0,1.0,8.0,0.0,77.39615440368652
16.0,1.0,8.0,0.0,51.336050033569336
17.0,2.0,16.0,0.0,44.62146759033203
19.0,1.0,8.0,0.0,56.984663009643555
18.0,2.0,16.0,0.0,84.13457870483398
22.0,1.0,8.0,0.0,52.44708061218262
20.0,2.0,32.0,0.0,106.80460929870605
23.0,1.0,16.0,0.0,97.70798683166504
21.0,2.0,16.0,0.0,148.97894859313965
25.0,1.0,4.0,0.0,133.2845687866211
24.0,2.0,8.0,0.0,159.8663330078125
27.0,1.0,32.0,0.0,87.74089813232422
26.0,2.0,16.0,0.0,156.60595893859863
29.0,1.0,4.0,0.0,86.66157722473145
28.0,2.0,16.0,0.0,127.47550010681152
31.0,1.0,16.0,0.0,109.93027687072754
30.0,2.0,16.0,0.0,161.4060401916504
32.0,1.0,16.0,0.0,159.62743759155273
33.0,1.0,4.0,0.0,161.41724586486816
34.0,1.0,8.0,0.0,179.046630859375
35.0,1.0,4.0,0.0,171.36144638061523
42.0,2.0,4.0,0.0,57.49630928039551
36.0,1.0,8.0,0.0,189.7263526916504
43.0,2.0,8.0,0.0,115.05579948425293
37.0,1.0,16.0,0.0,247.1792697906494
38.0,1.0,4.0,0.0,257.02500343322754
52.0,2.0,32.0,0.0,61.76900863647461
39.0,1.0,8.0,0.0,316.42723083496094
53.0,2.0,4.0,0.0,96.44365310668945
40.0,1.0,4.0,0.0,307.68489837646484
54.0,2.0,16.0,0.0,149.01232719421387
41.0,1.0,4.0,0.0,349.5914936065674
57.0,2.0,16.0,0.0,136.0328197479248
44.0,1.0,4.0,0.0,381.2894821166992
59.0,2.0,4.0,0.0,140.5494213104248
45.0,1.0,32.0,0.0,422.2121238708496
62.0,2.0,32.0,0.0,134.57489013671875
46.0,1.0,32.0,0.0,445.94573974609375
