query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,54.23426628112793
2.0,6.0,32.0,64.0,37.01663017272949
3.0,6.0,16.0,16.0,11.319875717163086
4.0,4.0,4.0,0.0,9.526252746582031
5.0,6.0,8.0,32.0,16.240596771240234
6.0,4.0,16.0,0.0,13.639211654663086
7.0,6.0,16.0,64.0,11.082172393798828
8.0,6.0,8.0,64.0,12.950658798217773
9.0,6.0,16.0,8.0,11.449575424194336
10.0,4.0,32.0,0.0,22.347688674926758
11.0,4.0,16.0,0.0,32.08041191101074
12.0,4.0,4.0,0.0,17.490625381469727
13.0,4.0,8.0,0.0,6.892204284667969
14.0,4.0,8.0,0.0,7.0629119873046875
15.0,6.0,16.0,64.0,15.843868255615234
16.0,4.0,16.0,0.0,25.860309600830078
17.0,4.0,8.0,0.0,25.263547897338867
18.0,6.0,32.0,32.0,20.299911499023438
19.0,4.0,8.0,0.0,15.293121337890625
21.0,6.0,8.0,16.0,18.489837646484375
20.0,4.0,16.0,0.0,30.535221099853516
22.0,4.0,32.0,0.0,47.76406288146973
23.0,6.0,8.0,16.0,21.844148635864258
24.0,6.0,32.0,64.0,17.69232749938965
25.0,6.0,4.0,64.0,20.361661911010742
26.0,6.0,8.0,8.0,29.198408126831055
27.0,6.0,8.0,32.0,13.163566589355469
28.0,4.0,4.0,0.0,14.373779296875
29.0,4.0,8.0,0.0,12.09878921508789
30.0,4.0,4.0,0.0,3.9734840393066406
31.0,4.0,8.0,0.0,6.230831146240234
32.0,4.0,16.0,0.0,13.988256454467773
33.0,4.0,4.0,0.0,10.611534118652344
34.0,4.0,8.0,0.0,16.68071746826172
35.0,4.0,4.0,0.0,6.151914596557617
36.0,4.0,4.0,0.0,4.865169525146484
37.0,6.0,4.0,32.0,11.588096618652344
38.0,6.0,4.0,64.0,20.726680755615234
39.0,4.0,32.0,0.0,27.44317054748535
40.0,4.0,32.0,0.0,27.421951293945312
41.0,4.0,8.0,0.0,27.204036712646484
42.0,4.0,8.0,0.0,9.076356887817383
43.0,4.0,16.0,0.0,10.379552841186523
44.0,4.0,32.0,0.0,20.4620361328125
45.0,4.0,32.0,0.0,19.74344253540039
46.0,6.0,32.0,32.0,34.2710018157959
47.0,4.0,4.0,0.0,20.861387252807617
48.0,6.0,16.0,8.0,18.8143253326416
49.0,6.0,32.0,32.0,13.998270034790039
50.0,6.0,8.0,32.0,22.444963455200195
51.0,6.0,4.0,8.0,11.813163757324219
52.0,4.0,8.0,0.0,6.662845611572266
53.0,4.0,32.0,0.0,16.73722267150879
54.0,6.0,32.0,8.0,27.9233455657959
55.0,6.0,32.0,8.0,14.618158340454102
56.0,4.0,16.0,0.0,9.237051010131836
57.0,4.0,32.0,0.0,16.35003089904785
58.0,4.0,32.0,0.0,20.478487014770508
59.0,6.0,32.0,8.0,11.446714401245117
60.0,6.0,4.0,16.0,15.089035034179688
61.0,4.0,32.0,0.0,27.27961540222168
62.0,6.0,4.0,8.0,28.31554412841797
63.0,4.0,8.0,0.0,33.539533615112305
64.0,6.0,8.0,8.0,41.036367416381836
65.0,6.0,32.0,8.0,46.072959899902344
66.0,4.0,32.0,0.0,23.907184600830078
67.0,4.0,8.0,0.0,24.317026138305664
68.0,6.0,8.0,32.0,11.935710906982422
69.0,4.0,8.0,0.0,15.915155410766602
70.0,6.0,16.0,8.0,30.998945236206055
71.0,6.0,32.0,64.0,27.09364891052246
72.0,6.0,8.0,16.0,14.635562896728516
73.0,6.0,4.0,16.0,11.899471282958984
74.0,4.0,16.0,0.0,8.285045623779297
75.0,6.0,16.0,8.0,18.580913543701172
76.0,4.0,8.0,0.0,6.748437881469727
77.0,6.0,8.0,32.0,14.23335075378418
78.0,4.0,8.0,0.0,11.778831481933594
79.0,4.0,4.0,0.0,4.891395568847656
80.0,6.0,16.0,32.0,15.728235244750977
81.0,6.0,32.0,64.0,16.982078552246094
82.0,6.0,16.0,8.0,26.357412338256836
83.0,6.0,32.0,64.0,13.441801071166992
84.0,4.0,8.0,0.0,15.501260757446289
85.0,4.0,32.0,0.0,22.13454246520996
86.0,4.0,4.0,0.0,5.684614181518555
87.0,4.0,4.0,0.0,7.618188858032227
88.0,6.0,32.0,32.0,15.940189361572266
89.0,6.0,8.0,64.0,27.05550193786621
90.0,4.0,16.0,0.0,8.015632629394531
91.0,4.0,16.0,0.0,7.988691329956055
92.0,4.0,4.0,0.0,4.226446151733398
93.0,6.0,8.0,8.0,14.896392822265625
94.0,6.0,8.0,8.0,17.39358901977539
95.0,4.0,4.0,0.0,10.616779327392578
96.0,4.0,16.0,0.0,7.798671722412109
97.0,4.0,32.0,0.0,14.421701431274414
98.0,4.0,32.0,0.0,26.194334030151367
99.0,6.0,16.0,64.0,21.223783493041992
100.0,6.0,8.0,16.0,11.625528335571289
101.0,4.0,16.0,0.0,7.806062698364258
102.0,6.0,8.0,32.0,12.127876281738281
103.0,4.0,16.0,0.0,19.35577392578125
104.0,6.0,4.0,8.0,11.769294738769531
105.0,4.0,4.0,0.0,14.693021774291992
106.0,6.0,32.0,32.0,20.908117294311523
107.0,4.0,32.0,0.0,34.679412841796875
108.0,6.0,4.0,8.0,15.836000442504883
109.0,4.0,8.0,0.0,6.342172622680664
110.0,6.0,32.0,64.0,11.43956184387207
111.0,6.0,8.0,8.0,13.185739517211914
112.0,4.0,16.0,0.0,7.976770401000977
113.0,6.0,32.0,32.0,11.917591094970703
114.0,6.0,32.0,64.0,15.16103744506836
115.0,4.0,8.0,0.0,5.732297897338867
116.0,4.0,16.0,0.0,9.773731231689453
117.0,4.0,32.0,0.0,16.76034927368164
118.0,6.0,4.0,16.0,11.856794357299805
119.0,6.0,32.0,64.0,20.423173904418945
120.0,6.0,32.0,16.0,21.158218383789062
121.0,4.0,8.0,0.0,24.577617645263672
122.0,6.0,16.0,16.0,36.119937896728516
123.0,6.0,32.0,8.0,45.29905319213867
124.0,4.0,32.0,0.0,30.445575714111328
125.0,6.0,16.0,16.0,23.390769958496094
126.0,6.0,4.0,16.0,13.94963264465332
127.0,4.0,32.0,0.0,14.733314514160156
128.0,6.0,32.0,32.0,11.765241622924805
129.0,4.0,4.0,0.0,4.981517791748047
130.0,6.0,4.0,16.0,14.390945434570312
131.0,4.0,32.0,0.0,22.661685943603516
132.0,6.0,8.0,64.0,35.2783203125
133.0,6.0,4.0,64.0,11.581897735595703
134.0,4.0,8.0,0.0,6.111621856689453
135.0,4.0,32.0,0.0,17.95172691345215
136.0,6.0,16.0,32.0,11.658191680908203
137.0,4.0,4.0,0.0,14.853715896606445
138.0,6.0,16.0,32.0,18.1882381439209
139.0,4.0,8.0,0.0,5.650997161865234
140.0,6.0,8.0,16.0,17.85135269165039
141.0,4.0,4.0,0.0,21.916627883911133
142.0,4.0,4.0,0.0,21.185636520385742
143.0,4.0,8.0,0.0,18.709659576416016
144.0,6.0,16.0,32.0,13.544321060180664
145.0,4.0,8.0,0.0,15.620231628417969
146.0,6.0,16.0,32.0,28.4116268157959
147.0,6.0,4.0,8.0,31.890392303466797
149.0,4.0,8.0,0.0,29.473066329956055
148.0,6.0,8.0,16.0,45.33553123474121
150.0,4.0,16.0,0.0,41.88275337219238
151.0,6.0,4.0,16.0,27.812957763671875
152.0,4.0,4.0,0.0,21.2554931640625
153.0,4.0,32.0,0.0,25.58755874633789
154.0,4.0,16.0,0.0,22.98259735107422
155.0,6.0,32.0,32.0,16.992568969726562
156.0,4.0,4.0,0.0,19.589662551879883
157.0,6.0,16.0,64.0,22.385597229003906
158.0,4.0,32.0,0.0,14.167308807373047
159.0,4.0,4.0,0.0,8.030176162719727
160.0,6.0,8.0,64.0,12.392044067382812
161.0,6.0,32.0,64.0,21.24786376953125
162.0,4.0,32.0,0.0,31.048297882080078
163.0,6.0,8.0,32.0,40.09437561035156
164.0,6.0,4.0,64.0,13.178825378417969
165.0,4.0,32.0,0.0,14.21976089477539
166.0,6.0,16.0,8.0,19.094228744506836
167.0,6.0,8.0,64.0,30.78913688659668
168.0,6.0,32.0,16.0,26.372432708740234
169.0,6.0,4.0,8.0,35.74562072753906
170.0,6.0,4.0,8.0,40.50707817077637
171.0,6.0,32.0,64.0,11.624813079833984
172.0,4.0,16.0,0.0,9.219646453857422
173.0,6.0,8.0,8.0,11.781454086303711
174.0,4.0,16.0,0.0,7.966518402099609
175.0,6.0,4.0,16.0,18.097877502441406
176.0,4.0,16.0,0.0,10.62774658203125
177.0,6.0,8.0,8.0,22.17721939086914
178.0,6.0,32.0,32.0,18.82791519165039
179.0,6.0,8.0,16.0,11.522531509399414
180.0,4.0,32.0,0.0,15.992164611816406
181.0,6.0,8.0,32.0,11.656522750854492
182.0,6.0,32.0,16.0,13.416528701782227
183.0,6.0,16.0,64.0,13.077974319458008
184.0,4.0,8.0,0.0,5.515575408935547
185.0,6.0,8.0,8.0,15.119791030883789
186.0,6.0,4.0,8.0,25.458574295043945
187.0,4.0,32.0,0.0,28.4421443939209
188.0,4.0,4.0,0.0,11.02757453918457
189.0,4.0,16.0,0.0,10.872125625610352
190.0,4.0,16.0,0.0,9.330034255981445
191.0,4.0,32.0,0.0,22.326231002807617
192.0,6.0,16.0,64.0,31.880617141723633
193.0,6.0,8.0,32.0,33.76626968383789
194.0,4.0,8.0,0.0,35.63952445983887
195.0,6.0,32.0,64.0,42.432308197021484
196.0,6.0,8.0,16.0,45.26805877685547
197.0,6.0,4.0,64.0,46.62919044494629
198.0,4.0,4.0,0.0,4.266023635864258
199.0,4.0,8.0,0.0,5.679130554199219
200.0,4.0,4.0,0.0,3.8836002349853516
201.0,6.0,16.0,64.0,11.825323104858398
202.0,6.0,32.0,64.0,11.60120964050293
203.0,6.0,32.0,16.0,22.045135498046875
204.0,6.0,4.0,8.0,27.572154998779297
