query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,42.22393035888672
2.0,6.0,32.0,64.0,31.413793563842773
3.0,6.0,16.0,16.0,14.237642288208008
4.0,2.0,4.0,0.0,35.17603874206543
5.0,6.0,8.0,32.0,43.828725814819336
6.0,2.0,16.0,0.0,33.332109451293945
7.0,6.0,16.0,64.0,20.679235458374023
8.0,6.0,8.0,64.0,15.220403671264648
9.0,6.0,16.0,8.0,11.465787887573242
10.0,2.0,32.0,0.0,34.81173515319824
11.0,2.0,16.0,0.0,56.91075325012207
12.0,2.0,4.0,0.0,63.47179412841797
13.0,2.0,8.0,0.0,63.78817558288574
14.0,2.0,8.0,0.0,38.77401351928711
15.0,6.0,16.0,64.0,17.957210540771484
16.0,2.0,16.0,0.0,40.236473083496094
17.0,2.0,8.0,0.0,57.5566291809082
18.0,6.0,32.0,32.0,52.43873596191406
19.0,2.0,8.0,0.0,64.7268295288086
21.0,6.0,8.0,16.0,68.29261779785156
20.0,2.0,16.0,0.0,93.31703186035156
23.0,6.0,8.0,16.0,64.73278999328613
22.0,2.0,32.0,0.0,126.3129711151123
24.0,6.0,32.0,64.0,84.78212356567383
25.0,6.0,4.0,64.0,78.08566093444824
28.0,2.0,4.0,0.0,60.605525970458984
26.0,6.0,8.0,8.0,111.67240142822266
29.0,2.0,8.0,0.0,88.0739688873291
27.0,6.0,8.0,32.0,109.84516143798828
30.0,2.0,4.0,0.0,92.73719787597656
31.0,2.0,8.0,0.0,82.75866508483887
32.0,2.0,16.0,0.0,104.27188873291016
33.0,2.0,4.0,0.0,119.92168426513672
34.0,2.0,8.0,0.0,143.2821750640869
37.0,6.0,4.0,32.0,59.94439125061035
35.0,2.0,4.0,0.0,113.72017860412598
38.0,6.0,4.0,64.0,93.64867210388184
36.0,2.0,4.0,0.0,135.81514358520508
39.0,2.0,32.0,0.0,131.0718059539795
40.0,2.0,32.0,0.0,139.56713676452637
46.0,6.0,32.0,32.0,61.409711837768555
41.0,2.0,8.0,0.0,168.64252090454102
48.0,6.0,16.0,8.0,59.111595153808594
42.0,2.0,8.0,0.0,179.47840690612793
49.0,6.0,32.0,32.0,71.55132293701172
43.0,2.0,16.0,0.0,192.48151779174805
50.0,6.0,8.0,32.0,108.02888870239258
44.0,2.0,32.0,0.0,223.0510711669922
51.0,6.0,4.0,8.0,129.17208671569824
45.0,2.0,32.0,0.0,250.25415420532227
54.0,6.0,32.0,8.0,113.0213737487793
47.0,2.0,4.0,0.0,265.02180099487305
55.0,6.0,32.0,8.0,124.2227554321289
52.0,2.0,8.0,0.0,202.79645919799805
59.0,6.0,32.0,8.0,50.80008506774902
53.0,2.0,32.0,0.0,215.87443351745605
60.0,6.0,4.0,16.0,84.7475528717041
56.0,2.0,16.0,0.0,188.11845779418945
62.0,6.0,4.0,8.0,109.58147048950195
57.0,2.0,32.0,0.0,211.62796020507812
64.0,6.0,8.0,8.0,140.1522159576416
58.0,2.0,32.0,0.0,234.73381996154785
65.0,6.0,32.0,8.0,168.96605491638184
61.0,2.0,32.0,0.0,218.90878677368164
68.0,6.0,8.0,32.0,123.6884593963623
63.0,2.0,8.0,0.0,247.43890762329102
70.0,6.0,16.0,8.0,158.85090827941895
66.0,2.0,32.0,0.0,234.1465950012207
71.0,6.0,32.0,64.0,184.01169776916504
67.0,2.0,8.0,0.0,268.2483196258545
72.0,6.0,8.0,16.0,194.4899559020996
69.0,2.0,8.0,0.0,261.58809661865234
73.0,6.0,4.0,16.0,188.54689598083496
74.0,2.0,16.0,0.0,198.8675594329834
75.0,6.0,16.0,8.0,203.19509506225586
76.0,2.0,8.0,0.0,202.46100425720215
77.0,6.0,8.0,32.0,206.67672157287598
78.0,2.0,8.0,0.0,221.9674587249756
80.0,6.0,16.0,32.0,211.9159698486328
79.0,2.0,4.0,0.0,244.45652961730957
81.0,6.0,32.0,64.0,242.0358657836914
82.0,6.0,16.0,8.0,253.44157218933105
84.0,2.0,8.0,0.0,248.83365631103516
83.0,6.0,32.0,64.0,262.53819465637207
85.0,2.0,32.0,0.0,286.59796714782715
86.0,2.0,4.0,0.0,299.1054058074951
88.0,6.0,32.0,32.0,282.69338607788086
87.0,2.0,4.0,0.0,344.38538551330566
89.0,6.0,8.0,64.0,333.83941650390625
90.0,2.0,16.0,0.0,315.87982177734375
93.0,6.0,8.0,8.0,305.4690361022949
91.0,2.0,16.0,0.0,357.9838275909424
94.0,6.0,8.0,8.0,328.83143424987793
92.0,2.0,4.0,0.0,398.0534076690674
99.0,6.0,16.0,64.0,318.70436668395996
95.0,2.0,4.0,0.0,399.49607849121094
100.0,6.0,8.0,16.0,336.66467666625977
96.0,2.0,16.0,0.0,416.4121150970459
102.0,6.0,8.0,32.0,351.37200355529785
97.0,2.0,32.0,0.0,451.4045715332031
104.0,6.0,4.0,8.0,355.73792457580566
98.0,2.0,32.0,0.0,491.60170555114746
