query_id,model_id,bs,seq_len,latency
1.0,3.0,32.0,0.0,56.7784309387207
2.0,2.0,32.0,0.0,66.92767143249512
3.0,3.0,16.0,0.0,76.96914672851562
5.0,2.0,4.0,0.0,47.98436164855957
4.0,3.0,8.0,0.0,72.72100448608398
6.0,3.0,8.0,0.0,72.5407600402832
7.0,3.0,4.0,0.0,19.751548767089844
8.0,3.0,4.0,0.0,32.86552429199219
9.0,3.0,8.0,0.0,35.42160987854004
10.0,3.0,16.0,0.0,39.817094802856445
11.0,2.0,4.0,0.0,62.523841857910156
12.0,2.0,32.0,0.0,54.4435977935791
13.0,2.0,16.0,0.0,52.43825912475586
14.0,2.0,4.0,0.0,62.1945858001709
15.0,2.0,8.0,0.0,68.58682632446289
16.0,2.0,8.0,0.0,51.79929733276367
17.0,3.0,16.0,0.0,35.63046455383301
19.0,2.0,8.0,0.0,56.46347999572754
18.0,3.0,16.0,0.0,74.88203048706055
22.0,2.0,8.0,0.0,50.95219612121582
20.0,3.0,32.0,0.0,96.13800048828125
23.0,2.0,16.0,0.0,85.96539497375488
21.0,3.0,16.0,0.0,123.12722206115723
25.0,2.0,4.0,0.0,107.79857635498047
24.0,3.0,8.0,0.0,130.2633285522461
27.0,2.0,32.0,0.0,64.82553482055664
26.0,3.0,16.0,0.0,116.9435977935791
29.0,2.0,4.0,0.0,58.17127227783203
28.0,3.0,16.0,0.0,93.38164329528809
31.0,2.0,16.0,0.0,78.89032363891602
30.0,3.0,16.0,0.0,112.21194267272949
32.0,2.0,16.0,0.0,117.01178550720215
33.0,2.0,4.0,0.0,116.53733253479004
34.0,2.0,8.0,0.0,131.94894790649414
35.0,2.0,4.0,0.0,125.01263618469238
36.0,2.0,8.0,0.0,114.5932674407959
37.0,2.0,16.0,0.0,135.53190231323242
42.0,3.0,4.0,0.0,45.682668685913086
38.0,2.0,4.0,0.0,170.2737808227539
43.0,3.0,8.0,0.0,88.81402015686035
39.0,2.0,8.0,0.0,211.57050132751465
40.0,2.0,4.0,0.0,170.7613468170166
41.0,2.0,4.0,0.0,181.83040618896484
52.0,3.0,32.0,0.0,43.65873336791992
44.0,2.0,4.0,0.0,199.4037628173828
53.0,3.0,4.0,0.0,66.19524955749512
45.0,2.0,32.0,0.0,229.9966812133789
54.0,3.0,16.0,0.0,107.96833038330078
46.0,2.0,32.0,0.0,245.29671669006348
57.0,3.0,16.0,0.0,76.61771774291992
47.0,2.0,8.0,0.0,279.95800971984863
59.0,3.0,4.0,0.0,71.89273834228516
48.0,2.0,8.0,0.0,294.996976852417
62.0,3.0,32.0,0.0,51.48720741271973
49.0,2.0,16.0,0.0,312.21747398376465
65.0,3.0,32.0,0.0,61.02776527404785
50.0,2.0,32.0,0.0,344.3911075592041
66.0,3.0,4.0,0.0,77.10051536560059
51.0,2.0,32.0,0.0,369.8718547821045
68.0,3.0,32.0,0.0,59.233903884887695
55.0,2.0,8.0,0.0,359.93242263793945
56.0,2.0,32.0,0.0,369.342565536499
58.0,2.0,32.0,0.0,345.562219619751
71.0,3.0,8.0,0.0,51.90849304199219
60.0,2.0,16.0,0.0,328.7172317504883
74.0,3.0,8.0,0.0,52.922964096069336
61.0,2.0,32.0,0.0,353.46174240112305
63.0,2.0,32.0,0.0,349.5965003967285
78.0,3.0,8.0,0.0,62.62683868408203
64.0,2.0,4.0,0.0,386.56067848205566
79.0,3.0,4.0,0.0,108.0012321472168
67.0,2.0,16.0,0.0,349.98011589050293
81.0,3.0,4.0,0.0,104.33459281921387
69.0,2.0,4.0,0.0,375.108003616333
82.0,3.0,32.0,0.0,86.23886108398438
70.0,2.0,32.0,0.0,417.6359176635742
83.0,3.0,8.0,0.0,119.13466453552246
72.0,2.0,4.0,0.0,369.476318359375
86.0,3.0,16.0,0.0,143.35083961486816
73.0,2.0,8.0,0.0,389.7397518157959
89.0,3.0,8.0,0.0,165.85850715637207
75.0,2.0,32.0,0.0,421.62227630615234
90.0,3.0,8.0,0.0,206.8021297454834
76.0,2.0,32.0,0.0,456.9358825683594
92.0,3.0,16.0,0.0,238.0530834197998
77.0,2.0,8.0,0.0,509.1376304626465
93.0,3.0,4.0,0.0,283.0333709716797
80.0,2.0,16.0,0.0,482.6524257659912
94.0,3.0,16.0,0.0,332.81683921813965
84.0,2.0,16.0,0.0,443.2961940765381
96.0,3.0,16.0,0.0,357.3784828186035
85.0,2.0,16.0,0.0,487.6399040222168
100.0,3.0,32.0,0.0,330.1689624786377
87.0,2.0,4.0,0.0,533.5185527801514
101.0,3.0,32.0,0.0,387.73417472839355
88.0,2.0,8.0,0.0,586.2791538238525
106.0,3.0,8.0,0.0,323.9567279815674
91.0,2.0,4.0,0.0,618.12424659729
110.0,3.0,8.0,0.0,306.86163902282715
95.0,2.0,32.0,0.0,623.1904029846191
113.0,3.0,16.0,0.0,238.50560188293457
97.0,2.0,32.0,0.0,657.1609973907471
114.0,3.0,8.0,0.0,263.4744644165039
98.0,2.0,4.0,0.0,654.6838283538818
116.0,3.0,8.0,0.0,189.10765647888184
99.0,2.0,4.0,0.0,699.7554302215576
117.0,3.0,8.0,0.0,230.06701469421387
102.0,2.0,16.0,0.0,699.0249156951904
118.0,3.0,32.0,0.0,250.68092346191406
103.0,2.0,16.0,0.0,735.51344871521
121.0,3.0,32.0,0.0,249.30095672607422
104.0,2.0,16.0,0.0,700.9875774383545
122.0,3.0,8.0,0.0,297.7569103240967
105.0,2.0,4.0,0.0,729.9611568450928
123.0,3.0,32.0,0.0,298.34985733032227
107.0,2.0,16.0,0.0,739.7913932800293
125.0,3.0,8.0,0.0,251.09171867370605
108.0,2.0,8.0,0.0,765.3646469116211
126.0,3.0,32.0,0.0,245.16010284423828
109.0,2.0,32.0,0.0,786.4179611206055
127.0,3.0,32.0,0.0,269.5422172546387
111.0,2.0,32.0,0.0,814.5890235900879
130.0,3.0,32.0,0.0,206.04705810546875
112.0,2.0,32.0,0.0,764.3852233886719
131.0,3.0,16.0,0.0,237.28132247924805
115.0,2.0,16.0,0.0,642.02880859375
132.0,3.0,32.0,0.0,223.72937202453613
119.0,2.0,4.0,0.0,647.5558280944824
136.0,3.0,4.0,0.0,189.03231620788574
120.0,2.0,4.0,0.0,658.6530208587646
138.0,3.0,32.0,0.0,195.74832916259766
124.0,2.0,4.0,0.0,586.8940353393555
139.0,3.0,4.0,0.0,237.90621757507324
128.0,2.0,4.0,0.0,512.7952098846436
140.0,3.0,4.0,0.0,269.2523002624512
129.0,2.0,16.0,0.0,518.1088447570801
142.0,3.0,16.0,0.0,264.1141414642334
133.0,2.0,8.0,0.0,458.63890647888184
145.0,3.0,16.0,0.0,252.33030319213867
134.0,2.0,16.0,0.0,497.4503517150879
147.0,3.0,4.0,0.0,210.7694149017334
135.0,2.0,32.0,0.0,531.592845916748
149.0,3.0,8.0,0.0,200.20246505737305
137.0,2.0,16.0,0.0,514.5225524902344
150.0,3.0,4.0,0.0,236.35506629943848
141.0,2.0,8.0,0.0,478.9776802062988
152.0,3.0,4.0,0.0,220.58844566345215
143.0,2.0,32.0,0.0,498.49843978881836
154.0,3.0,8.0,0.0,248.6095428466797
144.0,2.0,32.0,0.0,532.08327293396
155.0,3.0,32.0,0.0,233.98756980895996
146.0,2.0,32.0,0.0,508.06331634521484
159.0,3.0,16.0,0.0,140.18917083740234
148.0,2.0,32.0,0.0,437.4215602874756
160.0,3.0,4.0,0.0,182.45530128479004
151.0,2.0,4.0,0.0,461.0321521759033
162.0,3.0,4.0,0.0,215.32845497131348
153.0,2.0,32.0,0.0,452.06141471862793
166.0,3.0,8.0,0.0,182.9819679260254
156.0,2.0,32.0,0.0,384.2132091522217
168.0,3.0,16.0,0.0,199.15413856506348
157.0,2.0,8.0,0.0,371.99997901916504
