query_id,model_id,bs,seq_len,latency
2.0,3.0,32.0,0.0,45.28212547302246
1.0,5.0,32.0,0.0,100.99339485168457
5.0,3.0,4.0,0.0,24.442672729492188
3.0,5.0,16.0,0.0,97.41711616516113
4.0,5.0,8.0,0.0,56.174516677856445
6.0,5.0,8.0,0.0,49.18169975280762
7.0,5.0,4.0,0.0,5.530595779418945
8.0,5.0,4.0,0.0,8.52823257446289
9.0,5.0,8.0,0.0,8.721590042114258
10.0,5.0,16.0,0.0,14.517545700073242
11.0,3.0,4.0,0.0,25.671958923339844
12.0,3.0,32.0,0.0,19.083023071289062
13.0,3.0,16.0,0.0,27.335643768310547
14.0,3.0,4.0,0.0,30.801773071289062
15.0,3.0,8.0,0.0,29.955625534057617
16.0,3.0,8.0,0.0,16.336917877197266
17.0,5.0,16.0,0.0,10.562419891357422
18.0,5.0,16.0,0.0,19.444942474365234
19.0,3.0,8.0,0.0,41.78357124328613
20.0,5.0,32.0,0.0,44.43216323852539
21.0,5.0,16.0,0.0,44.561147689819336
22.0,3.0,8.0,0.0,42.28401184082031
24.0,5.0,8.0,0.0,26.970624923706055
23.0,3.0,16.0,0.0,72.51167297363281
25.0,3.0,4.0,0.0,88.39917182922363
26.0,5.0,16.0,0.0,46.7226505279541
27.0,3.0,32.0,0.0,36.711931228637695
28.0,5.0,16.0,0.0,11.620759963989258
29.0,3.0,4.0,0.0,26.548385620117188
30.0,5.0,16.0,0.0,29.22677993774414
31.0,3.0,16.0,0.0,38.77735137939453
32.0,3.0,16.0,0.0,59.65900421142578
33.0,3.0,4.0,0.0,54.038047790527344
34.0,3.0,8.0,0.0,70.44672966003418
35.0,3.0,4.0,0.0,64.15128707885742
36.0,3.0,8.0,0.0,52.26588249206543
37.0,3.0,16.0,0.0,76.09272003173828
38.0,3.0,4.0,0.0,86.71212196350098
39.0,3.0,8.0,0.0,104.27474975585938
42.0,5.0,4.0,0.0,17.59195327758789
40.0,3.0,4.0,0.0,65.13619422912598
43.0,5.0,8.0,0.0,42.42396354675293
41.0,3.0,4.0,0.0,79.1778564453125
44.0,3.0,4.0,0.0,76.02071762084961
45.0,3.0,32.0,0.0,81.82644844055176
46.0,3.0,32.0,0.0,81.97426795959473
47.0,3.0,8.0,0.0,97.79834747314453
48.0,3.0,8.0,0.0,92.65804290771484
52.0,5.0,32.0,0.0,49.67474937438965
53.0,5.0,4.0,0.0,38.8493537902832
49.0,3.0,16.0,0.0,108.09469223022461
54.0,5.0,16.0,0.0,66.13993644714355
50.0,3.0,32.0,0.0,127.74205207824707
57.0,5.0,16.0,0.0,20.06220817565918
51.0,3.0,32.0,0.0,140.78211784362793
55.0,3.0,8.0,0.0,103.13272476196289
59.0,5.0,4.0,0.0,21.720409393310547
56.0,3.0,32.0,0.0,113.93404006958008
58.0,3.0,32.0,0.0,83.18400382995605
60.0,3.0,16.0,0.0,47.13749885559082
61.0,3.0,32.0,0.0,56.740522384643555
62.0,5.0,32.0,0.0,66.5290355682373
63.0,3.0,32.0,0.0,64.44501876831055
65.0,5.0,32.0,0.0,65.54961204528809
66.0,5.0,4.0,0.0,46.730756759643555
64.0,3.0,4.0,0.0,97.55873680114746
67.0,3.0,16.0,0.0,42.18912124633789
68.0,5.0,32.0,0.0,43.57790946960449
69.0,3.0,4.0,0.0,66.68519973754883
70.0,3.0,32.0,0.0,68.4652328491211
71.0,5.0,8.0,0.0,5.251169204711914
72.0,3.0,4.0,0.0,19.463539123535156
73.0,3.0,8.0,0.0,17.70639419555664
74.0,5.0,8.0,0.0,18.994808197021484
75.0,3.0,32.0,0.0,29.233932495117188
76.0,3.0,32.0,0.0,32.215118408203125
77.0,3.0,8.0,0.0,47.624826431274414
78.0,5.0,8.0,0.0,15.889167785644531
79.0,5.0,4.0,0.0,18.491268157958984
80.0,3.0,16.0,0.0,20.74885368347168
81.0,5.0,4.0,0.0,20.01786231994629
82.0,5.0,32.0,0.0,15.517950057983398
83.0,5.0,8.0,0.0,5.565643310546875
84.0,3.0,16.0,0.0,20.83444595336914
86.0,5.0,16.0,0.0,17.51708984375
85.0,3.0,16.0,0.0,43.14589500427246
89.0,5.0,8.0,0.0,23.492813110351562
87.0,3.0,4.0,0.0,57.36279487609863
90.0,5.0,8.0,0.0,40.81583023071289
88.0,3.0,8.0,0.0,75.14142990112305
91.0,3.0,4.0,0.0,75.74605941772461
92.0,5.0,16.0,0.0,76.8282413482666
93.0,5.0,4.0,0.0,72.50547409057617
95.0,3.0,32.0,0.0,68.62831115722656
94.0,5.0,16.0,0.0,91.83502197265625
97.0,3.0,32.0,0.0,84.47027206420898
98.0,3.0,4.0,0.0,51.71346664428711
96.0,5.0,16.0,0.0,111.65380477905273
99.0,3.0,4.0,0.0,79.57816123962402
100.0,5.0,32.0,0.0,66.85113906860352
102.0,3.0,16.0,0.0,71.24757766723633
101.0,5.0,32.0,0.0,98.40703010559082
103.0,3.0,16.0,0.0,91.57299995422363
104.0,3.0,16.0,0.0,19.03843879699707
106.0,5.0,8.0,0.0,12.642383575439453
105.0,3.0,4.0,0.0,35.660743713378906
107.0,3.0,16.0,0.0,22.371530532836914
108.0,3.0,8.0,0.0,25.73847770690918
110.0,5.0,8.0,0.0,9.974002838134766
109.0,3.0,32.0,0.0,33.16164016723633
111.0,3.0,32.0,0.0,39.70932960510254
112.0,3.0,32.0,0.0,21.64316177368164
