query_id,model_id,bs,seq_len,latency
1.0,3.0,32.0,0.0,64.76020812988281
2.0,2.0,32.0,0.0,69.51379776000977
3.0,3.0,16.0,0.0,91.094970703125
5.0,2.0,4.0,0.0,57.760000228881836
4.0,3.0,8.0,0.0,83.62817764282227
6.0,3.0,8.0,0.0,84.36799049377441
7.0,3.0,4.0,0.0,18.426179885864258
8.0,3.0,4.0,0.0,33.8742733001709
9.0,3.0,8.0,0.0,38.00797462463379
10.0,3.0,16.0,0.0,45.23181915283203
11.0,2.0,4.0,0.0,58.92515182495117
12.0,2.0,32.0,0.0,62.3779296875
13.0,2.0,16.0,0.0,69.12946701049805
14.0,2.0,4.0,0.0,83.6343765258789
15.0,2.0,8.0,0.0,87.40878105163574
17.0,3.0,16.0,0.0,31.412839889526367
16.0,2.0,8.0,0.0,88.27424049377441
18.0,3.0,16.0,0.0,71.58064842224121
19.0,2.0,8.0,0.0,93.85895729064941
20.0,3.0,32.0,0.0,110.56947708129883
22.0,2.0,8.0,0.0,105.50832748413086
21.0,3.0,16.0,0.0,141.39127731323242
23.0,2.0,16.0,0.0,144.99998092651367
24.0,3.0,8.0,0.0,146.7299461364746
25.0,2.0,4.0,0.0,185.53423881530762
26.0,3.0,16.0,0.0,152.01306343078613
27.0,2.0,32.0,0.0,146.3465690612793
28.0,3.0,16.0,0.0,126.33299827575684
29.0,2.0,4.0,0.0,139.12057876586914
30.0,3.0,16.0,0.0,149.77407455444336
31.0,2.0,16.0,0.0,163.51890563964844
32.0,2.0,16.0,0.0,187.07799911499023
33.0,2.0,4.0,0.0,197.7074146270752
42.0,3.0,4.0,0.0,38.785696029663086
34.0,2.0,8.0,0.0,247.50208854675293
43.0,3.0,8.0,0.0,92.54240989685059
35.0,2.0,4.0,0.0,261.43789291381836
36.0,2.0,8.0,0.0,255.3107738494873
52.0,3.0,32.0,0.0,32.12785720825195
37.0,2.0,16.0,0.0,300.2045154571533
53.0,3.0,4.0,0.0,64.2085075378418
38.0,2.0,4.0,0.0,353.1322479248047
54.0,3.0,16.0,0.0,120.42617797851562
39.0,2.0,8.0,0.0,403.2020568847656
57.0,3.0,16.0,0.0,102.92434692382812
40.0,2.0,4.0,0.0,404.3083190917969
59.0,3.0,4.0,0.0,123.15511703491211
41.0,2.0,4.0,0.0,445.07694244384766
62.0,3.0,32.0,0.0,117.26856231689453
44.0,2.0,4.0,0.0,473.4539985656738
65.0,3.0,32.0,0.0,129.31513786315918
45.0,2.0,32.0,0.0,513.6802196502686
66.0,3.0,4.0,0.0,158.6160659790039
46.0,2.0,32.0,0.0,542.7291393280029
68.0,3.0,32.0,0.0,160.2320671081543
47.0,2.0,8.0,0.0,602.8399467468262
71.0,3.0,8.0,0.0,116.23072624206543
48.0,2.0,8.0,0.0,637.5143527984619
74.0,3.0,8.0,0.0,133.84461402893066
49.0,2.0,16.0,0.0,654.3397903442383
78.0,3.0,8.0,0.0,118.12710762023926
50.0,2.0,32.0,0.0,688.8597011566162
79.0,3.0,4.0,0.0,158.34379196166992
51.0,2.0,32.0,0.0,719.1412448883057
81.0,3.0,4.0,0.0,169.27766799926758
55.0,2.0,8.0,0.0,720.2098369598389
82.0,3.0,32.0,0.0,162.19449043273926
56.0,2.0,32.0,0.0,752.4702548980713
83.0,3.0,8.0,0.0,184.7381591796875
58.0,2.0,32.0,0.0,750.3662109375
86.0,3.0,16.0,0.0,205.047607421875
60.0,2.0,16.0,0.0,743.0284023284912
89.0,3.0,8.0,0.0,234.48967933654785
61.0,2.0,32.0,0.0,774.1274833679199
90.0,3.0,8.0,0.0,274.2440700531006
63.0,2.0,32.0,0.0,795.7618236541748
