query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,47.11103439331055
2.0,6.0,32.0,64.0,34.69347953796387
3.0,6.0,16.0,16.0,15.012979507446289
4.0,4.0,4.0,0.0,8.49294662475586
5.0,6.0,8.0,32.0,14.515161514282227
6.0,4.0,16.0,0.0,13.911962509155273
7.0,6.0,16.0,64.0,13.458490371704102
8.0,6.0,8.0,64.0,20.246505737304688
9.0,6.0,16.0,8.0,13.919353485107422
10.0,4.0,32.0,0.0,22.346973419189453
11.0,4.0,16.0,0.0,32.51504898071289
12.0,4.0,4.0,0.0,18.034696578979492
13.0,4.0,8.0,0.0,7.335662841796875
14.0,4.0,8.0,0.0,7.317304611206055
15.0,6.0,16.0,64.0,15.268564224243164
16.0,4.0,16.0,0.0,25.69127082824707
17.0,4.0,8.0,0.0,25.962114334106445
18.0,6.0,32.0,32.0,21.161794662475586
21.0,6.0,8.0,16.0,14.434337615966797
19.0,4.0,8.0,0.0,28.708696365356445
20.0,4.0,16.0,0.0,34.235477447509766
22.0,4.0,32.0,0.0,54.63099479675293
23.0,6.0,8.0,16.0,36.72361373901367
24.0,6.0,32.0,64.0,33.83207321166992
25.0,6.0,4.0,64.0,27.81057357788086
26.0,6.0,8.0,8.0,37.71257400512695
27.0,6.0,8.0,32.0,12.003421783447266
28.0,4.0,4.0,0.0,14.373779296875
29.0,4.0,8.0,0.0,13.632535934448242
30.0,4.0,4.0,0.0,4.686594009399414
31.0,4.0,8.0,0.0,7.192134857177734
32.0,4.0,16.0,0.0,16.637086868286133
33.0,4.0,4.0,0.0,11.379718780517578
34.0,4.0,8.0,0.0,17.40884780883789
35.0,4.0,4.0,0.0,4.172801971435547
36.0,4.0,4.0,0.0,5.193948745727539
37.0,6.0,4.0,32.0,12.385129928588867
38.0,6.0,4.0,64.0,23.508071899414062
39.0,4.0,32.0,0.0,31.18443489074707
40.0,4.0,32.0,0.0,31.70299530029297
41.0,4.0,8.0,0.0,31.996726989746094
42.0,4.0,8.0,0.0,13.894319534301758
43.0,4.0,16.0,0.0,10.435104370117188
44.0,4.0,32.0,0.0,20.401477813720703
45.0,4.0,32.0,0.0,20.48969268798828
46.0,6.0,32.0,32.0,37.41574287414551
47.0,4.0,4.0,0.0,20.926713943481445
48.0,6.0,16.0,8.0,22.463560104370117
49.0,6.0,32.0,32.0,15.879154205322266
50.0,6.0,8.0,32.0,25.206565856933594
51.0,6.0,4.0,8.0,21.944522857666016
52.0,4.0,8.0,0.0,6.193399429321289
53.0,4.0,32.0,0.0,17.502307891845703
54.0,6.0,32.0,8.0,27.31037139892578
55.0,6.0,32.0,8.0,14.849185943603516
56.0,4.0,16.0,0.0,9.826898574829102
57.0,4.0,32.0,0.0,17.366886138916016
58.0,4.0,32.0,0.0,23.10037612915039
59.0,6.0,32.0,8.0,16.200542449951172
60.0,6.0,4.0,16.0,23.703336715698242
61.0,4.0,32.0,0.0,36.23604774475098
62.0,6.0,4.0,8.0,41.96453094482422
63.0,4.0,8.0,0.0,47.1491813659668
64.0,6.0,8.0,8.0,55.84359169006348
65.0,6.0,32.0,8.0,62.47138977050781
66.0,4.0,32.0,0.0,40.642738342285156
67.0,4.0,8.0,0.0,40.4510498046875
68.0,6.0,8.0,32.0,20.25890350341797
70.0,6.0,16.0,8.0,30.100584030151367
69.0,4.0,8.0,0.0,35.662174224853516
71.0,6.0,32.0,64.0,36.94438934326172
72.0,6.0,8.0,16.0,26.586532592773438
73.0,6.0,4.0,16.0,15.904426574707031
74.0,4.0,16.0,0.0,8.975982666015625
75.0,6.0,16.0,8.0,15.51961898803711
76.0,4.0,8.0,0.0,5.868196487426758
77.0,6.0,8.0,32.0,13.399362564086914
78.0,4.0,8.0,0.0,9.311437606811523
79.0,4.0,4.0,0.0,4.168033599853516
80.0,6.0,16.0,32.0,12.582540512084961
81.0,6.0,32.0,64.0,14.10984992980957
82.0,6.0,16.0,8.0,24.18375015258789
83.0,6.0,32.0,64.0,14.383554458618164
84.0,4.0,8.0,0.0,17.071247100830078
85.0,4.0,32.0,0.0,24.860382080078125
86.0,4.0,4.0,0.0,9.341001510620117
87.0,4.0,4.0,0.0,12.101173400878906
88.0,6.0,32.0,32.0,20.21050453186035
89.0,6.0,8.0,64.0,34.44385528564453
90.0,4.0,16.0,0.0,8.505105972290039
91.0,4.0,16.0,0.0,8.60738754272461
92.0,4.0,4.0,0.0,7.362604141235352
93.0,6.0,8.0,8.0,18.77284049987793
94.0,6.0,8.0,8.0,15.139102935791016
95.0,4.0,4.0,0.0,8.888483047485352
96.0,4.0,16.0,0.0,8.518457412719727
97.0,4.0,32.0,0.0,15.266895294189453
98.0,4.0,32.0,0.0,27.97222137451172
99.0,6.0,16.0,64.0,23.165464401245117
100.0,6.0,8.0,16.0,12.517929077148438
101.0,4.0,16.0,0.0,8.64720344543457
102.0,6.0,8.0,32.0,16.939163208007812
103.0,4.0,16.0,0.0,24.923086166381836
104.0,6.0,4.0,8.0,13.24605941772461
105.0,4.0,4.0,0.0,17.462491989135742
106.0,6.0,32.0,32.0,29.48617935180664
107.0,4.0,32.0,0.0,44.4025993347168
108.0,6.0,4.0,8.0,26.75175666809082
109.0,4.0,8.0,0.0,17.896413803100586
110.0,6.0,32.0,64.0,12.255430221557617
111.0,6.0,8.0,8.0,12.037038803100586
112.0,4.0,16.0,0.0,8.289575576782227
113.0,6.0,32.0,32.0,12.129783630371094
114.0,6.0,32.0,64.0,15.512466430664062
115.0,4.0,8.0,0.0,4.92548942565918
116.0,4.0,16.0,0.0,9.244441986083984
117.0,4.0,32.0,0.0,17.296314239501953
118.0,6.0,4.0,16.0,18.33963394165039
121.0,4.0,8.0,0.0,8.71586799621582
119.0,6.0,32.0,64.0,31.740665435791016
120.0,6.0,32.0,16.0,37.053585052490234
