query_id,model_id,bs,seq_len,search_times,latency
1,5,32,0,0,56.35714530944824
2,1,32,0,0,55.101633071899414
3,5,16,0,0,62.69240379333496
4,5,8,0,0,30.406475067138672
5,6,8,8,0,21.365642547607422
6,6,8,32,0,29.19149398803711
7,1,16,0,0,23.81587028503418
8,5,16,0,0,14.786243438720703
9,5,8,0,0,8.733272552490234
10,6,16,8,0,12.857437133789062
11,6,4,64,0,12.166738510131836
12,6,4,64,0,11.497735977172852
13,5,16,0,0,10.659933090209961
14,6,8,16,0,16.299724578857422
15,1,8,0,0,24.47676658630371
16,6,4,32,0,14.949798583984375
17,6,32,8,0,14.42408561706543
18,5,4,0,0,5.901575088500977
19,6,8,32,0,12.953519821166992
20,5,32,0,0,23.758888244628906
21,5,16,0,0,31.476974487304688
22,1,8,0,0,39.19076919555664
23,1,16,0,0,52.144765853881836
25,1,4,0,1,60.11795997619629
24,5,8,0,1,61.76567077636719
26,6,32,32,0,21.408796310424805
27,6,8,64,0,14.951705932617188
28,6,32,32,0,11.625289916992188
29,1,4,0,0,32.99999237060547
31,1,16,0,0,32.613277435302734
30,5,16,0,0,50.50468444824219
32,1,16,0,0,43.19453239440918
33,1,4,0,0,41.815996170043945
34,1,8,0,0,51.985740661621094
35,1,4,0,0,50.39525032043457
36,1,8,0,0,39.0472412109375
37,6,4,64,0,36.23628616333008
38,1,4,0,0,20.68638801574707
39,1,8,0,0,36.30185127258301
40,1,32,0,0,41.16177558898926
41,1,4,0,0,39.55841064453125
45,1,4,0,0,23.59747886657715
43,5,4,0,0,32.58848190307617
42,6,32,8,0,33.17594528198242
44,6,32,16,0,43.11823844909668
47,5,32,0,1,39.43657875061035
46,6,32,16,1,41.7635440826416
48,6,8,8,0,41.45550727844238
51,1,32,0,1,48.05278778076172
49,6,8,32,1,57.62338638305664
50,6,32,16,0,68.41182708740234
52,6,16,32,0,60.04977226257324
53,5,16,0,0,28.51247787475586
54,1,4,0,0,21.75116539001465
55,5,16,0,0,17.169952392578125
56,6,16,16,0,12.234926223754883
57,1,32,0,0,29.514551162719727
58,5,16,0,0,11.356115341186523
59,6,8,32,0,11.913776397705078
60,5,4,0,0,6.626605987548828
61,1,16,0,0,24.678468704223633
62,1,32,0,0,36.19098663330078
63,5,32,0,0,30.560731887817383
64,1,32,0,0,33.2338809967041
65,6,8,64,0,35.718441009521484
66,1,8,0,0,37.476301193237305
67,5,32,0,0,31.32319450378418
68,6,4,8,0,28.742313385009766
70,1,32,0,0,35.11357307434082
69,5,32,0,0,43.2131290435791
71,1,4,0,0,25.125503540039062
72,6,4,64,0,25.30980110168457
73,6,4,16,0,33.39552879333496
74,1,4,0,0,39.755821228027344
75,6,4,16,0,26.78060531616211
76,1,8,0,0,36.849260330200195
78,1,32,0,0,42.197465896606445
