query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,80.84511756896973
2.0,1.0,32.0,0.0,77.3003101348877
3.0,2.0,16.0,0.0,103.86133193969727
5.0,6.0,8.0,8.0,63.462257385253906
4.0,2.0,8.0,0.0,100.22640228271484
6.0,6.0,8.0,32.0,105.27825355529785
7.0,1.0,16.0,0.0,90.65580368041992
8.0,2.0,16.0,0.0,88.99426460266113
10.0,6.0,16.0,8.0,75.96659660339355
9.0,2.0,8.0,0.0,107.696533203125
11.0,6.0,4.0,64.0,97.76997566223145
12.0,6.0,4.0,64.0,58.9907169342041
13.0,2.0,16.0,0.0,47.52969741821289
14.0,6.0,8.0,16.0,53.03215980529785
15.0,1.0,8.0,0.0,35.25066375732422
16.0,6.0,4.0,32.0,14.083623886108398
17.0,6.0,32.0,8.0,13.131856918334961
18.0,2.0,4.0,0.0,30.947208404541016
19.0,6.0,8.0,32.0,26.425600051879883
20.0,2.0,32.0,0.0,53.92122268676758
21.0,2.0,16.0,0.0,80.23476600646973
22.0,1.0,8.0,0.0,84.50150489807129
23.0,1.0,16.0,0.0,97.55253791809082
24.0,2.0,8.0,0.0,113.65699768066406
26.0,6.0,32.0,32.0,72.43585586547852
25.0,1.0,4.0,0.0,149.52445030212402
27.0,6.0,8.0,64.0,58.316707611083984
28.0,6.0,32.0,32.0,36.16833686828613
29.0,1.0,4.0,0.0,55.68265914916992
30.0,2.0,16.0,0.0,74.83601570129395
31.0,1.0,16.0,0.0,74.31745529174805
32.0,1.0,16.0,0.0,85.13903617858887
33.0,1.0,4.0,0.0,77.71658897399902
34.0,1.0,8.0,0.0,86.28344535827637
37.0,6.0,4.0,64.0,29.507160186767578
35.0,1.0,4.0,0.0,92.1635627746582
36.0,1.0,8.0,0.0,81.29000663757324
38.0,1.0,4.0,0.0,62.28780746459961
39.0,1.0,8.0,0.0,76.07102394104004
40.0,1.0,32.0,0.0,84.47432518005371
42.0,6.0,32.0,8.0,44.31271553039551
43.0,2.0,4.0,0.0,72.94464111328125
41.0,1.0,4.0,0.0,117.37298965454102
44.0,6.0,32.0,16.0,105.79109191894531
47.0,2.0,32.0,0.0,107.09619522094727
45.0,1.0,4.0,0.0,147.3987102508545
46.0,6.0,32.0,16.0,150.01583099365234
53.0,2.0,16.0,0.0,95.65496444702148
55.0,2.0,16.0,0.0,74.84006881713867
51,1,32,0,-1
48,6,8,8,-1
54.0,1.0,4.0,0.0,111.01245880126953
58.0,2.0,16.0,0.0,65.3994083404541
49,6,8,32,-1
57.0,1.0,32.0,0.0,112.03360557556152
50,6,32,16,-1
60.0,2.0,4.0,0.0,30.27486801147461
