query_id,model_id,bs,seq_len,latency
1.0,5.0,32.0,0.0,57.53159523010254
2.0,1.0,32.0,0.0,54.95715141296387
3.0,5.0,16.0,0.0,60.23144721984863
4.0,5.0,8.0,0.0,16.646623611450195
5.0,6.0,8.0,8.0,19.80423927307129
6.0,6.0,8.0,32.0,33.72335433959961
7.0,1.0,16.0,0.0,25.702953338623047
8.0,5.0,16.0,0.0,11.295080184936523
9.0,5.0,8.0,0.0,6.511211395263672
10.0,6.0,16.0,8.0,11.753559112548828
11.0,6.0,4.0,64.0,11.522293090820312
12.0,6.0,4.0,64.0,10.800838470458984
13.0,5.0,16.0,0.0,9.89985466003418
14.0,6.0,8.0,16.0,16.101360321044922
15.0,1.0,8.0,0.0,17.492294311523438
16.0,6.0,4.0,32.0,12.679576873779297
17.0,6.0,32.0,8.0,11.834383010864258
18.0,5.0,4.0,0.0,5.133152008056641
19.0,6.0,8.0,32.0,11.137723922729492
20.0,5.0,32.0,0.0,21.0874080657959
21.0,5.0,16.0,0.0,28.89871597290039
22.0,1.0,8.0,0.0,32.00507164001465
23.0,1.0,16.0,0.0,44.42262649536133
24.0,5.0,8.0,0.0,30.884265899658203
25.0,1.0,4.0,0.0,58.158159255981445
26.0,6.0,32.0,32.0,19.73247528076172
27.0,6.0,8.0,64.0,17.961978912353516
28.0,6.0,32.0,32.0,17.70186424255371
29.0,1.0,4.0,0.0,28.06234359741211
30.0,5.0,16.0,0.0,30.085325241088867
31.0,1.0,16.0,0.0,29.345273971557617
32.0,1.0,16.0,0.0,40.29369354248047
33.0,1.0,4.0,0.0,32.95254707336426
34.0,1.0,8.0,0.0,46.105384826660156
35.0,1.0,4.0,0.0,32.81235694885254
36.0,1.0,8.0,0.0,21.58808708190918
37.0,6.0,4.0,64.0,30.260562896728516
38.0,1.0,4.0,0.0,19.165754318237305
39.0,1.0,8.0,0.0,26.16429328918457
40.0,1.0,32.0,0.0,32.463788986206055
41.0,1.0,4.0,0.0,26.032209396362305
42.0,6.0,32.0,8.0,16.646146774291992
43.0,5.0,4.0,0.0,23.219585418701172
44.0,6.0,32.0,16.0,34.09743309020996
45.0,1.0,4.0,0.0,45.677900314331055
46.0,6.0,32.0,16.0,50.469398498535156
47.0,5.0,32.0,0.0,66.11275672912598
51.0,1.0,32.0,0.0,68.76850128173828
53.0,5.0,16.0,0.0,24.18994903564453
48,6,8,8,-1
49,6,8,32,-1
50,6,32,16,-1
52.0,6.0,16.0,32.0,79.38718795776367
54.0,1.0,4.0,0.0,27.005672454833984
55.0,5.0,16.0,0.0,20.7064151763916
