query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,21.623611450195312
2.0,6.0,32.0,64.0,34.1649055480957
3.0,6.0,16.0,16.0,17.249584197998047
4.0,6.0,4.0,32.0,18.98503303527832
5.0,6.0,4.0,32.0,12.022733688354492
6.0,6.0,16.0,64.0,17.594575881958008
7.0,6.0,8.0,64.0,10.369062423706055
8.0,6.0,16.0,8.0,14.015913009643555
9.0,6.0,32.0,8.0,14.452219009399414
10.0,6.0,16.0,16.0,16.518115997314453
11.0,6.0,4.0,16.0,11.101007461547852
12.0,6.0,8.0,64.0,13.694286346435547
13.0,6.0,16.0,64.0,17.42100715637207
14.0,6.0,16.0,8.0,21.38829231262207
15.0,6.0,8.0,32.0,10.251045227050781
16.0,6.0,32.0,32.0,18.262863159179688
17.0,6.0,8.0,16.0,23.224592208862305
18.0,6.0,16.0,64.0,17.97318458557129
19.0,6.0,8.0,16.0,12.146234512329102
20.0,6.0,32.0,32.0,22.127628326416016
21.0,6.0,32.0,32.0,17.380952835083008
22.0,6.0,16.0,8.0,10.785579681396484
23.0,6.0,32.0,32.0,17.791271209716797
24.0,6.0,16.0,8.0,13.92674446105957
25.0,6.0,8.0,32.0,12.190580368041992
26.0,6.0,4.0,16.0,16.689300537109375
27.0,6.0,4.0,8.0,14.55998420715332
28.0,6.0,4.0,64.0,20.784854888916016
29.0,6.0,4.0,8.0,10.735511779785156
30.0,6.0,8.0,8.0,12.808799743652344
31.0,6.0,4.0,8.0,11.658191680908203
32.0,6.0,16.0,8.0,12.65406608581543
33.0,6.0,16.0,32.0,14.664649963378906
34.0,6.0,32.0,8.0,18.813610076904297
35.0,6.0,32.0,16.0,17.8830623626709
36.0,6.0,32.0,16.0,15.069246292114258
37.0,6.0,4.0,16.0,10.818719863891602
38.0,6.0,16.0,8.0,17.182111740112305
39.0,6.0,4.0,64.0,13.652324676513672
40.0,6.0,16.0,32.0,15.654325485229492
41.0,6.0,16.0,16.0,10.12730598449707
42.0,6.0,4.0,32.0,15.00082015991211
43.0,6.0,8.0,16.0,14.937162399291992
44.0,6.0,16.0,32.0,16.532182693481445
45.0,6.0,32.0,64.0,56.88047409057617
46.0,6.0,8.0,32.0,10.320186614990234
47.0,6.0,32.0,64.0,65.36984443664551
48.0,6.0,32.0,8.0,54.73065376281738
49.0,6.0,16.0,16.0,62.360525131225586
50.0,6.0,32.0,8.0,27.170419692993164
