model,start,end,bs,model,start,end,bs,median,mean,var
vgg19,4,19,1,vgg19,10,19,1,3148.5,3402.86,629.7973486765407
vgg19,14,21,1,vgg19,13,19,1,1935.0,2146.72,605.3903051750993
vgg19,7,14,1,vgg19,7,13,1,1684.0,1720.6,341.86669916796524
vgg19,6,20,1,vgg19,17,21,1,3098.5,3133.95,355.43557433098897
vgg19,5,14,1,vgg19,1,13,1,2375.0,2450.67,267.29833725633233
vgg19,5,18,1,vgg19,9,13,1,2668.0,2779.65,599.606677331065
vgg19,17,21,1,vgg19,4,19,1,3082.5,3265.75,806.9612304813658
vgg19,9,17,1,vgg19,1,11,1,1999.0,2205.21,759.9768193175369
vgg19,13,19,1,vgg19,17,21,1,1577.0,1626.94,248.4909181439032
vgg19,16,20,1,vgg19,12,20,1,2008.0,2069.9,313.3073730380439
vgg19,5,9,1,vgg19,11,21,1,2300.5,2341.83,166.09756500322334
vgg19,13,21,1,vgg19,17,21,1,1885.5,1994.03,422.4371776962818
vgg19,6,20,1,vgg19,1,6,1,3132.0,3268.81,626.952178319846
vgg19,5,17,1,vgg19,17,21,1,2397.0,2607.48,942.3202797350805
vgg19,5,16,1,vgg19,15,21,1,2239.5,2395.44,589.9953782869828
vgg19,9,21,1,vgg19,6,16,1,2621.0,2895.67,881.0094897899796
vgg19,12,21,1,vgg19,4,17,1,2630.0,2810.04,666.6509419478832
vgg19,8,17,1,vgg19,0,8,1,1973.0,2156.33,889.3952221031998
vgg19,9,14,1,vgg19,6,21,1,3279.0,3681.1,896.6263045438718
vgg19,17,21,1,vgg19,6,21,1,3367.0,3500.0,683.1112500903495
vgg19,6,19,1,vgg19,9,14,1,2886.5,3135.33,1075.5749723287543
vgg19,13,21,1,vgg19,1,19,1,4048.5,4197.92,522.9727082745331
vgg19,2,7,1,vgg19,16,21,1,1550.5,1701.76,825.0239041385406
vgg19,5,19,1,vgg19,0,9,1,2936.0,3001.71,384.1029105591365
vgg19,7,12,1,vgg19,12,16,1,1261.5,1403.26,444.8212139725352
vgg19,4,9,1,vgg19,14,19,1,1504.0,1597.97,581.1150394715318
vgg19,7,16,1,vgg19,4,13,1,2148.0,2217.59,375.2691592710491
vgg19,12,17,1,vgg19,4,20,1,3332.0,3407.37,393.77810134643096
vgg19,14,21,1,vgg19,16,21,1,1634.0,1725.74,469.2900514607145
vgg19,3,18,1,vgg19,6,21,1,3160.5,3284.78,556.0617695903936
vgg19,13,21,1,vgg19,10,20,1,2280.0,2430.68,997.4053827807427
vgg19,17,21,1,vgg19,0,17,1,3240.5,3280.05,235.63494541345094
vgg19,4,11,1,vgg19,9,16,1,1509.0,1578.44,286.5156651912771
vgg19,15,20,1,vgg19,7,14,1,1657.0,1750.43,672.3947390484253
vgg19,4,13,1,vgg19,2,6,1,1985.5,2172.52,532.6479790630957
vgg19,8,20,1,vgg19,0,6,1,2999.5,3113.29,517.9139560776481
vgg19,11,18,1,vgg19,3,14,1,2383.0,2506.15,451.92493569175844
vgg19,2,11,1,vgg19,5,14,1,1937.0,1999.54,305.0008662282781
vgg19,10,14,1,vgg19,17,21,1,1115.5,1141.07,138.36937919930116
vgg19,15,21,1,vgg19,3,16,1,2557.0,2607.78,312.1007395056924
vgg19,16,21,1,vgg19,12,21,1,2071.5,2096.16,234.94610956557676
vgg19,12,21,1,vgg19,16,21,1,2216.5,2238.48,102.54584145639453
vgg19,1,5,1,vgg19,3,10,1,1660.0,1696.81,208.61671529386132
vgg19,8,15,1,vgg19,15,19,1,1805.5,1847.29,272.5787700830716
vgg19,15,20,1,vgg19,17,21,1,1383.5,1425.37,221.77351758043613
vgg19,12,20,1,vgg19,2,7,1,2189.5,2291.98,629.4819612983363
vgg19,17,21,1,vgg19,11,20,1,2285.0,2294.03,116.17662888894651
vgg19,13,20,1,vgg19,14,18,1,2018.5,2055.24,309.2122610764327
vgg19,9,19,1,vgg19,8,18,1,2498.5,2582.92,451.8153755683842
vgg19,5,15,1,vgg19,4,12,1,2370.0,2431.28,366.31574031155145
vgg19,1,16,1,vgg19,4,21,1,3413.5,3521.92,491.0295445286363
vgg19,3,19,1,vgg19,13,19,1,3734.0,3763.76,356.57961579428513
vgg19,17,21,1,vgg19,10,18,1,1861.5,2016.95,561.7043417136813
vgg19,8,18,1,vgg19,7,16,1,2300.0,2702.94,595.3336345277328
vgg19,10,19,1,vgg19,15,19,1,2051.5,2112.53,315.52345253562373
vgg19,11,16,1,vgg19,3,11,1,1917.5,1976.76,336.5619443728004
vgg19,14,20,1,vgg19,15,21,1,1512.5,1550.35,176.95413953903423
vgg19,5,19,1,vgg19,17,21,1,2949.0,2974.61,308.95708099993436
vgg19,16,21,1,vgg19,2,10,1,1959.5,2071.34,706.7483175784715
vgg19,14,19,1,vgg19,3,15,1,2855.5,2919.48,425.13173205490085
vgg19,1,14,1,vgg19,3,8,1,2688.5,2712.72,180.20810636594567
vgg19,3,14,1,vgg19,4,20,1,3737.5,3764.84,192.04263693253122
vgg19,8,13,1,vgg19,6,14,1,2114.0,2150.39,277.39401201179527
vgg19,6,13,1,vgg19,11,19,1,2233.5,2261.86,251.72937929451143
vgg19,15,20,1,vgg19,9,15,1,1652.0,1662.97,75.34420415665693
vgg19,15,21,1,vgg19,13,21,1,2071.5,2102.2,237.5281878009429
vgg19,4,21,1,vgg19,1,7,1,3461.5,3460.99,63.367104241869846
